,Finniss Surprise,Finniss Redeem,Urban Ranger,Emerley Wiggum,Springvale Bray,Springvale Dave,Bobby Axelrod,Dash Of Blue
06-01-2023 13:06:08.140804,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 110.0)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:09.320548,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:10.415820,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:11.505175,"(8.5, 18.0, 10.649999999999999)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:12.651632,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:13.868409,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:15.034806,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:16.116360,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:17.134852,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:18.289291,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:19.504593,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:20.667276,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:21.717950,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:22.756897,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:23.837265,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:24.986687,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:26.107246,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:27.225700,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:28.362181,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:29.530735,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:30.679773,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:31.879866,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:33.086560,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:34.239881,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:35.446778,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:36.667393,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.56, 1.703970588235294)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:37.950124,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.64, 1.703970588235294)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:39.175391,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.64, 1.703970588235294)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:40.293918,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.64, 1.7745454545454544)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:41.403620,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:42.551141,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:43.758420,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:45.011442,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 169.64705882352942)","(6.5, 13.5, 8.175)","(20.0, 70.0, 33.27272727272727)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 24.5)"
06-01-2023 13:06:46.239997,"(8.5, 18.0, 15.692307692307693)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 13.5, 7.3500000000000005)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:47.495083,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 7.3500000000000005)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:48.754888,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 7.3500000000000005)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:49.975167,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:51.205346,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:52.413130,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:53.624186,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:54.860535,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:56.069935,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:57.308537,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.7745454545454544)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:58.544589,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.62, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:06:59.742368,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:01.017990,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:02.289040,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:03.545048,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:04.757194,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:05.887403,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:07.267880,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:08.736222,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:10.113923,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:11.487958,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:12.878911,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.769090909090909)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:14.202469,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:15.520515,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:16.749233,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:18.019541,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:19.297141,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:20.477408,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:21.697959,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
06-01-2023 13:07:22.942130,"(8.5, 18.5, 14.5625)","(3.7, 6.0, 3.9)","(71.0, 570.0, 485.0)","(31.0, 320.0, 178.0)","(6.5, 14.0, 12.817777777777778)","(20.0, 70.0, 46.81818181818182)","(1.65, 2.56, 1.7278260869565216)","(14.0, 42.0, 31.03846153846154)"
