,Teragrams Star,Sonic Blue,Clown Of Class,Midnight Holly,Jax The Hunter,Just Looking,Karaoke Queen,Joni Rudderless
07-12-2022 18:39:52.252446,"(3.0, 4.5, 3.7)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:53.269586,"(3.0, 4.5, 3.792307692307692)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:54.513839,"(3.0, 4.5, 3.792307692307692)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:55.716066,"(3.0, 4.5, 3.792307692307692)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:56.932047,"(3.0, 4.5, 3.792307692307692)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:58.021454,"(3.0, 4.5, 4.138095238095238)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:39:59.300878,"(3.0, 4.5, 3.66)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:00.867205,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:02.269264,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:03.479370,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:04.969711,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:06.185277,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 10.55)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.5270588235294116)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:07.460914,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.075)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:08.722471,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.075)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:10.201827,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.600000000000001)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:11.438067,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.600000000000001)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:12.739350,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.600000000000001)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:13.895002,"(3.0, 4.5, 3.9153846153846152)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.657142857142857)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.448)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:15.314418,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.7375)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:16.526886,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.657142857142857)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:17.754085,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.657142857142857)","(8.0, 18.0, 10.32)","(2.15, 2.98, 2.4666666666666663)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:19.127185,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.657142857142857)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:20.403138,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.76)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:21.566280,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:22.780833,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:24.120179,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:25.438025,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:26.759654,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.32)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:28.063540,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 14.733333333333334)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:29.257179,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 10.48)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:30.462453,"(3.0, 4.5, 4.2384615384615385)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:31.616804,"(3.0, 4.5, 4.306060606060606)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 11.866666666666667)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:32.624634,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 11.866666666666667)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:33.754127,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:34.838146,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:35.997576,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:37.157058,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:38.226233,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:39.239355,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:40.272314,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 19.11111111111111)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:41.283857,"(3.0, 4.5, 4.2272727272727275)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:42.374108,"(3.0, 4.5, 3.92)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:43.436953,"(3.0, 4.5, 3.92)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:44.503295,"(3.0, 4.5, 4.009090909090909)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:45.554288,"(3.0, 4.5, 3.46)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:46.607512,"(3.0, 4.5, 3.7)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:47.707258,"(3.0, 4.4, 3.542857142857143)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:48.875242,"(3.0, 4.4, 4.110526315789474)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:49.973400,"(3.0, 4.4, 3.6500000000000004)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:51.037131,"(3.0, 4.4, 3.6500000000000004)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:52.092499,"(3.0, 4.5, 3.792307692307692)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:53.153567,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:54.266574,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:55.515574,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:56.736989,"(3.0, 4.4, 3.77)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:57.890001,"(3.0, 4.4, 3.77)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:40:59.065160,"(3.0, 4.4, 3.6125000000000003)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:00.184971,"(3.0, 4.4, 3.6125000000000003)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:01.360018,"(3.0, 4.4, 3.77)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:02.409980,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:03.565718,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:04.664346,"(3.0, 4.5, 3.58)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:05.751916,"(3.0, 4.5, 4.1347826086956525)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:06.873770,"(3.0, 4.4, 4.241666666666667)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:08.000715,"(3.0, 4.4, 4.241666666666667)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:09.101892,"(3.0, 4.4, 3.977777777777778)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:10.251438,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 2.96, 2.5015384615384613)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:11.451586,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 13.822222222222223)","(2.15, 3.0, 2.591111111111111)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:12.691428,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 18.0, 14.1625)","(2.15, 2.98, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:14.048273,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.745882352941176)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:15.378469,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.94, 2.5015384615384613)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:16.589131,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 3.0, 2.7094736842105265)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
07-12-2022 18:41:17.769157,"(3.0, 4.4, 4.04375)","(17.0, 44.0, 18.8)","(6.0, 9.8, 8.96)","(7.5, 13.5, 12.36)","(8.0, 17.5, 14.1625)","(2.15, 2.96, 2.62)","(41.0, 250.0, 113.71428571428571)","(101.0, 730.0, 621.6666666666666)"
