,Collinda Chips,Holy Smoke,Octavia Bale,Whitley Bale,Chapel Road,Irinka Gladys,Americano Miss
07-01-2023 18:40:10.477365,"(1.75, 2.06, 2.0567407407407408)","(6.0, 7.2, 7.133333333333334)","(31.0, 46.0, 43.391304347826086)","(5.5, 7.2, 7.008620689655173)","(8.5, 10.5, 10.333333333333334)","(20.0, 28.0, 27.333333333333332)","(10.0, 12.5, 12.472602739726028)"
07-01-2023 18:40:11.364970,"(1.75, 2.06, 2.050532544378698)","(6.0, 7.4, 7.174712643678161)","(31.0, 46.0, 43.46666666666667)","(5.5, 7.2, 7.009174311926605)","(8.5, 10.5, 10.228260869565217)","(20.0, 28.0, 27.529411764705884)","(10.0, 12.5, 12.696969696969697)"
07-01-2023 18:40:12.256991,"(1.75, 2.04, 2.0347107438016527)","(6.0, 7.4, 7.165)","(31.0, 46.0, 43.82857142857143)","(5.5, 7.2, 7.040909090909091)","(8.5, 10.5, 10.244186046511627)","(20.0, 32.0, 30.38095238095238)","(10.0, 13.0, 12.813253012048193)"
07-01-2023 18:40:13.145793,"(1.75, 2.04, 2.0347107438016527)","(6.0, 7.4, 7.165)","(31.0, 46.0, 43.422222222222224)","(5.5, 7.2, 7.008474576271187)","(8.5, 10.5, 10.209302325581396)","(20.0, 32.0, 30.526315789473685)","(10.0, 13.0, 12.759493670886076)"
07-01-2023 18:40:14.143154,"(1.75, 2.1, 2.0840883977900555)","(6.0, 7.2, 7.051612903225807)","(31.0, 46.0, 44.22222222222222)","(5.5, 7.0, 6.891131498470948)","(8.5, 10.5, 10.067567567567568)","(20.0, 32.0, 30.526315789473685)","(10.0, 13.0, 12.759493670886076)"
07-01-2023 18:40:15.177872,"(1.75, 2.1, 2.0863736263736263)","(6.0, 7.2, 7.024137931034483)","(31.0, 46.0, 44.54545454545455)","(5.5, 6.8, 6.7184)","(8.5, 10.5, 10.19811320754717)","(20.0, 32.0, 30.4)","(10.0, 13.0, 12.724719101123595)"
07-01-2023 18:40:16.129885,"(1.75, 2.12, 2.1035374149659867)","(6.0, 7.2, 7.188235294117647)","(31.0, 46.0, 44.4)","(5.5, 6.8, 6.713559322033898)","(8.5, 10.5, 10.19811320754717)","(20.0, 32.0, 30.4)","(10.0, 13.0, 12.724719101123595)"
07-01-2023 18:40:17.277729,"(1.75, 2.12, 2.1040677966101695)","(6.0, 7.2, 7.0636363636363635)","(31.0, 46.0, 44.857142857142854)","(5.5, 6.8, 6.646341463414634)","(8.5, 10.5, 10.201923076923077)","(20.0, 32.0, 30.26086956521739)","(10.0, 13.0, 12.88963963963964)"
07-01-2023 18:40:18.178343,"(1.75, 2.12, 2.1040677966101695)","(6.0, 7.2, 7.130232558139535)","(31.0, 46.0, 44.857142857142854)","(5.5, 6.8, 6.624657534246575)","(8.5, 10.5, 10.201923076923077)","(20.0, 32.0, 30.22222222222222)","(10.0, 13.0, 12.934272300469484)"
07-01-2023 18:40:19.198933,"(1.75, 2.12, 2.114827586206897)","(6.0, 7.2, 7.130232558139535)","(31.0, 46.0, 44.857142857142854)","(5.5, 6.8, 6.673366834170854)","(8.5, 10.5, 10.228260869565217)","(20.0, 32.0, 30.26086956521739)","(10.0, 13.0, 12.934272300469484)"
07-01-2023 18:40:20.289020,"(1.75, 2.12, 2.114827586206897)","(6.0, 7.2, 7.131818181818182)","(31.0, 46.0, 45.0)","(5.5, 6.8, 6.6553191489361705)","(8.5, 10.5, 10.23404255319149)","(20.0, 32.0, 30.875)","(10.0, 13.0, 12.942583732057416)"
07-01-2023 18:40:21.409602,"(1.75, 2.12, 2.1173737373737374)","(6.0, 7.2, 7.131818181818182)","(31.0, 46.0, 45.0)","(5.5, 6.8, 6.648704663212436)","(8.5, 10.5, 10.215909090909092)","(21.0, 32.0, 30.875)","(10.0, 13.0, 12.957920792079207)"
07-01-2023 18:40:23.466752,"(1.75, 2.12, 2.121739130434783)","(6.0, 7.2, 7.121568627450981)","(31.0, 46.0, 45.0)","(5.5, 6.8, 6.660869565217391)","(8.5, 10.5, 10.3)","(21.0, 30.0, 29.677966101694913)","(10.0, 13.0, 12.957711442786069)"
07-01-2023 18:40:25.245616,"(1.75, 2.14, 2.095555555555556)","(6.0, 7.2, 7.124260355029586)","(31.0, 46.0, 44.22222222222222)","(5.5, 6.8, 6.676288659793815)","(8.5, 10.5, 10.329787234042554)","(21.0, 30.0, 29.688524590163933)","(10.0, 13.5, 13.171875)"
07-01-2023 18:40:26.576981,"(1.75, 2.1, 2.095555555555556)","(6.0, 7.2, 7.123809523809524)","(31.0, 46.0, 45.03030303030303)","(5.5, 6.8, 6.678431372549019)","(8.5, 10.5, 10.313953488372093)","(21.0, 30.0, 28.818181818181817)","(10.0, 13.5, 13.171875)"
07-01-2023 18:40:27.882334,"(1.75, 2.1, 2.0907462686567166)","(6.0, 7.2, 7.181818181818182)","(31.0, 46.0, 44.4)","(5.5, 6.8, 6.561764705882353)","(8.5, 10.5, 10.371794871794872)","(21.0, 29.0, 28.571428571428573)","(10.0, 13.5, 13.054054054054054)"
07-01-2023 18:40:28.975390,"(1.75, 2.1, 2.0907462686567166)","(6.0, 7.2, 7.181818181818182)","(31.0, 46.0, 44.4)","(5.5, 6.6, 6.571111111111111)","(8.5, 10.5, 10.337209302325581)","(21.0, 29.0, 28.3)","(10.0, 13.5, 13.433333333333334)"
07-01-2023 18:40:29.952597,"(1.75, 2.08, 2.0796551724137933)","(6.0, 7.2, 7.182352941176471)","(31.0, 46.0, 44.4)","(5.5, 6.6, 6.571111111111111)","(8.5, 10.5, 10.337209302325581)","(21.0, 30.0, 28.3)","(10.0, 13.5, 13.433333333333334)"
07-01-2023 18:40:30.963331,"(1.75, 2.1, 2.0761616161616163)","(6.0, 7.2, 7.172727272727273)","(31.0, 46.0, 44.857142857142854)","(5.5, 6.8, 6.618705035971223)","(8.5, 10.5, 10.363636363636363)","(21.0, 30.0, 28.20689655172414)","(10.0, 13.5, 13.467391304347826)"
07-01-2023 18:40:31.987685,"(1.75, 2.1, 2.073777777777778)","(6.0, 7.2, 7.172727272727273)","(31.0, 46.0, 45.44827586206897)","(5.5, 6.8, 6.618705035971223)","(8.5, 10.5, 10.363636363636363)","(21.0, 30.0, 28.424242424242426)","(10.0, 13.5, 13.464285714285714)"
07-01-2023 18:40:32.949036,"(1.75, 2.08, 2.065964912280702)","(6.0, 7.2, 7.172727272727273)","(31.0, 46.0, 45.44827586206897)","(5.5, 6.8, 6.64)","(8.5, 10.5, 10.363636363636363)","(21.0, 30.0, 28.424242424242426)","(10.0, 13.5, 13.52)"
07-01-2023 18:40:33.955507,"(1.75, 2.06, 2.0476190476190474)","(6.0, 7.4, 7.210752688172043)","(31.0, 46.0, 44.4)","(5.5, 6.8, 6.786363636363636)","(8.5, 10.5, 10.430555555555555)","(21.0, 29.0, 28.7)","(10.0, 14.0, 13.605263157894736)"
07-01-2023 18:40:35.122446,"(1.75, 2.06, 2.040769230769231)","(6.0, 7.4, 7.251968503937008)","(31.0, 46.0, 44.4)","(5.5, 6.8, 6.697560975609756)","(8.5, 11.0, 10.46376811594203)","(21.0, 29.0, 28.2)","(10.0, 14.0, 13.738095238095237)"
07-01-2023 18:40:36.225030,"(1.75, 2.06, 2.04625)","(6.0, 7.4, 7.251968503937008)","(31.0, 46.0, 45.111111111111114)","(5.5, 6.8, 6.711111111111111)","(8.5, 11.0, 10.370967741935484)","(21.0, 29.0, 28.2)","(10.0, 14.0, 13.923076923076923)"
07-01-2023 18:40:37.183191,"(1.75, 2.06, 2.044722222222222)","(6.0, 7.4, 7.256410256410256)","(31.0, 46.0, 45.333333333333336)","(5.5, 6.8, 6.731914893617021)","(8.5, 10.5, 10.370967741935484)","(21.0, 29.0, 28.2)","(10.0, 14.0, 14.1)"
07-01-2023 18:40:38.113421,"(1.75, 2.06, 2.038102189781022)","(6.0, 7.4, 7.251968503937008)","(31.0, 48.0, 45.88235294117647)","(5.5, 6.8, 6.719230769230769)","(8.5, 10.5, 10.4375)","(21.0, 29.0, 28.142857142857142)","(10.0, 14.5, 14.3)"
07-01-2023 18:40:39.017452,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:39.904084,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:40.788072,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:41.787093,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:43.072347,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:44.116524,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:45.097860,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:46.121361,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:47.194334,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:48.138849,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:49.158535,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:50.043096,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:51.069516,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:52.000883,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:52.903086,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
07-01-2023 18:40:53.825365,"(1.75, 99998, 9998.5)","(6.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(5.5, 99998, 9998.5)","(8.5, 99998, 9998.5)","(21.0, 99998, 9998.5)","(10.0, 99998, 9998.5)"
