,Kooringa Magic,Dragon Smoke,Our Mate Ewan,Bit Of Mischief,Ripple Lane,Annika Mac,Rosdue Kodiak
24,"[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 52, 260909), 9.0, 22.0]"
25,"[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 53, 379755), 9.0, 22.0]"
26,"[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 54, 509292), 9.0, 22.0]"
27,"[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 55, 622452), 9.0, 22.0]"
28,"[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 56, 754854), 9.0, 22.0]"
29,"[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 57, 886981), 9.0, 22.0]"
30,"[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 58, 59, 20702), 9.0, 22.0]"
31,"[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 0, 165285), 9.0, 22.0]"
32,"[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 1, 291962), 9.0, 22.0]"
33,"[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 1.85, 2.54]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 10.0, 23.0]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 5.5, 9.4]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 6.0, 19.5]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 5.0, 17.0]","[datetime.datetime(2022, 11, 28, 11, 59, 2, 405660), 9.0, 22.0]"
