,Joint Forces,Mango Tango Wine,Mr Tangles,Sea Stitch,Falvelon Delight,Mrs Gloop,Paparazzi Rocket,Stars And Shadows,Talk Crazy,Cosmic Starlet,Miss Starlette
07-01-2023 13:34:26.530948,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.1375)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 82.5)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:28.185814,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 85.0)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:29.771839,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 5.966666666666667)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:31.333190,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.2, 5.966666666666667)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:33.042608,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.2, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:34.857542,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.1375)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.455555555555556)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 5.86)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:36.321436,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:37.842714,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:39.340659,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 76.66666666666666)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
07-01-2023 13:34:40.811900,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.458823529411765)","(31.0, 95.0, 62.0)","(4.6, 6.4, 5.966666666666667)","(71.0, 100.0, 79.16666666666667)","(5.5, 8.4, 7.066666666666666)","(9.0, 12.5, 10.9)","(61.0, 210.0, 166.66666666666669)","(31.0, 65.0, 60.8)"
