,Prince Of Melton,Liverpool Street,Summer Season,Very Unstable,Stormy Trench,Its Luigi
11-01-2023 15:36:30.261568,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:31.162891,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:32.162853,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:33.115612,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:34.108659,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:35.063329,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:35.980861,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:37.024637,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:38.064849,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:39.114181,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:40.040711,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:40.920667,"(3.1, 4.7, 3.08)","(20.0, 200.0, 189.35294117647058)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:36:41.908174,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:42.983260,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:43.926137,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:44.866114,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:45.846256,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:46.812408,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:47.828028,"(3.1, 4.7, 3.4676923076923076)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:48.721794,"(3.1, 4.7, 3.08)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:49.602800,"(3.1, 4.7, 3.08)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:50.624396,"(3.1, 4.7, 3.08)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 4.64)","(10.0, 20.0, 13.25)"
11-01-2023 15:36:51.624222,"(3.1, 4.7, 3.08)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 3.759259259259259)","(10.0, 20.0, 16.55)"
11-01-2023 15:36:52.658156,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:53.552594,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:54.423580,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:55.420316,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:56.424382,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:57.421446,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:58.306895,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:36:59.247801,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:00.230120,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:01.237711,"(3.1, 4.5, 3.0454545454545454)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:02.112530,"(3.1, 4.5, 3.8923076923076922)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:03.051051,"(3.1, 4.5, 3.973333333333333)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:04.033295,"(3.1, 4.5, 3.973333333333333)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 3.759259259259259)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:05.064368,"(3.1, 4.5, 3.973333333333333)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.133333333333333)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.2, 5.563636363636364)","(10.0, 19.0, 16.55)"
11-01-2023 15:37:06.091080,"(3.1, 4.5, 3.973333333333333)","(20.0, 200.0, 154.875)","(4.8, 7.8, 5.239999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 5.563636363636364)","(10.0, 19.0, 13.25)"
11-01-2023 15:37:06.984431,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 9.0, 5.563636363636364)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:07.894638,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 8.8, 5.911111111111111)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:08.858455,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 8.8, 5.911111111111111)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:09.830757,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 8.8, 5.911111111111111)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:10.759192,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 5.319999999999999)","(3.0, 4.9, 3.577272727272727)","(3.6, 8.8, 5.911111111111111)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:11.694989,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.577272727272727)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:12.709594,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:13.674808,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:14.576828,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:15.471461,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:16.524763,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:17.515171,"(3.1, 4.7, 3.152)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:18.543994,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 4.5171052631578945)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:19.446410,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 4.5171052631578945)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:20.324579,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.590909090909091)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:21.360702,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.95)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:22.484167,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 154.875)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:23.427446,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 155.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:24.461264,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 155.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:25.425138,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 155.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:26.383833,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 155.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:27.380475,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 128.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:28.359716,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 128.0)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:29.349600,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 159.66666666666669)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:30.288233,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 159.66666666666669)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:31.283457,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 159.66666666666669)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:32.349742,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.6045454545454545)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:33.405119,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.316666666666667)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:34.431537,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:35.382899,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:36.317711,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:37.296443,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.3583333333333334)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:38.346795,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:39.324477,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 4.425)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:40.347591,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:41.233147,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 160.22222222222223)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 13.25)"
11-01-2023 15:37:42.238072,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:43.307521,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 164.2)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:44.293946,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 164.2)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:45.275885,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:46.156046,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:47.109127,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:48.133807,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:49.078530,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.58125)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:50.017288,"(3.1, 4.7, 4.059200000000001)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:50.934125,"(3.1, 4.7, 4.199375)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:51.902202,"(3.1, 4.7, 4.199375)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 6.175000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:52.901125,"(3.1, 4.7, 4.199375)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:53.845967,"(3.1, 4.7, 4.199375)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 7.066666666666667)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:54.705825,"(3.1, 4.7, 4.199375)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.612500000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:55.672026,"(3.1, 4.7, 3.152)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.675000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:56.680135,"(3.1, 4.7, 3.152)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.675000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:57.649845,"(3.1, 4.7, 3.152)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.675000000000001)","(10.0, 20.0, 18.945454545454545)"
11-01-2023 15:37:58.579103,"(3.1, 4.7, 3.152)","(20.0, 200.0, 140.33333333333331)","(4.8, 8.2, 6.6)","(3.0, 4.9, 3.283333333333333)","(3.6, 8.8, 5.675000000000001)","(10.0, 20.0, 18.945454545454545)"
