,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:09:22.592004,"(13.0, 44.0, 31.5)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.2, 7.4)"
08-01-2023 19:09:23.434213,"(13.0, 44.0, 31.5)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.7, 3.8000000000000003)","(31.0, 320.0, 181.0)","(5.5, 9.2, 7.4)"
08-01-2023 19:09:24.324396,"(13.0, 44.0, 35.66666666666667)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.4)"
08-01-2023 19:09:25.131555,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.4)"
08-01-2023 19:09:26.026342,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:26.840886,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:27.677014,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:28.606692,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:29.516832,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:30.317149,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.925)","(31.0, 330.0, 83.14285714285714)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:31.187995,"(13.0, 38.0, 31.666666666666664)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:32.023911,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.7818181818181817)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
