,Money And Power,Confer,Flash Banner,Zipping Eve,Madalia Zoom,Classic Touch,Afternoon,Center
07-12-2022 20:12:00.829080,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:02.187361,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:03.495450,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:04.916797,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:06.340061,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.8238709677419354)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:07.725116,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:09.043114,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:10.458690,"(3.3, 6.4, 3.55)","(31.0, 100.0, 46.90909090909091)","(26.0, 70.0, 37.27272727272727)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:11.783601,"(3.3, 6.4, 3.55)","(31.0, 100.0, 52.5)","(26.0, 70.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:12.978663,"(3.3, 6.4, 3.55)","(31.0, 95.0, 52.5)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:14.183451,"(3.3, 6.4, 3.55)","(31.0, 95.0, 52.5)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:15.418156,"(3.3, 6.4, 3.55)","(31.0, 95.0, 52.5)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:16.715377,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:17.996033,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:19.322962,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:20.564792,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:21.791899,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:22.933177,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:24.148619,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:25.307627,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:26.492131,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:27.690597,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:28.880288,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:30.120658,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:31.344906,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:32.438110,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.683478260869565)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 8.55)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:33.651901,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 4.0, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 11.399999999999999)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:34.842394,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 10.899999999999999)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:36.072180,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 10.899999999999999)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:37.350407,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 10.899999999999999)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:38.587857,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 11.775)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:39.874085,"(3.3, 6.4, 3.55)","(31.0, 95.0, 45.54545454545455)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 12.48)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:41.224091,"(3.3, 6.4, 3.55)","(31.0, 95.0, 50.625)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 12.48)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:42.510260,"(3.3, 6.4, 3.55)","(31.0, 90.0, 44.18181818181819)","(26.0, 65.0, 35.90909090909091)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 14.538461538461538)","(6.5, 15.0, 12.48)","(8.0, 16.0, 12.22857142857143)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:43.771030,"(3.3, 6.4, 3.55)","(31.0, 90.0, 50.625)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 11.10344827586207)","(6.5, 15.0, 11.05)","(8.0, 16.0, 8.528571428571428)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:44.973485,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:46.194910,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:47.355138,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:48.525313,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:49.734858,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 38.75)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:51.014961,"(3.3, 6.2, 4.725)","(31.0, 90.0, 46.25)","(26.0, 65.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:52.305976,"(3.3, 6.2, 4.725)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:53.449123,"(3.3, 6.2, 4.725)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 8.3625)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:54.637394,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 13.766666666666666)"
07-12-2022 20:12:55.840142,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:12:57.074014,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:12:58.412731,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:12:59.753130,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 11.05)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:01.181792,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:02.489078,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:03.847224,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 9.41)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:05.225563,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:06.526262,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:07.871101,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:09.236090,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:10.601936,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:11.988927,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.92)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:13.254916,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.92)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:14.519910,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 40.625)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 11.0)","(6.5, 15.5, 12.147368421052633)","(8.0, 16.5, 10.581818181818182)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:15.853790,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 10.274999999999999)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:17.101780,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 10.274999999999999)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:18.783034,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 16.5, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:20.559385,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:22.147222,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:23.887941,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:25.407840,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:26.966733,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:28.363236,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
07-12-2022 20:13:29.635882,"(3.3, 6.2, 5.4625)","(31.0, 100.0, 50.0)","(26.0, 70.0, 43.888888888888886)","(2.6, 3.95, 3.6983333333333333)","(8.5, 17.0, 8.619047619047619)","(6.5, 15.5, 8.577777777777778)","(8.0, 16.5, 9.422222222222222)","(6.5, 14.5, 11.5)"
