,Shesa Pocketrocket,Tinge Of Fear,Goalkicker,A Whole Lotta Rosie Nz,Shez Notorious,Goldies A Delight,Keayang Tara,Whata Journey,Couldntmisafalcon,Delightful Rainbow
07-01-2023 20:18:42.100011,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:43.745413,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:45.358114,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:46.917969,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:48.501373,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:50.131745,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:51.720569,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 12.6)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:53.297343,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 16.0, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:54.814939,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:56.362364,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:57.861736,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:18:59.386304,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:00.866247,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:02.393534,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:04.008330,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:05.579936,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:07.129051,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:08.661903,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:10.417895,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:12.341686,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:14.005584,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:15.830489,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:17.478511,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:19.152117,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:20.768681,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:22.489239,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:24.144808,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:25.877880,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:27.682604,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:29.469510,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:31.022164,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:32.650251,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:34.370559,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:36.160639,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:38.482221,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:40.326387,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:42.195811,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:43.948621,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:45.548759,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:47.190096,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:48.766986,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:50.441819,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:52.027041,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:53.653908,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:55.277742,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:56.900072,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:58.472071,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:19:59.964532,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:20:01.510050,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 44.5)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:20:03.085348,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 29.857142857142858)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:20:04.738404,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 29.857142857142858)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:20:06.448792,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 29.857142857142858)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
07-01-2023 20:20:08.287728,"(7.0, 12.5, 10.666666666666666)","(3.4, 5.4, 4.425000000000001)","(10.0, 15.5, 10.774999999999999)","(15.0, 99999, 99990)","(4.2, 6.0, 5.62)","(6.0, 9.6, 8.649999999999999)","(61.0, 190.0, 166.66666666666666)","(26.0, 65.0, 29.857142857142858)","(6.0, 9.8, 8.825000000000001)","(20.0, 40.0, 28.75)"
