,All Lit Up,My Brockie,Flying Tiny Tim,Yeah Duggi,Genuine Risk,Adele Amour,Elite Choice,Astral Star
20,"[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 39, 711224), 16.0, 34.0]"
21,"[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 40, 863610), 16.0, 34.0]"
22,"[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 41, 992284), 16.0, 34.0]"
23,"[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 20.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 43, 125629), 16.0, 34.0]"
24,"[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 44, 280202), 16.0, 34.0]"
25,"[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 45, 420376), 16.0, 29.0]"
26,"[datetime.datetime(2022, 11, 28, 18, 23, 46, 562903), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 46, 563905), 16.0, 29.0]"
27,"[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 47, 738904), 16.0, 29.0]"
28,"[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 48, 890877), 16.0, 30.0]"
29,"[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 1.8, 2.48]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 8.5, 17.0]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 31.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 4.0, 6.6]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 101.0, 730.0]","[datetime.datetime(2022, 11, 28, 18, 23, 50, 32332), 16.0, 44.0]"
