,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:26:36.911954,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:37.998414,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:38.960414,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:39.978420,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8310344827586207)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:40.948141,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:41.915360,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:42.905184,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:43.969151,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:45.000212,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:45.994535,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:47.032391,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:48.063910,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:48.974986,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:49.967392,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:50.965272,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:51.904898,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:52.899992,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:53.807092,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:54.741047,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:55.753554,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:56.685925,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:57.669872,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:58.809161,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:26:59.770265,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:00.722492,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:01.675198,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:02.573909,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:03.616239,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.8125)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:04.658267,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.9375)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:05.570208,"(2.6, 3.9, 3.275)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.9375)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:06.505881,"(2.6, 3.9, 3.275)","(1.9, 1.9, 1.8320388349514565)","(4.2, 9.0, 6.9375)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
