,Kraken Freckles,Diva Dot,Shanias Dream,Vortex,Kraken Attila,Slingshot Bruno,Stylish Ken,Husky Freckle
08-12-2022 12:34:41.769417,"(2.5, 3.7, 2.762962962962963)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:43.053542,"(2.5, 3.7, 3.4800000000000004)","(26.0, 60.0, 52.6)","(21.0, 55.0, 36.86666666666667)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 6.771428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:44.214190,"(2.5, 3.9, 2.9058823529411764)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 7.4750000000000005)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:45.456206,"(2.5, 3.9, 2.9058823529411764)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 5.7)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:46.651871,"(2.5, 3.9, 2.9058823529411764)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 5.7)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:47.814879,"(2.5, 3.9, 2.9058823529411764)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 5.7)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:48.957263,"(2.5, 3.9, 2.9058823529411764)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 5.7)","(3.5, 5.5, 4.15)","(26.0, 290.0, 141.42857142857144)"
08-12-2022 12:34:50.121151,"(2.5, 3.9, 2.86)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.4947368421052625)","(4.2, 8.4, 5.7)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:51.259742,"(2.5, 3.9, 2.9831578947368422)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.68)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:52.571610,"(2.5, 3.9, 2.9831578947368422)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:53.919220,"(2.5, 3.9, 2.9831578947368422)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:55.239222,"(2.5, 3.9, 3.4161111111111113)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.663157894736842)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:56.554559,"(2.5, 3.9, 3.4161111111111113)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.6)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:57.893656,"(2.5, 3.9, 3.4161111111111113)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.709090909090909)","(4.2, 8.4, 7.2)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:34:59.203809,"(2.5, 3.9, 3.4161111111111113)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.709090909090909)","(4.2, 8.4, 7.0875)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:00.602590,"(2.5, 3.9, 3.4161111111111113)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.0875)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:01.967325,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.0875)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:03.269935,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 5.925)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:04.565842,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.1625)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:06.054585,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.709090909090909)","(4.2, 8.4, 7.1625)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:07.493977,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:08.750564,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:10.348091,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.745454545454546)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:11.670424,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 4.745454545454546)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:13.015745,"(2.5, 3.9, 2.8905882352941177)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 4.745454545454546)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 64.22222222222223)"
08-12-2022 12:35:14.416106,"(2.5, 3.9, 2.84375)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.8545454545454545)","(4.2, 8.4, 7.0285714285714285)","(3.5, 5.5, 4.15)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:15.829231,"(2.5, 3.9, 2.84375)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.444444444444445)","(4.2, 8.4, 7.071428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:17.260184,"(2.5, 3.8, 3.495)","(26.0, 60.0, 52.6)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.444444444444445)","(4.2, 8.4, 7.071428571428571)","(3.5, 5.5, 4.15)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:18.629948,"(2.5, 3.8, 3.495)","(26.0, 65.0, 31.0)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.933333333333333)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.15)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:20.056732,"(2.5, 3.9, 2.9058823529411764)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.8545454545454545)","(4.2, 8.4, 7.4)","(3.5, 5.5, 4.15)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:21.445915,"(2.5, 3.9, 2.9058823529411764)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.7)","(4.2, 8.4, 7.4)","(3.5, 5.5, 4.949999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:22.824895,"(2.5, 3.85, 2.863157894736842)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 6.0)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.3, 4.949999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:24.042816,"(2.5, 3.85, 2.863157894736842)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 6.0)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.3, 4.949999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:25.308071,"(2.5, 3.9, 2.7625)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.6)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:26.645556,"(2.5, 3.9, 2.7625)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.6)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:27.993900,"(2.5, 3.9, 3.0)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.6)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:29.367237,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.578947368421053)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:30.743342,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.707692307692308)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:32.109774,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.55)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:33.479092,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.55)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:34.805247,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.0)","(4.2, 8.4, 7.114285714285715)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:36.135756,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.066666666666666)","(4.0, 8.4, 6.3)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:37.466772,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 5.75)","(4.0, 8.4, 6.3)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:38.813985,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 5.675)","(4.0, 8.4, 6.3)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:40.198732,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 5.675)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:41.532710,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 5.960000000000001)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:42.869845,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 4.927272727272728)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:44.254284,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 5.640000000000001)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 3.8388888888888886)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:45.644277,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.640000000000001)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:47.014512,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.575)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:48.473804,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 45.85714285714286)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.575)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:49.878525,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 45.85714285714286)","(26.0, 90.0, 58.0)","(4.4, 6.0, 5.607142857142858)","(4.0, 8.4, 7.753846153846155)","(3.5, 5.5, 4.043333333333333)","(26.0, 290.0, 66.0)"
08-12-2022 12:35:51.260423,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 5.9, 5.5)","(4.0, 8.4, 7.0)","(3.5, 5.4, 4.043333333333333)","(26.0, 290.0, 81.2)"
08-12-2022 12:35:52.587125,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 5.9, 5.5)","(4.0, 8.4, 7.0)","(3.5, 5.4, 4.043333333333333)","(26.0, 290.0, 81.2)"
08-12-2022 12:35:53.923672,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.6, 4.5777777777777775)","(4.0, 8.4, 6.685714285714286)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:35:55.279741,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.6000000000000005)","(4.0, 8.4, 6.728571428571429)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:35:56.590401,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.6000000000000005)","(4.0, 8.4, 6.728571428571429)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:35:57.913281,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.6000000000000005)","(4.0, 8.4, 6.728571428571429)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:35:59.267235,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.6000000000000005)","(4.0, 8.4, 6.771428571428571)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:00.663307,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.8500000000000005)","(4.0, 8.4, 7.0125)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:02.076732,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.8500000000000005)","(4.0, 8.4, 7.0125)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:03.460517,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 4.671428571428572)","(4.0, 8.4, 7.0125)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:04.890550,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 4.86)","(4.0, 8.4, 6.857142857142858)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:06.314255,"(2.5, 3.85, 2.9846153846153847)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.9)","(4.0, 8.4, 6.857142857142858)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:07.746026,"(2.5, 3.85, 2.9125)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.9)","(4.0, 8.4, 6.9)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:09.206420,"(2.5, 3.85, 2.9275)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.825)","(4.0, 8.4, 7.1625)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:10.609012,"(2.5, 3.85, 2.8825000000000003)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.960000000000001)","(4.0, 8.4, 5.925)","(3.5, 5.5, 3.8388888888888886)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:12.062803,"(2.5, 3.85, 2.8825000000000003)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 5.875)","(4.0, 8.4, 5.925)","(3.5, 5.5, 4.0375)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:13.425088,"(2.5, 3.85, 2.8825000000000003)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.4, 4.87)","(4.0, 8.4, 7.300000000000001)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
08-12-2022 12:36:14.720023,"(2.5, 3.8, 3.5)","(26.0, 65.0, 33.5)","(21.0, 50.0, 46.375)","(26.0, 90.0, 58.0)","(4.4, 6.2, 5.525)","(4.0, 8.4, 7.300000000000001)","(3.5, 5.5, 5.109999999999999)","(26.0, 290.0, 83.6)"
