,Spill The Tears,Dragon Pins,Thunder Moon,Madagascar Miss,Brazetti,Rodian Bull,Sidewalk,Coffee Coming,Dynamic Jewel,Scare Campaign,Sunny Ekcels
12-01-2023 15:59:43.217521,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:44.839636,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:46.433234,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:47.871209,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:49.324939,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:50.763512,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:52.454456,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:53.899332,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:55.480458,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:56.902738,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:58.439499,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 15:59:59.804468,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:01.105223,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:02.463696,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:03.757396,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:05.102985,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:06.525299,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:07.941704,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 47.66666666666667)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.23076923076923)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:09.362543,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 42.6)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:10.725130,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:12.101586,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:13.476949,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:14.813645,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:16.165949,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:17.491877,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 118.75)","(11.0, 24.0, 23.09090909090909)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:18.802587,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.714285714285715)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:20.226838,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.38888888888889)","(1.75, 1.77, 1.7326829268292683)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.433333333333334)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.714285714285715)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:21.609533,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:23.047820,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:24.366797,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:25.650662,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:26.898703,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:28.193439,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:29.664600,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:31.014623,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:32.312474,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 16.5625)","(101.0, 190.0, 167.5)"
12-01-2023 16:00:33.625230,"(7.5, 12.5, 11.875)","(6.5, 13.5, 12.73076923076923)","(1.75, 1.77, 1.7335714285714285)","(9.0, 12.0, 11.884615384615385)","(21.0, 50.0, 44.0)","(19.0, 46.0, 39.46153846153846)","(21.0, 65.0, 50.5)","(11.0, 26.0, 25.55263157894737)","(91.0, 130.0, 123.57142857142857)","(11.0, 24.0, 20.86842105263158)","(101.0, 190.0, 167.5)"
