,Kaytee Valiente,Imagine Howe,Moscow Mule,True Scotsman,Anonymous Source,Olympic Honour,Has The Look,Klatten
11-01-2023 11:55:44.442798,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.834736842105263)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.2709090909090905)","(5.5, 9.0, 8.318181818181818)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:45.513232,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.84125)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.269230769230769)","(5.5, 9.0, 8.318181818181818)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:46.564598,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.8018181818181818)","(21.0, 44.0, 35.666666666666664)","(4.6, 5.3, 5.269230769230769)","(5.5, 9.0, 8.28)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:47.625043,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.7866666666666666)","(21.0, 44.0, 39.45454545454545)","(4.6, 5.3, 5.2384615384615385)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:48.646300,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 38.285714285714285)","(4.6, 5.3, 5.2384615384615385)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:49.691382,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 38.285714285714285)","(4.6, 5.3, 5.2384615384615385)","(5.5, 9.0, 8.341176470588234)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:50.681906,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 38.285714285714285)","(4.6, 5.3, 5.2384615384615385)","(5.5, 9.0, 8.341176470588234)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:51.662297,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 38.285714285714285)","(4.6, 5.2, 5.178571428571429)","(5.5, 9.0, 8.341176470588234)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:52.709051,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 37.75)","(4.6, 5.2, 5.188)","(5.5, 9.0, 8.341176470588234)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:53.768173,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 37.75)","(4.6, 5.2, 5.188)","(5.5, 9.0, 8.341176470588234)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:54.840856,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 37.75)","(4.6, 5.3, 5.2749999999999995)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:55.887971,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 37.75)","(4.6, 5.3, 5.2749999999999995)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:56.938667,"(15.0, 28.0, 26.22222222222222)","(2.25, 2.86, 2.793333333333333)","(21.0, 44.0, 36.5)","(4.6, 5.3, 5.2749999999999995)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:58.176560,"(15.0, 28.0, 26.4)","(2.25, 2.84, 2.7955555555555556)","(21.0, 44.0, 36.5)","(4.6, 5.3, 5.2898305084745765)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:55:59.219806,"(15.0, 28.0, 26.4)","(2.25, 2.84, 2.7955555555555556)","(21.0, 44.0, 36.5)","(4.6, 5.3, 5.2898305084745765)","(5.5, 9.0, 8.314285714285713)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.5625)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:00.317324,"(15.0, 28.0, 26.4)","(2.25, 2.84, 2.7955555555555556)","(21.0, 44.0, 36.5)","(4.6, 5.4, 5.272727272727273)","(5.5, 8.6, 8.381818181818181)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.571428571428571)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:01.359948,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.7955555555555556)","(21.0, 42.0, 39.0)","(4.6, 5.4, 5.272727272727273)","(5.5, 8.6, 8.381818181818181)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.552631578947368)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:02.470279,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.7955555555555556)","(21.0, 40.0, 37.5)","(4.6, 5.4, 5.272727272727273)","(5.5, 8.6, 8.381818181818181)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.552631578947368)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:03.561543,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.7955555555555556)","(21.0, 40.0, 35.0)","(4.6, 5.4, 5.292307692307692)","(5.5, 8.6, 8.381818181818181)","(10.0, 12.5, 12.4375)","(5.5, 5.7, 5.552631578947368)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:04.663609,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.7955555555555556)","(21.0, 40.0, 35.0)","(4.6, 5.4, 5.272727272727273)","(5.5, 8.6, 8.257142857142856)","(10.0, 13.0, 12.28)","(5.5, 5.7, 5.529411764705882)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:05.778601,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.7955555555555556)","(21.0, 40.0, 35.0)","(4.6, 5.4, 5.366666666666667)","(5.5, 8.6, 8.257142857142856)","(10.0, 13.0, 12.28)","(5.5, 5.6, 5.629411764705883)","(51.0, 130.0, 120.0)"
11-01-2023 11:56:06.918670,"(15.0, 28.0, 26.4)","(2.3, 2.82, 2.798181818181818)","(21.0, 40.0, 35.0)","(4.6, 5.4, 5.345454545454546)","(5.5, 8.6, 8.257142857142856)","(10.0, 13.0, 12.28)","(5.5, 5.7, 5.640000000000001)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:07.964501,"(15.0, 28.0, 26.4)","(2.3, 2.84, 2.8127272727272725)","(21.0, 40.0, 35.0)","(4.6, 5.4, 5.345454545454546)","(5.5, 8.6, 8.381818181818181)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.58)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:09.085345,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 40.0, 34.0)","(4.6, 5.4, 5.36)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.58)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:10.083946,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 40.0, 34.0)","(4.6, 5.4, 5.36)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.538461538461538)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:11.123244,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 40.0, 34.0)","(4.6, 5.4, 5.36)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.538461538461538)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:12.192947,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 40.0, 34.0)","(4.6, 5.4, 5.36)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.576470588235295)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:13.226199,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 40.0, 34.0)","(4.6, 5.4, 5.36)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.578571428571428)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:14.266126,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 38.0, 36.4)","(4.6, 5.4, 5.36842105263158)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.579661016949152)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:15.289784,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.306666666666667)","(5.5, 8.6, 8.422222222222222)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.672881355932203)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:16.323567,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.306666666666667)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.7, 5.579661016949152)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:17.314615,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.292307692307692)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.579661016949152)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:18.332233,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.8)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.292307692307692)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.514285714285714)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:19.453765,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.797142857142857)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.292307692307692)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.465)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:20.533179,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.804)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.292307692307692)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.6, 5.465)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:21.654933,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.804)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.31764705882353)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.5, 5.32)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:22.745961,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.78, 2.762083333333333)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.31764705882353)","(5.5, 8.6, 8.466666666666667)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.5, 5.32)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:23.732536,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.82, 2.7779999999999996)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.4, 5.31764705882353)","(5.5, 8.6, 8.555555555555555)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.5, 5.32)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:24.770808,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.8, 2.7666666666666666)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.5, 5.3545454545454545)","(5.5, 8.6, 8.555555555555555)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.5, 5.475510204081632)","(51.0, 130.0, 125.0)"
11-01-2023 11:56:25.736731,"(15.0, 28.0, 26.666666666666668)","(2.3, 2.8, 2.7666666666666666)","(21.0, 38.0, 33.55555555555556)","(4.6, 5.5, 5.3545454545454545)","(5.5, 8.6, 8.555555555555555)","(10.0, 13.0, 12.25925925925926)","(5.5, 5.5, 5.558)","(51.0, 130.0, 125.0)"
