,Denis The Menace,Kinimakatka,Artificial Blue,Lektra Flying,Nash Bale,Rose Danae,Speedy Mouse,Jayville Menace
04-01-2023 15:52:50.700205,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:51.784859,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:52.759963,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:53.836744,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:54.947344,"(5.5, 11.0, 10.214285714285715)","(4.6, 7.8, 6.3999999999999995)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:56.032513,"(5.5, 11.0, 10.214285714285715)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:57.140222,"(5.5, 11.0, 10.214285714285715)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:58.249952,"(5.5, 11.0, 10.214285714285715)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:52:59.335448,"(5.5, 11.0, 10.214285714285715)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:00.445624,"(5.5, 11.0, 10.214285714285715)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:01.526704,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:02.594210,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:03.729782,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:04.795969,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:05.877121,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:06.935299,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:07.957645,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:08.984151,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:10.015966,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:11.088297,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:12.210009,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:13.333829,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:14.431014,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:15.525045,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:16.531323,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:17.502926,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:18.562426,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:19.677061,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:20.775806,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:21.897345,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:23.095011,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:24.275964,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:25.323582,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:26.364865,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:27.471142,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:28.694783,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:29.772347,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 44.375)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:30.814049,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:31.858234,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:32.978259,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:34.085971,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:35.265049,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:36.429751,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:37.583043,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:38.669170,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:39.694411,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 46.25)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:40.707711,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:41.737836,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:42.869181,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:43.977605,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:45.121248,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:46.183886,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:47.289204,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:48.363494,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:49.395026,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:50.391203,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:51.477366,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:52.481896,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:53.541257,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:54.592761,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:55.657195,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:56.732331,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:57.809622,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:53:58.914480,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:00.014836,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:01.151148,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:02.268119,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:03.354778,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:04.477573,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 57.91666666666667)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:05.587293,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:06.585448,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:07.611189,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 8.98)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:08.727549,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:09.834464,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
04-01-2023 15:54:10.993651,"(5.5, 11.0, 10.725000000000001)","(4.6, 8.0, 6.52)","(14.0, 32.0, 29.8125)","(5.5, 8.2, 6.92)","(5.0, 11.5, 9.06)","(31.0, 85.0, 45.625)","(9.0, 17.0, 13.56)","(3.0, 4.8, 3.6)"
