,Jayville Mac,Typhoon Missile,Orford Bale,Alvarez Bale,Groomsman,Son Of Brock,Was A Soldier,Chasing Boyd
04-01-2023 13:12:18.874568,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:19.916584,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:20.978537,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:22.037702,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:23.160865,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:24.323938,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:25.464562,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:26.484976,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:27.599816,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:28.724107,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:29.791217,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:30.856032,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:31.966582,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:33.089184,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 33.125)","(18.0, 65.0, 36.25)","(3.1, 4.6, 3.8421052631578947)","(17.0, 40.0, 24.307692307692307)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 19.125)","(6.0, 11.5, 9.777777777777779)"
