,Atout,Blue Sparkler,La Bella Figura,Aru And Me,Dazy Sundaze,Ellies Image,Irene Rose,Great Fantasy Nz,Liberty Song
09-01-2023 15:00:21.093533,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:22.500078,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:23.880062,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:25.366785,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:26.697905,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:28.168083,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:29.857617,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:31.384476,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:32.713976,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:33.972663,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:35.275758,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:36.760841,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:38.235842,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:39.744854,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:41.254666,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:42.750002,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:44.180163,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:45.632565,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:47.040347,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:48.416864,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:49.705420,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:50.997927,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:52.233821,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:53.501989,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:54.840454,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:56.161579,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:57.431586,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:00:58.741500,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:00.014365,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:01.304388,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:02.598731,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:03.839975,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:05.129389,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:06.351738,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:07.573159,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:08.810612,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:10.018661,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:11.212856,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:12.432506,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:13.661465,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:14.870054,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:16.158209,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:17.416779,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:18.657664,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:19.942366,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:21.214256,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:22.458223,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:23.745019,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:25.024302,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:26.316896,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:27.555630,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:28.740652,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:29.994736,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:31.370932,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
09-01-2023 15:01:32.692707,"(4.8, 5.4, 4.733333333333333)","(11.0, 13.0, 11.666666666666666)","(4.2, 6.2, 5.550000000000001)","(6.0, 8.6, 7.8)","(41.0, 70.0, 48.666666666666664)","(101.0, 220.0, 173.33333333333334)","(2.5, 3.3, 3.1466666666666665)","(16.0, 99999, 99990)","(10.0, 22.0, 19.6)"
