,Bourne Nancy,Remember Lee,Air Grace,Dolly Quokka,Glengyre Fury
10-01-2023 11:58:10.257246,"(7.5, 12.5, 12.214285714285714)","(2.05, 2.26, 2.242857142857143)","(4.8, 6.8, 6.666666666666667)","(3.0, 3.5, 3.481818181818182)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:11.166352,"(7.5, 12.5, 12.214285714285714)","(2.05, 2.26, 2.242857142857143)","(4.8, 6.8, 6.666666666666667)","(3.0, 3.5, 3.481818181818182)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:12.003226,"(7.5, 12.5, 12.214285714285714)","(2.05, 2.26, 2.242857142857143)","(4.8, 6.8, 6.666666666666667)","(3.0, 3.5, 3.481818181818182)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:12.873035,"(7.5, 13.0, 12.192307692307692)","(2.05, 2.26, 2.2485714285714287)","(4.8, 6.8, 6.654545454545454)","(3.0, 3.45, 3.438888888888889)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:13.748609,"(7.5, 13.0, 12.543478260869565)","(2.05, 2.26, 2.2485714285714287)","(4.8, 6.8, 6.654545454545454)","(3.0, 3.45, 3.415)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:14.639589,"(7.5, 13.0, 12.46)","(2.05, 2.32, 2.308695652173913)","(4.8, 6.8, 6.626086956521739)","(3.0, 3.4, 3.3583333333333334)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:15.483316,"(7.5, 13.0, 12.543478260869565)","(2.05, 2.32, 2.315)","(4.8, 6.8, 6.647619047619048)","(3.0, 3.35, 3.335)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:16.414211,"(7.5, 13.0, 12.543478260869565)","(2.05, 2.32, 2.315)","(4.8, 6.8, 6.647619047619048)","(3.0, 3.35, 3.335)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:17.497250,"(7.5, 13.0, 12.543478260869565)","(2.05, 2.32, 2.315)","(4.8, 6.8, 6.647619047619048)","(3.0, 3.35, 3.335)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:18.343863,"(7.5, 13.0, 12.543478260869565)","(2.05, 2.32, 2.315)","(4.8, 6.8, 6.647619047619048)","(3.0, 3.35, 3.335)","(21.0, 40.0, 36.17391304347826)"
10-01-2023 11:58:19.244701,"(7.5, 13.5, 12.14)","(2.05, 2.34, 2.336875)","(5.0, 6.8, 6.622222222222223)","(3.0, 3.35, 3.2954545454545454)","(21.0, 40.0, 36.32)"
10-01-2023 11:58:20.239732,"(8.0, 12.5, 11.714285714285714)","(2.05, 2.34, 2.3275862068965516)","(5.0, 6.4, 6.368627450980393)","(3.0, 3.5, 3.4044776119402984)","(21.0, 40.0, 37.371428571428574)"
10-01-2023 11:58:21.175011,"(8.0, 12.5, 11.96)","(2.05, 2.32, 2.3178640776699027)","(5.0, 6.4, 6.364912280701755)","(3.0, 3.5, 3.4296296296296296)","(21.0, 38.0, 37.755102040816325)"
10-01-2023 11:58:22.045848,"(8.0, 12.0, 11.333333333333334)","(2.05, 2.34, 2.3352941176470585)","(5.0, 6.6, 6.485714285714286)","(3.0, 3.5, 3.4344827586206894)","(21.0, 38.0, 37.755102040816325)"
10-01-2023 11:58:22.863363,"(8.0, 12.0, 11.619047619047619)","(2.05, 2.34, 2.335593220338983)","(5.0, 6.6, 6.47027027027027)","(3.0, 3.5, 3.4280701754385965)","(21.0, 38.0, 37.755102040816325)"
10-01-2023 11:58:23.730830,"(8.0, 12.0, 11.619047619047619)","(2.05, 2.34, 2.335593220338983)","(5.0, 6.6, 6.236363636363636)","(3.0, 3.5, 3.164814814814815)","(21.0, 38.0, 34.285714285714285)"
10-01-2023 11:58:24.657621,"(8.0, 12.5, 11.904761904761905)","(2.05, 2.34, 2.3585714285714285)","(5.0, 6.2, 6.057142857142857)","(3.0, 3.4, 3.357894736842105)","(21.0, 40.0, 34.285714285714285)"
10-01-2023 11:58:25.782697,"(8.0, 12.0, 11.982758620689655)","(2.05, 2.38, 2.3625)","(5.0, 6.2, 5.996)","(3.0, 3.35, 3.3285714285714287)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:26.582157,"(8.0, 12.5, 11.875)","(2.05, 2.38, 2.376923076923077)","(5.0, 6.2, 6.0200000000000005)","(3.0, 3.35, 3.286842105263158)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:27.397494,"(8.0, 12.5, 11.91304347826087)","(2.05, 2.38, 2.337333333333333)","(5.0, 6.4, 6.3090909090909095)","(3.0, 3.35, 3.268181818181818)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:28.331778,"(8.0, 12.5, 11.91304347826087)","(2.05, 2.36, 2.337333333333333)","(5.0, 6.4, 6.3090909090909095)","(3.0, 3.35, 3.268181818181818)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:29.240848,"(8.0, 12.5, 11.91304347826087)","(2.05, 2.36, 2.337333333333333)","(5.0, 6.4, 6.3090909090909095)","(3.0, 3.35, 3.268181818181818)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:30.136658,"(8.0, 12.5, 11.75)","(2.05, 2.36, 2.3329999999999997)","(5.0, 6.4, 6.3090909090909095)","(3.0, 3.35, 3.268181818181818)","(21.0, 38.0, 35.333333333333336)"
10-01-2023 11:58:30.999390,"(8.0, 12.5, 12.071428571428571)","(2.05, 2.36, 2.337674418604651)","(5.0, 6.4, 6.2631578947368425)","(3.0, 3.35, 3.29375)","(21.0, 38.0, 37.833333333333336)"
10-01-2023 11:58:31.865456,"(8.0, 12.5, 12.071428571428571)","(2.05, 2.36, 2.337674418604651)","(5.0, 6.4, 6.3090909090909095)","(3.0, 3.35, 3.2642857142857142)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:32.771807,"(8.0, 12.5, 12.071428571428571)","(2.05, 2.36, 2.337674418604651)","(5.0, 6.4, 6.2631578947368425)","(3.0, 3.35, 3.283050847457627)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:33.717766,"(8.0, 12.5, 12.071428571428571)","(2.05, 2.36, 2.337674418604651)","(5.0, 6.4, 6.2631578947368425)","(3.0, 3.3, 3.283050847457627)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:34.585415,"(8.0, 12.5, 12.071428571428571)","(2.05, 2.36, 2.337142857142857)","(5.0, 6.4, 6.285714285714286)","(3.0, 3.3, 3.283050847457627)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:35.564573,"(8.0, 13.5, 13.028735632183908)","(2.05, 2.36, 2.337142857142857)","(5.0, 6.4, 6.152380952380953)","(3.0, 3.3, 3.2818181818181817)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:36.461192,"(8.0, 13.5, 13.028735632183908)","(2.05, 2.36, 2.336)","(5.0, 6.4, 6.139130434782609)","(3.0, 3.3, 3.2767441860465114)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:37.338688,"(8.0, 13.5, 13.028735632183908)","(2.05, 2.36, 2.336)","(5.0, 6.4, 6.378260869565218)","(3.0, 3.3, 3.2767441860465114)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:38.270514,"(8.0, 13.5, 13.047619047619047)","(2.05, 2.34, 2.322)","(5.0, 6.4, 6.438961038961039)","(3.0, 3.3, 3.2767441860465114)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:39.126404,"(8.0, 13.5, 13.067901234567902)","(2.05, 2.34, 2.322)","(5.0, 6.6, 6.438961038961039)","(3.0, 3.3, 3.2767441860465114)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:39.952122,"(8.0, 13.5, 13.067901234567902)","(2.05, 2.34, 2.322)","(5.0, 6.6, 6.459154929577465)","(3.0, 3.3, 3.272972972972973)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:40.839778,"(8.0, 13.5, 13.067901234567902)","(2.05, 2.34, 2.322)","(5.0, 6.6, 6.459154929577465)","(3.0, 3.3, 3.272972972972973)","(21.0, 38.0, 37.86206896551724)"
10-01-2023 11:58:41.773890,"(8.5, 13.5, 13.067901234567902)","(2.05, 2.34, 2.322)","(5.0, 6.6, 6.377777777777777)","(3.0, 3.3, 3.2535714285714286)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:58:42.678987,"(8.5, 13.5, 13.102272727272727)","(2.05, 2.34, 2.3214814814814813)","(5.0, 6.6, 6.377777777777777)","(3.0, 3.3, 3.2535714285714286)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:58:43.527423,"(8.5, 13.5, 13.01388888888889)","(2.05, 2.34, 2.3214814814814813)","(5.0, 6.6, 6.428571428571429)","(3.0, 3.25, 3.228846153846154)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:58:44.356630,"(8.5, 13.5, 13.01923076923077)","(2.05, 2.38, 2.3688524590163933)","(5.0, 6.4, 6.054545454545455)","(3.0, 3.25, 3.1766666666666667)","(21.0, 40.0, 37.5)"
10-01-2023 11:58:45.328291,"(8.5, 13.5, 13.043478260869565)","(2.05, 2.38, 2.379272727272727)","(5.0, 6.2, 6.066666666666666)","(3.0, 3.25, 3.210714285714286)","(21.0, 40.0, 37.5)"
10-01-2023 11:58:46.261310,"(8.5, 14.0, 13.772727272727273)","(2.05, 2.4, 2.384444444444444)","(5.0, 6.0, 5.945)","(3.0, 3.2, 3.1794117647058826)","(21.0, 40.0, 37.42857142857143)"
10-01-2023 11:58:47.159962,"(8.5, 14.5, 13.921052631578947)","(2.05, 2.4, 2.376969696969697)","(5.0, 6.2, 6.1147368421052635)","(3.0, 3.2, 3.1902777777777778)","(21.0, 40.0, 37.42857142857143)"
10-01-2023 11:58:48.003302,"(8.5, 14.5, 13.921052631578947)","(2.05, 2.4, 2.376969696969697)","(5.0, 6.2, 6.1147368421052635)","(3.0, 3.25, 3.25)","(21.0, 40.0, 37.84615384615385)"
10-01-2023 11:58:48.877678,"(8.5, 14.5, 13.863636363636363)","(2.05, 2.4, 2.376969696969697)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.230769230769231)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:49.761608,"(8.5, 14.0, 13.55)","(2.05, 2.4, 2.376969696969697)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.230769230769231)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:50.669573,"(8.5, 14.0, 13.090909090909092)","(2.05, 2.4, 2.3815384615384616)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.2196969696969697)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:51.522054,"(8.5, 13.5, 13.458333333333334)","(2.05, 2.4, 2.3815384615384616)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.2196969696969697)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:52.354996,"(8.5, 13.5, 13.453703703703704)","(2.05, 2.4, 2.3815384615384616)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.212962962962963)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:53.230220,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.3815384615384616)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.212962962962963)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:54.151348,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.3771428571428572)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.25, 3.212962962962963)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:55.001386,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.373333333333333)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.188636363636364)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:55.877311,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.376)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.188636363636364)","(21.0, 38.0, 37.84615384615385)"
10-01-2023 11:58:56.826426,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.376)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.188636363636364)","(21.0, 38.0, 37.26086956521739)"
10-01-2023 11:58:57.731941,"(8.5, 14.0, 13.710144927536232)","(2.05, 2.4, 2.376)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.165714285714286)","(21.0, 40.0, 37.26086956521739)"
10-01-2023 11:58:58.644904,"(8.5, 14.0, 13.814814814814815)","(2.05, 2.42, 2.3929411764705883)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.165714285714286)","(21.0, 40.0, 37.84615384615385)"
10-01-2023 11:58:59.562443,"(8.5, 14.0, 13.966666666666667)","(2.05, 2.42, 2.388)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.165714285714286)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:59:00.352877,"(8.5, 14.0, 13.928571428571429)","(2.05, 2.42, 2.388)","(5.0, 6.2, 6.0728813559322035)","(3.0, 3.2, 3.165714285714286)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:59:01.205149,"(8.5, 14.0, 13.970588235294118)","(2.05, 2.4, 2.381818181818182)","(5.0, 6.2, 6.075862068965518)","(3.0, 3.2, 3.17)","(21.0, 38.0, 37.857142857142854)"
10-01-2023 11:59:02.225839,"(9.0, 14.5, 14.35)","(2.05, 2.34, 2.328)","(5.0, 6.4, 6.152808988764045)","(2.9, 3.25, 3.215217391304348)","(21.0, 40.0, 37.52173913043478)"
10-01-2023 11:59:03.190843,"(9.0, 14.5, 14.266666666666667)","(2.05, 2.34, 2.3343362831858405)","(5.0, 6.2, 6.175609756097561)","(2.9, 3.3, 3.225757575757576)","(21.0, 40.0, 37.52173913043478)"
10-01-2023 11:59:04.153480,"(9.0, 15.0, 14.243243243243244)","(2.05, 2.34, 2.310793650793651)","(5.0, 6.4, 6.1230769230769235)","(2.9, 3.3, 3.228)","(21.0, 40.0, 38.27272727272727)"
10-01-2023 11:59:05.211851,"(9.0, 15.0, 14.242424242424242)","(2.05, 2.34, 2.3074666666666666)","(5.0, 6.4, 6.207734806629834)","(2.9, 3.3, 3.2184)","(21.0, 40.0, 38.15384615384615)"
10-01-2023 11:59:06.104470,"(9.0, 14.5, 14.071428571428571)","(2.05, 2.34, 2.3077777777777775)","(5.0, 6.4, 6.203243243243244)","(2.9, 3.3, 3.2767241379310343)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:07.036107,"(9.0, 14.5, 14.368852459016393)","(2.05, 2.34, 2.3258823529411763)","(5.0, 6.2, 6.162068965517242)","(2.9, 3.3, 3.2811764705882354)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:07.924567,"(9.0, 14.5, 14.357142857142858)","(2.05, 2.34, 2.3259999999999996)","(5.0, 6.2, 6.162068965517242)","(2.9, 3.3, 3.280128205128205)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:08.854401,"(9.0, 14.5, 14.28688524590164)","(2.05, 2.32, 2.315384615384615)","(5.0, 6.2, 6.162068965517242)","(2.9, 3.3, 3.2863013698630135)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:09.755562,"(9.0, 14.5, 14.313559322033898)","(2.05, 2.32, 2.314181818181818)","(5.0, 6.2, 6.174074074074074)","(2.9, 3.25, 3.2125000000000004)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:10.670956,"(9.0, 14.5, 14.313559322033898)","(2.05, 2.34, 2.32469387755102)","(5.0, 6.2, 6.174074074074074)","(2.9, 3.25, 3.2259615384615383)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:11.492093,"(9.0, 14.5, 14.29245283018868)","(2.05, 2.34, 2.3234146341463413)","(5.0, 6.2, 6.174545454545455)","(2.9, 3.25, 3.2259615384615383)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:12.355098,"(9.0, 14.5, 14.263636363636364)","(2.05, 2.34, 2.3226666666666667)","(5.0, 6.4, 6.233734939759036)","(2.9, 3.25, 3.216666666666667)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:13.284052,"(9.0, 14.5, 14.25)","(2.05, 2.34, 2.3129323308270675)","(5.0, 6.4, 6.232941176470589)","(2.9, 3.25, 3.2147058823529413)","(21.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:14.178654,"(9.0, 15.0, 14.720588235294118)","(2.05, 2.34, 2.32469387755102)","(5.0, 6.4, 6.2404761904761905)","(2.9, 3.2, 3.165)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:15.080664,"(9.0, 15.5, 14.875)","(2.05, 2.34, 2.32469387755102)","(5.0, 6.4, 6.260215053763441)","(2.9, 3.2, 3.169021739130435)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:15.998991,"(9.0, 15.5, 15.294871794871796)","(2.05, 2.34, 2.32469387755102)","(5.0, 6.4, 6.260215053763441)","(2.9, 3.15, 3.1306896551724135)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:16.908868,"(9.0, 15.5, 15.294871794871796)","(2.05, 2.32, 2.315185185185185)","(5.0, 6.4, 6.260215053763441)","(2.9, 3.15, 3.125974025974026)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:17.893871,"(9.0, 15.5, 15.294871794871796)","(2.05, 2.34, 2.3240909090909088)","(5.0, 6.4, 6.258947368421053)","(2.9, 3.15, 3.125974025974026)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:18.813785,"(9.0, 15.5, 15.294871794871796)","(2.05, 2.34, 2.325070422535211)","(5.0, 6.4, 6.258947368421053)","(2.9, 3.15, 3.1155844155844155)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:19.654923,"(9.0, 15.5, 14.966666666666667)","(2.05, 2.34, 2.335652173913043)","(5.0, 6.4, 6.2631578947368425)","(2.9, 3.15, 3.0917582417582414)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:20.552946,"(9.0, 15.5, 15.14516129032258)","(2.05, 2.36, 2.3287272727272725)","(5.0, 6.4, 6.261855670103093)","(2.9, 3.15, 3.092391304347826)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:21.471832,"(9.0, 15.5, 15.14516129032258)","(2.05, 2.34, 2.3233333333333333)","(5.0, 6.4, 6.261855670103093)","(2.9, 3.15, 3.0999999999999996)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:22.312110,"(9.0, 15.5, 15.133333333333333)","(2.05, 2.34, 2.315572519083969)","(5.0, 6.4, 6.261855670103093)","(2.9, 3.15, 3.118840579710145)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:23.231621,"(10.0, 15.5, 15.05)","(2.05, 2.34, 2.3129936305732484)","(5.0, 6.4, 6.301470588235294)","(2.7, 3.15, 3.11640625)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:24.141743,"(10.0, 15.5, 15.3)","(2.05, 2.34, 2.3119205298013243)","(5.0, 6.4, 6.31044776119403)","(2.7, 3.15, 3.1076923076923078)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:24.990492,"(10.0, 15.5, 15.333333333333334)","(2.05, 2.32, 2.306111111111111)","(5.0, 6.4, 6.323333333333333)","(2.7, 3.15, 3.1103603603603602)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:25.830462,"(10.0, 16.0, 15.297872340425531)","(2.05, 2.32, 2.3142209631728043)","(5.0, 6.4, 6.323333333333333)","(2.7, 3.15, 3.113934426229508)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:26.730474,"(10.0, 15.5, 15.153846153846153)","(2.05, 2.32, 2.3138765432098762)","(5.0, 6.4, 6.334545454545455)","(2.7, 3.15, 3.1262962962962964)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:27.624584,"(10.0, 15.5, 15.28125)","(2.05, 2.34, 2.3177777777777777)","(5.0, 6.4, 6.35625)","(2.7, 3.15, 3.1206422018348623)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:28.494480,"(10.0, 15.5, 15.207317073170731)","(2.05, 2.34, 2.3124770642201833)","(5.0, 6.4, 6.351515151515152)","(2.7, 3.15, 3.1171641791044773)","(26.0, 40.0, 37.1764705882353)"
10-01-2023 11:59:29.359032,"(10.0, 15.5, 15.207317073170731)","(2.05, 2.34, 2.3090721649484536)","(5.0, 6.4, 6.3546391752577325)","(2.7, 3.15, 3.1164122137404577)","(26.0, 40.0, 37.333333333333336)"
10-01-2023 11:59:30.231669,"(10.0, 15.5, 15.378787878787879)","(2.05, 2.34, 2.3090721649484536)","(5.0, 6.4, 6.3546391752577325)","(2.7, 3.15, 3.109259259259259)","(26.0, 40.0, 37.333333333333336)"
10-01-2023 11:59:31.154491,"(10.0, 15.5, 15.263157894736842)","(2.05, 2.34, 2.310731707317073)","(5.0, 6.4, 6.3546391752577325)","(2.7, 3.15, 3.106)","(26.0, 40.0, 37.333333333333336)"
10-01-2023 11:59:32.073753,"(10.0, 15.5, 15.207317073170731)","(2.05, 2.32, 2.311)","(5.0, 6.4, 6.3546391752577325)","(2.7, 3.15, 3.1066929133858268)","(26.0, 40.0, 38.08)"
10-01-2023 11:59:32.993712,"(10.0, 15.5, 15.207317073170731)","(2.05, 2.34, 2.308333333333333)","(5.0, 6.4, 6.3546391752577325)","(2.7, 3.15, 3.1063492063492064)","(26.0, 40.0, 38.08)"
10-01-2023 11:59:33.946703,"(10.0, 15.5, 15.378787878787879)","(2.05, 2.34, 2.308333333333333)","(5.0, 6.4, 6.35625)","(2.7, 3.15, 3.0966019417475725)","(26.0, 40.0, 38.4)"
10-01-2023 11:59:34.766281,"(10.0, 15.5, 15.263157894736842)","(2.05, 2.34, 2.3065934065934064)","(5.0, 6.4, 6.35625)","(2.7, 3.15, 3.1056451612903224)","(26.0, 40.0, 38.53333333333333)"
10-01-2023 11:59:35.664647,"(10.0, 15.5, 15.378787878787879)","(2.05, 2.34, 2.3046511627906976)","(5.0, 6.4, 6.359574468085107)","(2.7, 3.15, 3.0966019417475725)","(26.0, 40.0, 38.53333333333333)"
10-01-2023 11:59:36.596897,"(10.0, 15.5, 15.352941176470589)","(2.05, 2.4, 2.3848192771084338)","(5.0, 6.4, 6.375609756097561)","(2.7, 3.1, 3.073831775700935)","(26.0, 40.0, 38.666666666666664)"
10-01-2023 11:59:37.415552,"(10.0, 15.5, 15.305555555555555)","(2.05, 2.38, 2.3534653465346533)","(5.0, 6.4, 6.375609756097561)","(2.7, 3.1, 3.067441860465116)","(26.0, 40.0, 38.666666666666664)"
10-01-2023 11:59:38.225438,"(10.0, 15.5, 15.207317073170731)","(2.05, 2.38, 2.3519298245614033)","(5.0, 6.4, 6.387878787878789)","(2.7, 3.1, 3.046666666666667)","(26.0, 40.0, 38.666666666666664)"
10-01-2023 11:59:39.180300,"(10.0, 15.5, 15.466666666666667)","(2.05, 2.38, 2.3493793103448275)","(5.0, 6.6, 6.365986394557823)","(2.7, 3.1, 3.0546875)","(26.0, 40.0, 38.61538461538461)"
10-01-2023 11:59:40.141096,"(10.0, 15.5, 15.466666666666667)","(2.05, 2.38, 2.3537037037037036)","(5.0, 6.6, 6.365986394557823)","(2.7, 3.1, 3.0443037974683547)","(26.0, 40.0, 38.61538461538461)"
10-01-2023 11:59:41.016519,"(10.0, 15.5, 15.466666666666667)","(2.05, 2.38, 2.3524271844660194)","(5.0, 6.6, 6.365986394557823)","(2.7, 3.1, 3.0443037974683547)","(26.0, 40.0, 39.0)"
10-01-2023 11:59:41.913241,"(10.0, 15.5, 15.462962962962964)","(2.05, 2.38, 2.35160621761658)","(5.0, 6.6, 6.3718309859154925)","(2.7, 3.1, 3.032142857142857)","(26.0, 40.0, 39.0)"
10-01-2023 11:59:42.777259,"(10.0, 15.5, 15.318181818181818)","(2.05, 2.36, 2.350153846153846)","(5.0, 6.6, 6.3718309859154925)","(2.7, 3.1, 3.0941964285714287)","(26.0, 40.0, 39.28)"
