,Paw Baby,Miss Priddle,Flash Fever,Balts Orson,Redemption Day,Kiah Beach,Miss Verity
07-12-2022 20:42:21.640947,"(7.0, 14.0, 12.7625)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.94, 1.828)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:22.674069,"(7.0, 14.0, 12.9)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.825)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:23.784332,"(7.0, 14.0, 12.9)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.825)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:24.889386,"(7.0, 14.0, 12.9)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.825)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:26.037666,"(7.0, 14.0, 12.9)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.825)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:27.171761,"(7.0, 14.0, 12.476923076923077)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.825)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:28.358915,"(7.0, 14.0, 12.476923076923077)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.93, 1.8021052631578947)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:29.754964,"(7.0, 14.0, 11.6)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.92, 1.8021052631578947)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:31.020734,"(7.0, 14.0, 11.6)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.92, 1.8021052631578947)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:32.365974,"(7.0, 14.0, 11.6)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.92, 1.8021052631578947)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:33.596226,"(7.0, 14.0, 11.6)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.92, 1.819)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:34.977779,"(7.0, 14.0, 9.033333333333333)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.819)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:36.348319,"(7.0, 11.5, 9.033333333333333)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.819)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:37.585837,"(7.0, 11.5, 9.75)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.819)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:38.784444,"(7.0, 11.5, 9.75)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.819)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:39.897307,"(7.0, 11.5, 9.75)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.7989473684210526)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:40.952334,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.9, 1.7989473684210526)","(12.0, 40.0, 26.75)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:42.029654,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.9, 1.7989473684210526)","(12.0, 38.0, 24.153846153846153)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:43.211504,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.9, 1.8272727272727272)","(12.0, 38.0, 24.153846153846153)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:44.444246,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.8272727272727272)","(12.0, 38.0, 24.153846153846153)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:45.633444,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.8272727272727272)","(12.0, 38.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:46.800654,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.91, 1.804)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:47.895421,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.9, 1.8323076923076922)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:49.047099,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.88)","(1.5, 1.9, 1.8323076923076922)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:50.201584,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.9, 1.8536363636363637)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:51.308516,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 2.0, 1.857)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:52.462291,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.99, 1.9076470588235295)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:53.808807,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.99, 1.863076923076923)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:54.919242,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.98, 1.863076923076923)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:56.126340,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.98, 1.857)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:57.387694,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.99, 1.9076470588235295)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:58.648992,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.99, 1.9076470588235295)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:42:59.835430,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.99, 1.857)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:01.054399,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.99, 1.9076470588235295)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:02.389713,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.99, 1.863076923076923)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:03.803463,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.98, 1.828421052631579)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:05.011113,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.98, 1.828421052631579)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:06.282546,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.45)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.98, 1.8958823529411766)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:07.790662,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.5, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.97, 1.851)","(12.0, 42.0, 25.692307692307693)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:09.236606,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.97, 1.851)","(12.0, 42.0, 27.75)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:10.748389,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.97, 1.8553846153846154)","(12.0, 40.0, 27.75)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:12.012669,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.96, 1.825263157894737)","(12.0, 40.0, 27.75)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:13.165862,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.96, 1.851)","(12.0, 40.0, 27.75)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:14.302647,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.97, 1.8958823529411766)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:15.430625,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 7.9375)","(1.5, 1.97, 1.8554545454545455)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:16.689435,"(7.0, 14.0, 12.363636363636363)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.780952380952382)","(1.5, 1.97, 1.8958823529411766)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:17.944664,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.533333333333333)","(1.5, 1.97, 1.851)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:19.153250,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 8.533333333333333)","(1.5, 1.97, 1.851)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:20.408731,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 9.625)","(1.5, 1.97, 1.8717241379310345)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:21.608203,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.472727272727273)","(1.5, 1.96, 1.8615384615384616)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:22.861898,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.363636363636363)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.472727272727273)","(1.5, 1.96, 1.8615384615384616)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:24.051025,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 8.714285714285714)","(1.5, 1.96, 1.885)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:25.299687,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.857142857142858)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:26.504358,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.48)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:27.663456,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.986666666666666)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:28.796576,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.2)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:29.952386,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.763636363636364)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:31.068430,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.3)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:32.270863,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.3)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 24.923076923076923)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:33.473385,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.8)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.3)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:34.712839,"(7.0, 11.5, 9.75)","(10.0, 13.0, 11.466666666666667)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.208333333333334)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:35.980548,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.466666666666667)","(12.0, 25.0, 13.28125)","(7.0, 10.5, 8.285714285714286)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:37.169076,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.466666666666667)","(12.0, 25.0, 13.28125)","(7.0, 10.5, 8.285714285714286)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:38.279342,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.466666666666667)","(12.0, 25.0, 13.28125)","(7.0, 10.5, 8.32)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:39.415684,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 12.0, 9.45)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:40.557365,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.45)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:41.732687,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.0)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 23.666666666666664)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:42.929790,"(7.0, 11.5, 9.75)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.0)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 22.5)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:44.110166,"(7.0, 11.0, 9.5)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.45)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 22.5)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:45.253871,"(7.0, 11.0, 9.5)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 10.2)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:46.393454,"(7.0, 11.0, 8.661538461538461)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.692307692307692)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:47.559426,"(7.0, 11.0, 8.661538461538461)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.692307692307692)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:48.702548,"(7.0, 11.0, 8.6)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.692307692307692)","(1.5, 1.96, 1.9230769230769231)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:49.909858,"(7.0, 11.0, 8.6)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 10.1)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:51.176355,"(7.0, 11.0, 8.527272727272727)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.5)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:52.407959,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 8.875)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:53.632310,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 8.875)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:55.040084,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 8.725)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:56.200586,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 8.725)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:57.415315,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 11.272727272727273)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.385714285714286)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:58.543452,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.5, 10.9)","(12.0, 25.0, 13.28125)","(7.0, 11.5, 9.0)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:43:59.665991,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.0, 10.9)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.0)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:44:00.819150,"(7.0, 11.0, 9.057142857142857)","(10.0, 12.0, 10.9)","(12.0, 25.0, 13.28125)","(7.0, 11.0, 9.545454545454545)","(1.5, 1.96, 1.91)","(12.0, 40.0, 18.0)","(13.0, 32.0, 20.333333333333332)"
07-12-2022 20:44:02.051388,"(7.0, 11.0, 8.818181818181818)","(10.0, 12.0, 10.9)","(12.0, 25.0, 14.8)","(7.0, 11.0, 10.114285714285714)","(1.5, 1.96, 1.91)","(12.0, 40.0, 27.0)","(13.0, 32.0, 17.0)"
07-12-2022 20:44:03.277416,"(7.0, 10.5, 9.875)","(10.0, 12.0, 10.984615384615385)","(12.0, 24.0, 14.8)","(7.0, 10.5, 10.114285714285714)","(1.5, 1.96, 1.9)","(12.0, 38.0, 27.0)","(13.0, 32.0, 21.75)"
