,Mccrikey,No Terror,Ifyousayso,Cloudy Bay,Deceptive Lee,Terry,Heisenberg
16-12-2022 13:59:09.974604,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:10.902253,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:11.853852,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:12.871411,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:13.937445,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:15.032069,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:16.081315,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:17.098458,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:18.082064,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:19.141005,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:20.240989,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:21.266241,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:22.249568,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:23.188364,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:24.160484,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:25.218038,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:26.254985,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:27.293861,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:28.355016,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:29.456683,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:30.468843,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:31.584748,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:32.753464,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:33.817659,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:34.806830,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:35.822015,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:36.820751,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:37.910800,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:39.016920,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:40.048411,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:41.001754,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:41.982211,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:43.022549,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:44.153096,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:45.247705,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:46.292681,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:47.292966,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:48.307338,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:49.368629,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:50.384065,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:51.415822,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:52.356808,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:53.336798,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:54.345226,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:55.387355,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:56.402936,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:57.525708,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:58.518644,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 13:59:59.609957,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:00.756586,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:01.831854,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.646875)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:02.853528,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.200000000000001)","(2.5, 3.35, 2.6447368421052633)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:03.873303,"(14.0, 34.0, 24.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.0, 11.366666666666667)","(2.5, 3.45, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:04.916172,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.35, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:05.948162,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 11.366666666666667)","(2.5, 3.35, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:06.964609,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.35, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:08.014217,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.35, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:09.011743,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.35, 2.65)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:10.031873,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:11.113177,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:12.251252,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:13.327988,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:14.323313,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:15.390119,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
16-12-2022 14:00:16.447223,"(14.0, 36.0, 25.25)","(7.0, 18.0, 11.066666666666666)","(14.0, 70.0, 62.875)","(7.0, 14.5, 9.9)","(8.5, 16.5, 15.284615384615385)","(2.5, 3.4, 2.657142857142857)","(2.8, 5.8, 3.813333333333333)"
