,Ziplock,Rockin Romeo,Canya Clink,Lets All Chant,More Scope,Knighted Shadow,Sizzle And Shine
09-01-2023 16:52:33.896124,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:35.755095,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:37.129347,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:38.384928,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:39.494449,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:40.569855,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:41.586815,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.721111111111111)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:42.629844,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:43.570570,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:44.527147,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:45.624430,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:46.840906,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:48.051972,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:49.230874,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:50.276982,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:51.377810,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:52.361680,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:53.454013,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:54.477574,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:55.505771,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:56.544689,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:57.572821,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:58.581564,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:52:59.573977,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:00.570458,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:01.583474,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:02.657471,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.8833333333333333)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:03.685629,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.1, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:04.780104,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:05.780428,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:06.820310,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:07.759492,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:08.719737,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:09.620466,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:10.636771,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:11.613244,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:12.658512,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:13.670233,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:14.609174,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:15.618833,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:16.531931,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:17.509487,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:18.475476,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:19.513551,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:20.539062,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:21.513006,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:22.535965,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:23.555345,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:24.624358,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:25.605363,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:26.590074,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:27.529467,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:28.529358,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:29.475716,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:30.493855,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:31.540150,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:32.508239,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:33.482107,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 9.058823529411764)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:34.464407,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:35.398117,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:36.435749,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:37.442002,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:38.432139,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 25.5)","(26.0, 210.0, 93.64285714285714)"
09-01-2023 16:53:39.427044,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 25.5)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:40.472595,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:41.422825,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:42.343509,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:43.395657,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:44.404693,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:45.385636,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:46.371920,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:47.328537,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:48.333722,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:49.244764,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:50.194191,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:51.248697,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:52.250811,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:53.298487,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:54.320740,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:55.309382,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:56.286674,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:57.208709,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
09-01-2023 16:53:58.166427,"(3.9, 5.8, 5.489772727272728)","(12.0, 27.0, 24.1)","(3.7, 5.5, 5.213636363636364)","(2.6, 4.3, 2.703846153846154)","(5.5, 11.0, 6.015384615384615)","(12.0, 27.0, 24.1)","(26.0, 210.0, 101.4)"
