,Bonza Guy,Batman Bart,Miss Fernandez,Wonderwoman Jujon,Rock Hammer,Press Statement,Whostolemypigeon,Our Buscemi Nz,My Ultimate Clippa,Some Girls Dont Nz
06-01-2023 14:56:04.378058,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 6.8)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:05.632316,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.1)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:07.019599,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:08.354790,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:09.761840,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:11.111589,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:12.450952,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:13.756973,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:15.116787,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:16.453982,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:17.839903,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:19.284468,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 17.066666666666666)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:20.703703,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.0)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:22.111681,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 23.0, 18.0)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 27.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:23.445610,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 23.0, 18.0)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:24.698519,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 23.0, 18.0)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:25.954806,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 23.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:27.220551,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:28.533063,"(3.2, 99999, 99990)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 42.6)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:30.000895,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 85.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:31.378464,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:32.700274,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 7.92)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:33.981916,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:35.374919,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:36.827479,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:38.607802,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:40.197966,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.700000000000003)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:41.744147,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 22.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:43.275572,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:44.527082,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:45.821789,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:47.119673,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:48.391888,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:50.037227,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:51.471595,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:52.941884,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:54.424496,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:55.801044,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:57.208012,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:58.578155,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:56:59.911226,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 18.583333333333332)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 18.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:01.227095,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 8.45)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 26.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:02.666388,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 7.92)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:04.112733,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 7.92)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:05.447186,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:06.845491,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:08.194864,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:09.648713,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 40.0)","(14.0, 27.0, 16.5)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:11.140708,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 80.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:12.770245,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:14.391443,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:15.901693,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:17.348515,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:18.774206,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:20.099421,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:21.433798,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:22.848557,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:24.271581,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:25.632761,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:26.995842,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:28.356279,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
06-01-2023 14:57:29.673930,"(3.2, 3.95, 3.0546153846153845)","(5.0, 8.4, 6.75)","(12.0, 24.0, 21.4)","(6.0, 9.4, 6.866666666666666)","(9.0, 16.0, 12.4)","(31.0, 90.0, 37.27272727272727)","(14.0, 27.0, 20.25)","(12.0, 99999, 99990)","(21.0, 25.0, 23.11764705882353)","(5.0, 99999, 99990)"
