,The Art Of Flying,Elite Icon,Kalashani Lad,Kaliuwaa Falls,Joltin Joe,In Due Time,Rockcliff,Jezoulenko
11-01-2023 18:12:02.792698,"(3.9, 5.1, 5.024358974358974)","(3.5, 3.9, 3.875810810810811)","(6.5, 8.2, 8.141666666666666)","(9.0, 12.0, 11.604395604395604)","(11.0, 17.5, 16.607692307692307)","(5.5, 6.8, 6.6650602409638555)","(31.0, 75.0, 70.0)","(7.0, 9.0, 8.896296296296297)"
11-01-2023 18:12:04.506647,"(3.9, 5.1, 4.993693693693694)","(3.5, 3.9, 3.8771393643031784)","(6.5, 8.2, 8.126315789473685)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.8, 6.487719298245614)","(31.0, 75.0, 70.0)","(7.0, 9.0, 9.027096774193549)"
11-01-2023 18:12:05.920764,"(3.9, 5.1, 4.993693693693694)","(3.5, 3.9, 3.8771393643031784)","(6.5, 8.2, 8.303448275862069)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.44)","(31.0, 75.0, 67.5)","(7.0, 9.2, 9.01358024691358)"
11-01-2023 18:12:07.245754,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.876208651399491)","(6.5, 8.4, 8.303448275862069)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.44)","(31.0, 75.0, 67.5)","(7.0, 9.2, 9.01358024691358)"
11-01-2023 18:12:08.639338,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.876208651399491)","(6.5, 8.4, 8.32)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.44)","(31.0, 75.0, 67.5)","(7.0, 9.2, 9.01358024691358)"
11-01-2023 18:12:09.942517,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.8767263427109975)","(6.5, 8.4, 8.32)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.44)","(31.0, 75.0, 67.5)","(7.0, 9.2, 8.977464788732394)"
11-01-2023 18:12:11.273595,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.8764248704663213)","(6.5, 8.4, 8.32)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.474418604651163)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.917757009345795)"
11-01-2023 18:12:12.591476,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.8764248704663213)","(6.5, 8.4, 8.316)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.474418604651163)","(31.0, 75.0, 67.5)","(7.0, 9.2, 8.917757009345795)"
11-01-2023 18:12:13.955960,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.8764248704663213)","(6.5, 8.4, 8.32577319587629)","(9.0, 12.0, 11.625)","(11.0, 17.5, 17.067164179104477)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.2, 8.917757009345795)"
11-01-2023 18:12:15.226774,"(3.9, 5.1, 5.0132352941176475)","(3.5, 3.9, 3.873720930232558)","(6.5, 8.4, 8.24)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.071428571428573)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.2, 8.951807228915662)"
11-01-2023 18:12:16.499375,"(3.9, 5.0, 4.938235294117647)","(3.5, 3.95, 3.90224)","(6.5, 8.4, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:17.795903,"(3.9, 5.0, 4.938235294117647)","(3.5, 3.95, 3.9057721139430286)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:19.066457,"(3.9, 5.0, 4.938235294117647)","(3.5, 3.95, 3.9057721139430286)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:20.411087,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.9067448680351906)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:21.755387,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.9067448680351906)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.46)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:23.133057,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.9067448680351906)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.495)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.951807228915662)"
11-01-2023 18:12:24.500247,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.9)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.495)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.914942528735633)"
11-01-2023 18:12:25.881294,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.9, 3.8829896907216495)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.495)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.914942528735633)"
11-01-2023 18:12:27.299336,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.9, 3.8678272980501394)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.483333333333333)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.914942528735633)"
11-01-2023 18:12:28.675243,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.8678272980501394)","(6.5, 8.6, 8.317647058823528)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.464516129032258)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.914942528735633)"
11-01-2023 18:12:30.238466,"(3.9, 5.0, 4.929220779220779)","(3.5, 3.95, 3.8678272980501394)","(6.5, 8.6, 8.438709677419356)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.489473684210527)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.91294117647059)"
11-01-2023 18:12:31.764938,"(3.9, 4.9, 4.883516483516484)","(3.5, 3.95, 3.9079136690647482)","(6.5, 8.6, 8.464864864864865)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.489473684210527)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.91294117647059)"
11-01-2023 18:12:33.215066,"(3.9, 4.9, 4.882558139534884)","(3.5, 3.95, 3.9079136690647482)","(6.5, 8.8, 8.464864864864865)","(9.0, 12.0, 11.64)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.489473684210527)","(31.0, 75.0, 67.5)","(7.0, 9.0, 8.91294117647059)"
11-01-2023 18:12:34.642334,"(3.9, 4.9, 4.838378378378378)","(3.5, 3.95, 3.903497615262321)","(6.5, 8.8, 8.414285714285715)","(9.0, 12.0, 11.53763440860215)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.444155844155844)","(31.0, 75.0, 77.63157894736842)","(7.0, 9.0, 8.868217054263566)"
11-01-2023 18:12:36.019871,"(3.9, 5.0, 4.958992805755396)","(3.5, 3.95, 3.9079136690647482)","(6.5, 8.6, 8.414285714285715)","(9.0, 12.0, 11.53763440860215)","(11.0, 17.5, 17.064285714285713)","(5.5, 6.6, 6.444155844155844)","(31.0, 80.0, 77.63157894736842)","(7.0, 9.0, 8.868217054263566)"
11-01-2023 18:12:37.398075,"(3.9, 5.0, 4.958992805755396)","(3.5, 3.95, 3.908686440677966)","(6.5, 8.6, 8.476923076923077)","(9.0, 12.0, 11.565656565656566)","(11.0, 17.5, 15.607142857142858)","(5.5, 6.6, 6.444155844155844)","(31.0, 80.0, 77.63157894736842)","(7.0, 9.0, 8.868217054263566)"
11-01-2023 18:12:38.809505,"(3.9, 5.0, 4.96188679245283)","(3.5, 3.95, 3.9080945558739253)","(6.5, 8.8, 8.5375)","(9.0, 12.0, 11.635775862068966)","(11.0, 16.0, 15.117647058823529)","(5.5, 6.6, 6.444155844155844)","(31.0, 80.0, 72.5)","(7.0, 9.0, 8.868217054263566)"
11-01-2023 18:12:40.219974,"(3.9, 5.0, 4.96188679245283)","(3.5, 3.95, 3.9080945558739253)","(6.5, 8.8, 8.5375)","(9.0, 12.0, 11.635775862068966)","(11.0, 16.0, 15.117647058823529)","(5.5, 6.6, 6.4772727272727275)","(31.0, 80.0, 72.5)","(7.0, 9.0, 8.868217054263566)"
11-01-2023 18:12:41.662863,"(3.9, 5.0, 4.956934306569344)","(3.5, 3.95, 3.9091480446927376)","(6.5, 8.8, 8.525714285714287)","(9.0, 12.0, 11.635775862068966)","(11.0, 16.0, 15.166666666666666)","(5.5, 6.6, 6.4772727272727275)","(31.0, 80.0, 72.5)","(7.0, 9.0, 8.858333333333334)"
11-01-2023 18:12:43.055786,"(3.9, 5.0, 4.956934306569344)","(3.5, 3.95, 3.9091480446927376)","(6.5, 8.8, 8.525714285714287)","(9.0, 12.0, 11.632608695652173)","(11.0, 16.0, 15.166666666666666)","(5.5, 6.6, 6.4772727272727275)","(31.0, 80.0, 72.5)","(7.0, 9.0, 8.858333333333334)"
11-01-2023 18:12:44.365189,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9091480446927376)","(6.5, 8.8, 8.513043478260869)","(9.0, 12.0, 11.641949152542374)","(12.0, 16.0, 15.117647058823529)","(5.5, 6.6, 6.4772727272727275)","(31.0, 80.0, 72.5)","(7.0, 9.0, 8.858333333333334)"
11-01-2023 18:12:45.667922,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9113606340819023)","(6.5, 8.6, 8.651612903225807)","(9.0, 12.0, 11.641949152542374)","(12.0, 16.0, 14.6)","(5.5, 6.6, 6.4772727272727275)","(31.0, 80.0, 123.33333333333334)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:47.043549,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9114973262032087)","(6.5, 8.8, 8.661538461538461)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.6)","(5.5, 6.6, 6.4772727272727275)","(31.0, 170.0, 134.0)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:48.408762,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9114973262032087)","(6.5, 8.8, 8.672727272727272)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.575)","(5.5, 6.6, 6.4772727272727275)","(31.0, 150.0, 115.71428571428572)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:49.733846,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9112382234185734)","(6.5, 8.8, 8.694117647058823)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.6, 6.4772727272727275)","(31.0, 150.0, 115.71428571428572)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:51.120152,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9112382234185734)","(6.5, 8.8, 8.661538461538461)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.6, 6.4772727272727275)","(31.0, 150.0, 115.71428571428572)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:52.451843,"(3.9, 5.0, 4.95530303030303)","(3.5, 3.95, 3.9107094133697133)","(6.5, 8.8, 8.661538461538461)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.6, 6.4772727272727275)","(31.0, 150.0, 96.66666666666667)","(7.0, 9.0, 8.85217391304348)"
11-01-2023 18:12:53.791549,"(3.9, 5.0, 4.951724137931035)","(3.5, 3.95, 3.9078530259365993)","(6.5, 8.8, 8.688)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.6, 6.4772727272727275)","(31.0, 140.0, 96.66666666666667)","(7.0, 9.0, 8.842592592592593)"
11-01-2023 18:12:55.199819,"(3.9, 5.1, 5.00728476821192)","(3.5, 3.95, 3.8731292517006803)","(6.5, 8.8, 8.656)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.6, 6.501204819277109)","(31.0, 140.0, 84.28571428571429)","(7.0, 9.0, 8.842592592592593)"
11-01-2023 18:12:56.708861,"(3.9, 5.1, 5.0125)","(3.5, 3.9, 3.8820754716981134)","(6.5, 8.8, 8.648275862068965)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.695412844036697)","(31.0, 140.0, 84.28571428571429)","(7.0, 9.0, 8.842592592592593)"
11-01-2023 18:12:58.136509,"(3.9, 5.1, 5.0125)","(3.5, 3.9, 3.8820754716981134)","(6.5, 8.8, 8.656)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.695412844036697)","(31.0, 140.0, 84.28571428571429)","(7.0, 9.0, 8.842592592592593)"
11-01-2023 18:12:59.599773,"(3.9, 5.1, 5.0125)","(3.5, 3.9, 3.8463157894736844)","(6.5, 8.8, 8.656)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.7050505050505045)","(31.0, 140.0, 84.28571428571429)","(7.0, 9.0, 8.842592592592593)"
11-01-2023 18:13:01.006669,"(3.9, 5.1, 5.0125)","(3.5, 3.85, 3.834621710526316)","(6.5, 8.8, 8.656)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.733333333333333)","(31.0, 140.0, 84.28571428571429)","(7.0, 9.0, 8.786363636363637)"
11-01-2023 18:13:02.453024,"(3.9, 5.1, 5.0125)","(3.5, 3.85, 3.8288488210818308)","(6.5, 8.8, 8.71219512195122)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 140.0, 93.33333333333333)","(7.0, 8.8, 8.76291390728477)"
11-01-2023 18:13:03.783467,"(3.9, 5.1, 5.048039215686274)","(3.5, 3.85, 3.826126126126126)","(6.5, 8.8, 8.71219512195122)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 8.8, 8.76291390728477)"
11-01-2023 18:13:05.226615,"(3.9, 5.1, 5.048039215686274)","(3.5, 3.85, 3.831237322515213)","(6.5, 8.8, 8.71219512195122)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 8.8, 8.760839160839161)"
11-01-2023 18:13:06.612517,"(3.9, 5.1, 5.048039215686274)","(3.5, 3.85, 3.830827067669173)","(6.5, 8.8, 8.7)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.883229813664597)"
11-01-2023 18:13:08.036418,"(3.9, 5.1, 5.048039215686274)","(3.5, 3.85, 3.830827067669173)","(6.5, 8.8, 8.7)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.91078431372549)"
11-01-2023 18:13:09.506196,"(3.9, 5.1, 4.993103448275862)","(3.5, 3.85, 3.830827067669173)","(6.5, 8.8, 8.7125)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.893004115226338)"
11-01-2023 18:13:10.864043,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.8378752886836027)","(6.5, 8.8, 8.697297297297297)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.893004115226338)"
11-01-2023 18:13:12.442804,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.8378752886836027)","(6.5, 8.8, 8.579310344827586)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.743478260869565)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.893004115226338)"
11-01-2023 18:13:13.852043,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.837733644859813)","(6.5, 8.6, 8.653846153846153)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.673076923076923)","(5.5, 6.8, 6.749019607843137)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.893004115226338)"
11-01-2023 18:13:15.151353,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.837733644859813)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.575)","(5.5, 6.8, 6.749019607843137)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.893004115226338)"
11-01-2023 18:13:16.576458,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.838733905579399)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.575)","(5.5, 6.8, 6.749019607843137)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88936170212766)"
11-01-2023 18:13:17.982005,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.85, 3.838733905579399)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 14.575)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88936170212766)"
11-01-2023 18:13:19.379710,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.9, 3.893092105263158)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.575)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88888888888889)"
11-01-2023 18:13:20.720820,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.9, 3.893092105263158)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.527777777777779)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:22.232864,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.95, 3.882448036951501)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:23.681093,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.95, 3.882448036951501)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:25.042593,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.95, 3.882448036951501)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:26.418739,"(3.9, 5.0, 4.993103448275862)","(3.5, 3.95, 3.8909495548961424)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 82.85714285714286)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:27.894007,"(3.9, 5.0, 4.991891891891892)","(3.5, 3.9, 3.8919098143236073)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 130.0, 90.0)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:29.314923,"(3.9, 5.0, 4.991891891891892)","(3.5, 3.9, 3.892375)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 120.0, 81.42857142857143)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:30.602962,"(3.9, 5.0, 4.991891891891892)","(3.5, 3.9, 3.892375)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.632608695652173)","(12.0, 15.0, 14.523809523809524)","(5.5, 6.8, 6.736936936936937)","(31.0, 120.0, 81.42857142857143)","(7.0, 9.0, 8.88495575221239)"
11-01-2023 18:13:32.027975,"(3.9, 5.0, 4.991891891891892)","(3.5, 3.9, 3.868344155844156)","(6.5, 8.8, 8.653846153846153)","(9.0, 12.0, 11.641949152542374)","(12.0, 15.0, 13.935483870967742)","(5.5, 6.8, 6.749019607843137)","(31.0, 120.0, 81.42857142857143)","(7.0, 9.0, 8.87378640776699)"
