,Locked And Ready,Gotham Diva,We Dance,Defined Benefit,Nibiru,Jay Jay Lopez,System Issues
05-01-2023 16:56:52.160101,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:53.312517,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:54.387491,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:55.661697,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:57.049685,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:58.159669,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:56:59.384296,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:00.597744,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:01.732490,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:02.889660,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:04.008198,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.6790000000000003)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 6.875)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:05.044838,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.94)","(20.0, 50.0, 33.75)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 7.7727272727272725)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:06.091497,"(3.2, 5.3, 3.655555555555556)","(4.0, 7.0, 4.571428571428571)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 10.0, 7.7727272727272725)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:07.140271,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:08.275445,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:09.475559,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:10.679168,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:11.876933,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:12.905175,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:14.029827,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:15.204255,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 28.666666666666664)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 9.127272727272729)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:16.349041,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 2.94)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 16.0, 12.57777777777778)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:17.439243,"(3.2, 5.3, 3.655555555555556)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.75, 3.516)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.57777777777778)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:18.668761,"(3.2, 5.2, 4.85)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.57777777777778)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:19.913000,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.825)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:21.244168,"(3.2, 5.2, 4.633333333333334)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.825)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:22.611624,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.825)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:23.998472,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.825)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:25.299911,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.825)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:26.542021,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.66)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:27.752960,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.66)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:28.862040,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.772727272727273)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:29.960769,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.533333333333333)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 10.866666666666667)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:31.070055,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 10.866666666666667)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:32.248020,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 10.866666666666667)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:33.408874,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 27.090909090909093)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 10.866666666666667)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:34.542919,"(3.2, 5.2, 5.090625)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 10.866666666666667)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:35.599710,"(3.2, 5.2, 5.105555555555556)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:36.956476,"(3.2, 5.2, 4.65)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:38.308303,"(3.2, 5.2, 4.425)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:39.464117,"(3.2, 5.2, 4.425)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:40.715618,"(3.2, 5.2, 5.084615384615384)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.476)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:42.037826,"(3.2, 5.2, 5.084615384615384)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:43.406802,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:44.675511,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:45.881663,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 30.0)","(18.0, 44.0, 23.272727272727273)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 30.18181818181818)"
05-01-2023 16:57:47.101486,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 33.75)","(18.0, 44.0, 26.1875)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 34.375)"
05-01-2023 16:57:48.400278,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 33.75)","(18.0, 44.0, 26.1875)","(5.5, 13.5, 12.644444444444446)","(20.0, 60.0, 34.375)"
05-01-2023 16:57:49.842996,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 50.0, 36.25)","(18.0, 44.0, 26.1875)","(5.5, 13.5, 10.122222222222224)","(20.0, 60.0, 34.375)"
05-01-2023 16:57:51.282874,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 36.25)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.122222222222224)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:52.508255,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.122222222222224)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:53.854652,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.122222222222224)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:55.149473,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 9.350000000000001)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:56.531348,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:57.811342,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:57:58.985134,"(3.2, 5.2, 4.7)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:00.163254,"(3.2, 5.2, 4.804545454545455)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:01.339343,"(3.2, 5.2, 4.804545454545455)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:02.736527,"(3.2, 5.2, 4.804545454545455)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:04.107738,"(3.2, 5.2, 4.804545454545455)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:05.319030,"(3.2, 5.2, 4.266666666666667)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:06.693793,"(3.2, 5.2, 4.225)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
05-01-2023 16:58:08.081092,"(3.2, 5.2, 4.225)","(4.0, 6.8, 4.505)","(2.45, 3.7, 3.028)","(20.0, 55.0, 34.16666666666667)","(18.0, 44.0, 28.166666666666664)","(5.5, 13.5, 10.005263157894738)","(20.0, 60.0, 37.22222222222222)"
