,Boxing On,Make Me Dizzy,Rosebud Smile,Monza,Cant Control Me,Shian Quirky,Remembering,Sugar Pie
06-01-2023 16:31:39.651244,"(9.0, 17.0, 9.114285714285714)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 8.628571428571428)","(31.0, 200.0, 114.5)","(7.5, 15.0, 8.175)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:40.799567,"(9.0, 16.5, 9.975)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 8.628571428571428)","(31.0, 200.0, 114.5)","(7.5, 15.0, 8.175)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:42.310798,"(9.0, 16.5, 9.975)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 8.628571428571428)","(31.0, 200.0, 114.5)","(7.5, 15.0, 8.175)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:43.638015,"(9.0, 16.5, 15.165)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 12.066666666666666)","(1.35, 2.12, 1.4676315789473684)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:44.915449,"(9.0, 16.5, 15.165)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4768)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:46.133635,"(9.0, 16.5, 15.165)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4768)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:31:47.400844,"(9.0, 16.5, 15.075)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 114.5)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.4768)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:48.747253,"(9.0, 16.5, 14.55)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 114.5)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:49.989959,"(9.0, 16.5, 14.55)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 114.5)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:51.152452,"(9.0, 16.5, 14.55)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 114.5)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:52.396383,"(9.0, 16.5, 14.55)","(14.0, 32.0, 23.458333333333332)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 114.5)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 26.863636363636363)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:53.832625,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:55.139897,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:56.368173,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:57.647600,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:31:58.929019,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.5058333333333334)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:00.184457,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.12, 1.9116923076923078)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:01.429417,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.1, 2.046666666666667)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:02.625039,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.06, 2.046666666666667)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:03.792881,"(9.0, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.06, 2.046666666666667)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:04.991263,"(8.5, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.06, 2.046666666666667)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:06.266213,"(8.5, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 12.066666666666666)","(1.35, 2.06, 2.046666666666667)","(16.0, 38.0, 24.0)","(31.0, 300.0, 158.11764705882354)"
06-01-2023 16:32:07.563546,"(8.5, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 11.181818181818182)","(1.35, 2.06, 2.0431578947368423)","(16.0, 38.0, 24.0)","(31.0, 300.0, 179.42857142857142)"
06-01-2023 16:32:08.805226,"(8.5, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 11.309090909090909)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 11.181818181818182)","(1.35, 2.06, 2.0431578947368423)","(16.0, 38.0, 24.0)","(31.0, 290.0, 139.2)"
06-01-2023 16:32:10.073536,"(8.5, 16.5, 14.55)","(14.0, 32.0, 18.674999999999997)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.7349999999999999)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:11.274416,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:12.426239,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:13.584317,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:15.275109,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:16.831616,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:18.240765,"(8.5, 16.5, 11.16)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 24.0)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:19.812574,"(8.5, 16.5, 13.1625)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 38.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:21.410400,"(8.5, 16.5, 13.2375)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:23.187487,"(8.5, 16.5, 11.28)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:24.696240,"(8.5, 16.5, 11.28)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:26.219021,"(8.5, 16.5, 13.3125)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:27.593331,"(8.5, 16.5, 13.3125)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:29.003739,"(8.5, 16.5, 13.3125)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:30.483301,"(8.5, 16.5, 12.05)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.85)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:31.917029,"(8.5, 16.5, 12.05)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.4808333333333332)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:33.168070,"(8.5, 16.5, 13.533333333333333)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.49)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:34.386833,"(8.5, 16.5, 13.533333333333333)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.06, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:35.685597,"(8.5, 16.5, 13.533333333333333)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 10.45)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:37.009889,"(8.5, 16.5, 13.533333333333333)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 13.5, 10.24)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:38.178283,"(8.5, 17.0, 12.3)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:39.512509,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:40.728006,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:41.922849,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:43.258029,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:44.459080,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:45.860207,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:47.190209,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:48.528916,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:49.776608,"(8.5, 16.5, 14.275)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 79.29411764705883)","(7.5, 14.5, 9.428571428571429)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 139.2)"
06-01-2023 16:32:51.032061,"(8.5, 16.5, 13.02)","(14.0, 32.0, 15.75)","(7.5, 16.0, 9.7)","(31.0, 200.0, 90.07142857142857)","(7.5, 14.5, 9.68)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:52.397461,"(8.5, 16.5, 13.02)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.68)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:53.690109,"(8.5, 16.5, 13.02)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 10.036363636363637)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:55.032820,"(8.5, 16.5, 14.881818181818181)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 10.036363636363637)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:56.475534,"(8.5, 16.5, 14.881818181818181)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:58.095391,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:32:59.354804,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:00.585839,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.04, 1.7349999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:01.798143,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.04, 1.4889999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:03.005715,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 10.399999999999999)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.088888888888889)","(1.35, 2.02, 1.7149999999999999)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:04.262797,"(8.5, 16.5, 15.864285714285716)","(14.0, 32.0, 16.615384615384617)","(7.5, 16.0, 11.08)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 11.2)","(1.35, 2.0, 1.8733333333333333)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:05.417789,"(8.5, 16.5, 13.6)","(14.0, 32.0, 17.0)","(7.5, 16.0, 11.08)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 11.2)","(1.35, 2.0, 1.8733333333333333)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
06-01-2023 16:33:06.616263,"(8.5, 16.5, 13.1)","(14.0, 32.0, 17.0)","(7.5, 16.0, 10.666666666666666)","(31.0, 200.0, 90.07142857142857)","(7.5, 15.0, 9.82)","(1.35, 2.0, 1.976451612903226)","(16.0, 36.0, 25.772727272727273)","(31.0, 300.0, 127.71428571428571)"
