,Bobby Rissole,Asteroid Evee,Gothika,His Keen,Karinya Trombone
05-01-2023 16:47:59.436255,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:00.254004,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:01.048364,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:01.861443,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:02.698685,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:03.551188,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:04.511709,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:05.324365,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:06.166828,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:07.052241,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:08.009624,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:08.827858,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:09.621046,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:10.479390,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:11.370122,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:12.236908,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 170.0, 72.66666666666666)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:13.174237,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 150.0, 99.6)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:14.037420,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:14.880420,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:15.696169,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:16.686449,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:17.600917,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:18.484398,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:19.285631,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:20.115498,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:20.939223,"(2.5, 4.3, 3.4666666666666663)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:21.747497,"(2.5, 4.6, 3.222222222222222)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:22.619165,"(2.5, 4.5, 3.533333333333333)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:23.440378,"(2.5, 4.5, 4.0)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:24.251798,"(2.5, 4.5, 4.0)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:25.078070,"(2.5, 4.5, 4.0)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:25.986761,"(2.5, 4.5, 4.0)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:26.812337,"(2.5, 4.5, 4.0)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:27.614172,"(2.5, 4.4, 3.4)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:28.449731,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:29.332044,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:30.313912,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:31.135315,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:31.947141,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:32.832762,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:33.741700,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:34.721427,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:35.615683,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:36.525218,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:37.623265,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:38.780668,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:39.700049,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:40.507710,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:41.368095,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:42.226321,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 160.0, 51.2)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:43.124193,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:43.923155,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:44.833676,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:45.780244,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:46.613117,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:47.501056,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:48.386294,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:49.232977,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:50.067219,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:50.920008,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:51.836462,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:52.672959,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:53.542733,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:54.446575,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:55.347777,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:56.175379,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:56.987359,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:57.796045,"(2.5, 4.4, 3.1727272727272724)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:58.665427,"(2.5, 5.0, 3.119642857142857)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:48:59.632755,"(2.5, 5.0, 3.119642857142857)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:00.510106,"(2.5, 4.9, 4.266666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:01.328731,"(2.5, 4.9, 4.266666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:02.209726,"(2.5, 4.9, 4.266666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:03.135103,"(2.5, 4.9, 4.266666666666667)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:04.171240,"(2.5, 4.8, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:05.033341,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:05.914177,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:06.857368,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 26.727272727272727)"
05-01-2023 16:49:07.694202,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 30.0, 23.571428571428573)"
05-01-2023 16:49:08.533490,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 32.0, 20.125)"
05-01-2023 16:49:09.456913,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.5)"
05-01-2023 16:49:10.352498,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.375)"
05-01-2023 16:49:11.166888,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 62.66666666666667)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.375)"
05-01-2023 16:49:12.124167,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 140.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.4)"
05-01-2023 16:49:12.999927,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.4)"
05-01-2023 16:49:13.862707,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 120.0, 60.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.4)"
05-01-2023 16:49:14.732999,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 120.0, 60.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.4)"
05-01-2023 16:49:15.549438,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 120.0, 56.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.4)"
05-01-2023 16:49:16.333234,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 120.0, 56.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:17.195805,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 120.0, 56.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:18.176657,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 120.0, 72.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:19.015740,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:19.801509,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:20.702770,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:21.654815,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:22.559407,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:23.411002,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:24.326192,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 27.625)"
05-01-2023 16:49:25.231542,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:26.115945,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:27.005353,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:27.943140,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:28.770769,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:29.628635,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:30.519518,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:31.428947,"(2.5, 4.7, 3.6)","(51.0, 230.0, 209.77777777777777)","(21.0, 130.0, 69.42857142857143)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:32.364090,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 29.8125)"
05-01-2023 16:49:33.303284,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.5)"
05-01-2023 16:49:34.169120,"(2.5, 4.7, 3.6)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.6, 1.46)","(13.0, 32.0, 28.6)"
05-01-2023 16:49:34.962868,"(2.5, 4.9, 4.682352941176471)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.59, 1.414242424242424)","(13.0, 32.0, 28.6)"
05-01-2023 16:49:35.878406,"(2.5, 4.9, 4.682352941176471)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.59, 1.4433333333333334)","(13.0, 32.0, 29.5625)"
05-01-2023 16:49:36.852027,"(2.5, 4.9, 4.300000000000001)","(51.0, 230.0, 193.6)","(21.0, 170.0, 97.0)","(1.4, 1.58, 1.4406666666666665)","(13.0, 32.0, 29.5625)"
05-01-2023 16:49:37.665051,"(2.5, 4.8, 3.95)","(51.0, 230.0, 193.6)","(21.0, 150.0, 87.0)","(1.4, 1.58, 1.4406666666666665)","(13.0, 32.0, 27.25)"
05-01-2023 16:49:38.491631,"(2.5, 4.8, 3.95)","(51.0, 230.0, 193.6)","(21.0, 150.0, 87.0)","(1.4, 1.58, 1.4406666666666665)","(13.0, 32.0, 27.375)"
05-01-2023 16:49:39.392212,"(2.5, 4.8, 3.95)","(51.0, 230.0, 193.6)","(21.0, 150.0, 87.0)","(1.4, 1.58, 1.414242424242424)","(13.0, 32.0, 27.375)"
05-01-2023 16:49:40.261594,"(2.5, 4.7, 3.5571428571428574)","(51.0, 230.0, 193.6)","(21.0, 150.0, 87.0)","(1.4, 1.59, 1.414242424242424)","(13.0, 32.0, 27.375)"
