,Casting Vote,Only Juan,Raglan Mafia,Seymour Thunder,Know Juan,Tokyo Drift,Whos My Mother
10-01-2023 20:11:10.276814,"(20.0, 46.0, 41.25925925925926)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3566666666666667)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:11.632909,"(20.0, 46.0, 33.55555555555556)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3566666666666667)","(26.0, 80.0, 74.75)"
10-01-2023 20:11:12.650763,"(20.0, 46.0, 33.55555555555556)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3566666666666667)","(26.0, 80.0, 77.1875)"
10-01-2023 20:11:13.710658,"(20.0, 46.0, 41.333333333333336)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3583870967741936)","(26.0, 80.0, 77.1875)"
10-01-2023 20:11:14.747927,"(20.0, 46.0, 42.13793103448276)","(13.0, 23.0, 22.49)","(21.0, 46.0, 42.4)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3554545454545455)","(26.0, 80.0, 77.1875)"
10-01-2023 20:11:15.775200,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 22.49)","(21.0, 46.0, 43.61904761904762)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.347826086956523)","(1.24, 1.36, 1.3557142857142859)","(26.0, 80.0, 77.1875)"
10-01-2023 20:11:16.802268,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 22.536363636363635)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.549999999999999)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.3551063829787235)","(26.0, 80.0, 77.1875)"
10-01-2023 20:11:17.773452,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.3542105263157895)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:18.675265,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.3542105263157895)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:19.646929,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 22.32894736842105)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.348888888888889)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:20.623677,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 22.32894736842105)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.3490625)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:21.561710,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.3490625)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:22.465895,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.36, 1.347037037037037)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:23.404918,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.36, 1.347037037037037)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:24.408622,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 21.75609756097561)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.36, 1.3463636363636364)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:25.415726,"(20.0, 46.0, 43.128205128205124)","(13.0, 23.0, 22.85483870967742)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.36, 1.3463636363636364)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:26.436596,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.46938775510204)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.36, 1.3463636363636364)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:27.377025,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.35, 1.344)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:28.364281,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.605263157894736)","(1.24, 1.35, 1.3434146341463415)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:29.363398,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.545454545454547)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:30.344479,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.41176470588235)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:31.276516,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.41176470588235)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:32.220719,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 23.62962962962963)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:33.225643,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 24.0, 27.75)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:34.296975,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 28.0, 27.75)","(1.24, 1.35, 1.3441176470588236)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:35.299616,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(5.5, 9.6, 9.569230769230769)","(12.0, 28.0, 26.909090909090907)","(1.24, 1.35, 1.341304347826087)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:36.226154,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 23.555555555555557)","(1.22, 1.35, 1.3406382978723406)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:37.227467,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 26.76923076923077)","(1.22, 1.35, 1.3405555555555557)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:38.218743,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.058823529411764)","(1.22, 1.35, 1.3412820512820514)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:39.247577,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 26.76923076923077)","(1.22, 1.36, 1.3544736842105265)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:40.296957,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.058823529411764)","(1.22, 1.36, 1.3541666666666667)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:41.250426,"(20.0, 46.0, 43.2)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.384615384615383)","(1.22, 1.36, 1.351219512195122)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:42.220247,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.56756756756757)","(1.22, 1.35, 1.3450000000000002)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:43.193281,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.61111111111111)","(1.22, 1.35, 1.3450000000000002)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:44.220343,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.846153846153847)","(1.22, 1.35, 1.3435483870967744)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:45.210909,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 28.0, 27.846153846153847)","(1.22, 1.35, 1.3435483870967744)","(26.0, 80.0, 78.5)"
10-01-2023 20:11:46.169453,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 33.68)","(1.22, 1.35, 1.34375)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:47.073508,"(20.0, 46.0, 43.26829268292683)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 33.68)","(1.22, 1.35, 1.34375)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:48.034708,"(20.0, 46.0, 42.5)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 32.588235294117645)","(1.22, 1.35, 1.34375)","(26.0, 80.0, 78.44827586206897)"
10-01-2023 20:11:49.011835,"(20.0, 46.0, 42.5)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 32.588235294117645)","(1.22, 1.35, 1.34375)","(26.0, 80.0, 78.44827586206897)"
10-01-2023 20:11:50.050820,"(20.0, 46.0, 40.285714285714285)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.333333333333332)","(1.22, 1.36, 1.3473684210526318)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:51.057458,"(20.0, 46.0, 40.285714285714285)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.333333333333332)","(1.22, 1.36, 1.3473684210526318)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:52.079125,"(20.0, 46.0, 42.12903225806451)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.209302325581397)","(1.22, 1.35, 1.3422222222222222)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:53.118731,"(20.0, 46.0, 42.12903225806451)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.209302325581397)","(1.22, 1.35, 1.3422222222222222)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:54.161732,"(20.0, 46.0, 42.12903225806451)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.463414634146343)","(1.22, 1.36, 1.3442857142857143)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:55.177195,"(20.0, 46.0, 43.073170731707314)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.463414634146343)","(1.22, 1.35, 1.3442857142857143)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:56.229451,"(20.0, 46.0, 42.0)","(13.0, 23.0, 21.6)","(21.0, 46.0, 44.38709677419355)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.463414634146343)","(1.22, 1.35, 1.3388235294117647)","(26.0, 80.0, 78.26923076923077)"
10-01-2023 20:11:57.312250,"(20.0, 46.0, 42.8421052631579)","(13.0, 23.0, 21.6)","(21.0, 46.0, 41.0)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.045454545454547)","(1.22, 1.35, 1.3321739130434784)","(26.0, 80.0, 76.25)"
10-01-2023 20:11:58.269954,"(20.0, 46.0, 42.470588235294116)","(13.0, 23.0, 21.32)","(21.0, 46.0, 42.666666666666664)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.8)","(1.22, 1.35, 1.3224324324324326)","(26.0, 80.0, 76.25)"
10-01-2023 20:11:59.214314,"(20.0, 46.0, 43.27272727272727)","(13.0, 23.0, 21.384615384615383)","(21.0, 46.0, 41.0)","(6.0, 9.6, 9.561904761904762)","(13.0, 34.0, 31.8)","(1.22, 1.35, 1.337945205479452)","(26.0, 80.0, 76.25)"
10-01-2023 20:12:00.218988,"(20.0, 46.0, 43.27272727272727)","(13.0, 23.0, 21.6)","(21.0, 46.0, 41.0)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.8)","(1.22, 1.35, 1.337945205479452)","(26.0, 80.0, 76.25)"
10-01-2023 20:12:01.308452,"(20.0, 46.0, 44.125)","(13.0, 23.0, 21.6)","(21.0, 46.0, 40.6)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.8)","(1.22, 1.35, 1.3222222222222222)","(26.0, 80.0, 76.25)"
10-01-2023 20:12:02.330571,"(20.0, 46.0, 44.125)","(13.0, 23.0, 21.6)","(21.0, 46.0, 40.6)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.8)","(1.22, 1.35, 1.3222222222222222)","(26.0, 80.0, 76.25)"
10-01-2023 20:12:03.333100,"(20.0, 46.0, 44.0)","(13.0, 23.0, 21.6)","(21.0, 46.0, 43.1578947368421)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 30.5625)","(1.22, 1.35, 1.3222222222222222)","(26.0, 80.0, 78.2)"
10-01-2023 20:12:04.393026,"(20.0, 46.0, 44.476190476190474)","(13.0, 23.0, 25.625)","(21.0, 46.0, 44.3125)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 31.87878787878788)","(1.22, 1.35, 1.3222222222222222)","(26.0, 80.0, 78.2)"
10-01-2023 20:12:05.377397,"(20.0, 46.0, 44.6)","(13.0, 26.0, 25.625)","(21.0, 46.0, 44.3125)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 32.372093023255815)","(1.22, 1.34, 1.335263157894737)","(26.0, 80.0, 77.6923076923077)"
10-01-2023 20:12:06.393519,"(20.0, 55.0, 53.166666666666664)","(13.0, 26.0, 22.142857142857142)","(21.0, 46.0, 43.42857142857143)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 32.166666666666664)","(1.22, 1.34, 1.335294117647059)","(26.0, 80.0, 77.0)"
10-01-2023 20:12:07.420992,"(20.0, 55.0, 53.166666666666664)","(13.0, 25.0, 23.57142857142857)","(21.0, 46.0, 42.72727272727273)","(6.0, 9.6, 9.569230769230769)","(13.0, 34.0, 32.2)","(1.22, 1.34, 1.3330357142857143)","(26.0, 120.0, 87.65625)"
10-01-2023 20:12:08.478154,"(20.0, 55.0, 53.166666666666664)","(13.0, 25.0, 23.26086956521739)","(21.0, 46.0, 43.42857142857143)","(6.0, 10.0, 9.8)","(13.0, 34.0, 32.4)","(1.22, 1.34, 1.3323529411764707)","(26.0, 120.0, 87.65625)"
10-01-2023 20:12:09.512102,"(21.0, 55.0, 50.111111111111114)","(14.0, 25.0, 23.26086956521739)","(26.0, 46.0, 44.13793103448276)","(6.5, 10.0, 9.692857142857143)","(17.0, 34.0, 32.4)","(1.16, 1.34, 1.3246153846153847)","(31.0, 80.0, 78.69565217391305)"
10-01-2023 20:12:10.475770,"(21.0, 55.0, 50.111111111111114)","(14.0, 25.0, 23.26086956521739)","(26.0, 46.0, 44.13793103448276)","(6.5, 9.8, 9.692857142857143)","(17.0, 34.0, 32.4)","(1.16, 1.33, 1.3246153846153847)","(31.0, 80.0, 78.69565217391305)"
10-01-2023 20:12:11.530988,"(21.0, 55.0, 47.0)","(14.0, 25.0, 23.26086956521739)","(26.0, 46.0, 44.8)","(6.5, 9.8, 9.692857142857143)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.3258333333333334)","(31.0, 80.0, 78.69565217391305)"
10-01-2023 20:12:12.539621,"(21.0, 55.0, 51.333333333333336)","(14.0, 25.0, 23.26086956521739)","(26.0, 46.0, 44.8)","(6.5, 9.8, 9.692857142857143)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.324871794871795)","(31.0, 80.0, 78.69565217391305)"
10-01-2023 20:12:13.544760,"(21.0, 55.0, 51.333333333333336)","(14.0, 25.0, 23.125)","(26.0, 46.0, 44.8)","(6.5, 9.8, 9.692857142857143)","(17.0, 34.0, 33.193548387096776)","(1.16, 1.33, 1.3166666666666667)","(31.0, 80.0, 78.33333333333333)"
10-01-2023 20:12:14.490187,"(21.0, 55.0, 50.72222222222222)","(14.0, 25.0, 23.0)","(26.0, 46.0, 43.88235294117647)","(6.5, 10.0, 9.907692307692308)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.33, 1.3166666666666667)","(31.0, 80.0, 78.33333333333333)"
10-01-2023 20:12:15.424527,"(21.0, 55.0, 50.94736842105263)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.88235294117647)","(6.5, 10.0, 9.2)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.33, 1.324871794871795)","(31.0, 80.0, 77.5)"
10-01-2023 20:12:16.412787,"(21.0, 55.0, 50.94736842105263)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.88235294117647)","(6.5, 9.8, 9.5)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.33, 1.324871794871795)","(31.0, 80.0, 79.375)"
10-01-2023 20:12:17.418164,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.88235294117647)","(6.5, 9.8, 9.32)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.33, 1.3124242424242425)","(31.0, 80.0, 79.375)"
10-01-2023 20:12:18.496998,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.88235294117647)","(6.5, 9.8, 9.600000000000001)","(17.0, 34.0, 33.411764705882355)","(1.16, 1.32, 1.3286)","(31.0, 80.0, 94.70588235294117)"
10-01-2023 20:12:19.564230,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.75)","(6.5, 10.0, 9.272727272727273)","(17.0, 34.0, 33.411764705882355)","(1.16, 1.34, 1.3286)","(31.0, 100.0, 95.0)"
10-01-2023 20:12:20.635833,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.1578947368421)","(6.5, 10.0, 9.272727272727273)","(17.0, 34.0, 33.411764705882355)","(1.16, 1.34, 1.3286)","(31.0, 100.0, 93.6842105263158)"
10-01-2023 20:12:21.655353,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.1578947368421)","(6.5, 10.0, 9.5)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.34, 1.3172093023255815)","(31.0, 100.0, 77.5)"
10-01-2023 20:12:22.742458,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.1578947368421)","(6.5, 9.8, 9.6)","(17.0, 34.0, 32.333333333333336)","(1.16, 1.34, 1.3272222222222223)","(31.0, 100.0, 77.5)"
10-01-2023 20:12:23.824175,"(21.0, 55.0, 51.729729729729726)","(14.0, 25.0, 22.586206896551722)","(26.0, 46.0, 43.1578947368421)","(6.5, 9.8, 9.657142857142858)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.3212727272727274)","(31.0, 100.0, 77.5)"
10-01-2023 20:12:24.963627,"(21.0, 55.0, 51.333333333333336)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.1578947368421)","(6.5, 9.8, 9.8)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.3212727272727274)","(31.0, 100.0, 85.0)"
10-01-2023 20:12:26.032871,"(21.0, 55.0, 52.06666666666666)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.1578947368421)","(6.5, 10.0, 9.8)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.3212727272727274)","(31.0, 95.0, 85.0)"
10-01-2023 20:12:26.943321,"(21.0, 55.0, 52.06666666666666)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.1578947368421)","(6.5, 10.0, 9.8)","(17.0, 34.0, 33.333333333333336)","(1.16, 1.33, 1.3212727272727274)","(31.0, 95.0, 85.0)"
10-01-2023 20:12:27.887050,"(21.0, 55.0, 52.06666666666666)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.1578947368421)","(6.5, 10.0, 9.885714285714286)","(17.0, 34.0, 33.23076923076923)","(1.16, 1.33, 1.3212727272727274)","(31.0, 95.0, 85.0)"
10-01-2023 20:12:28.843315,"(21.0, 55.0, 52.06666666666666)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.0)","(6.5, 10.0, 9.753846153846153)","(17.0, 34.0, 33.2)","(1.16, 1.33, 1.3212727272727274)","(31.0, 95.0, 93.4375)"
10-01-2023 20:12:29.889122,"(21.0, 55.0, 49.85714285714286)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.0)","(6.5, 10.0, 9.822222222222223)","(17.0, 34.0, 33.2)","(1.16, 1.33, 1.3165517241379312)","(31.0, 80.0, 78.33333333333333)"
10-01-2023 20:12:30.879268,"(21.0, 55.0, 49.85714285714286)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.0)","(6.5, 10.0, 9.822222222222223)","(17.0, 34.0, 33.2)","(1.16, 1.32, 1.3165517241379312)","(31.0, 80.0, 78.33333333333333)"
10-01-2023 20:12:31.841685,"(21.0, 55.0, 49.85714285714286)","(14.0, 25.0, 22.77777777777778)","(26.0, 46.0, 43.0)","(6.5, 10.0, 9.822222222222223)","(17.0, 34.0, 33.2)","(1.16, 1.32, 1.3164285714285715)","(31.0, 80.0, 78.33333333333333)"
