,Court Jester,Sayua,Lost Cause,Levente,Cold Pursuit,Quokka Two
04-01-2023 13:42:51.629502,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9499999999999997)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:42:52.710210,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8857142857142857)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:42:53.927343,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.044444444444444)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:42:55.033293,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:42:56.050346,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.6)"
04-01-2023 13:42:57.101590,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:42:58.145712,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:42:59.164837,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.3)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:00.140742,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.485714285714286)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:01.111967,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:02.188258,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:03.257188,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:04.259971,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:05.226509,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:06.231377,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:07.155464,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.8285714285714283)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.5)","(2.05, 2.76, 2.5270588235294116)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:08.210389,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 3.9555555555555553)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.82857142857143)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:09.305910,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.82857142857143)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:10.319291,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.82857142857143)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.6)"
04-01-2023 13:43:11.304938,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.82857142857143)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.9625)"
04-01-2023 13:43:12.304659,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.371428571428572)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:13.300688,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.3)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:14.258860,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 14.3)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:15.159958,"(9.0, 20.0, 16.266666666666666)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 13.600000000000001)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:16.153220,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:17.143587,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.9625)"
04-01-2023 13:43:18.111463,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:19.088880,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:20.092957,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.575)"
04-01-2023 13:43:21.024864,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.575)"
04-01-2023 13:43:21.969695,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.022222222222222)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.575)"
04-01-2023 13:43:23.000169,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.575)"
04-01-2023 13:43:23.979720,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:24.898887,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:25.869033,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.6)"
04-01-2023 13:43:26.851235,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.9625)"
04-01-2023 13:43:27.748613,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.475)"
04-01-2023 13:43:28.619056,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:29.584134,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:30.552208,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:31.424541,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:32.411726,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 10.325925925925926)"
04-01-2023 13:43:33.370950,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.35)"
04-01-2023 13:43:34.312838,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.3621052631578947)","(6.5, 10.5, 9.9625)"
04-01-2023 13:43:35.226595,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:36.180118,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:37.167449,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:38.071908,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.52)","(6.5, 10.5, 10.141666666666667)"
04-01-2023 13:43:39.083197,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 10.5, 9.68)"
04-01-2023 13:43:40.061029,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 10.5, 9.525)"
04-01-2023 13:43:40.932389,"(9.0, 20.0, 11.2)","(3.2, 4.6, 4.153846153846153)","(10.0, 18.5, 14.857142857142858)","(8.5, 20.0, 15.2)","(2.05, 2.76, 2.5270588235294116)","(6.5, 10.5, 9.525)"
