,Rahela Bale,Big Beaver,Destini Saxon,Silver Brute,Westerns Bear,Aston Salma,Zella Bale
07-12-2022 20:19:58.360104,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:19:59.481020,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:00.673400,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:01.759738,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:02.817051,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:03.798050,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:04.801278,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:05.729165,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:06.662170,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:07.643733,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:08.665803,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:09.735849,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:10.711862,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:11.670329,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:12.626753,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:13.624385,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:14.623349,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:15.649400,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:16.647449,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:17.675919,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:18.701243,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 6.433333333333334)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:19.762007,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:20.754735,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:21.739581,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:22.709304,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:23.689010,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:24.661933,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:25.719216,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:26.762524,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 23.0, 16.333333333333332)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:27.794662,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 17.22222222222222)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:28.856566,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:29.926685,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:30.975043,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:32.065928,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:33.092695,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:34.002547,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:34.986134,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:35.988177,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:37.052255,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:38.228366,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:39.289864,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:40.264057,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:41.245489,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:42.257469,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:43.204847,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:44.222368,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:45.215032,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:46.248019,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:47.322904,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:48.381421,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:49.404537,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:50.426456,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:51.354502,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:52.327211,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:53.284063,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:54.298230,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:55.337623,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:56.414174,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:57.430467,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:58.453181,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:20:59.475354,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:00.506698,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:01.493070,"(61.0, 670.0, 165.83333333333331)","(21.0, 85.0, 39.90909090909091)","(10.0, 25.0, 15.666666666666668)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:02.530015,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 25.0, 17.22222222222222)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:03.649916,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 25.0, 16.25)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:04.771416,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 25.0, 16.25)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:05.933556,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 25.0, 16.25)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:07.079981,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 25.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:08.224509,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:09.391653,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:10.526719,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:11.637764,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:12.717167,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:13.835131,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:14.947233,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:16.143152,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
07-12-2022 20:21:17.340915,"(61.0, 670.0, 367.5)","(21.0, 85.0, 46.25)","(10.0, 24.0, 15.875)","(1.55, 2.0, 1.7071428571428573)","(5.5, 9.2, 6.6764705882352935)","(6.0, 11.5, 9.482608695652175)","(6.0, 11.5, 7.7666666666666675)"
