,Donut Spolly,Piper Spolly,Millaras Money,Senorita Cruz,Marionvale Gal,Pheasant Wood
09-01-2023 13:49:19.485583,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:20.594035,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:21.699776,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:22.764807,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:23.794052,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:24.707304,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:25.674718,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:26.658972,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:27.731719,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:28.784262,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:29.806721,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:30.682860,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:31.588411,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:32.579027,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:33.653397,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:34.682749,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:35.679674,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:36.731349,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:37.730450,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:38.795715,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:39.910760,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:41.106843,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:42.271437,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:43.308757,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:44.267656,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:45.372830,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:46.388757,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:47.413138,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:48.276115,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:49.331220,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:50.415978,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:51.502243,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:52.527324,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:53.452698,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:54.356934,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:55.403701,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:56.365342,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:57.356554,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:58.245327,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:49:59.144998,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:00.142325,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:01.198970,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:02.205531,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:03.195103,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:04.116360,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:05.018350,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:05.973399,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:06.998554,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:07.965189,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:08.824146,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:09.687631,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:10.612003,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:11.551658,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:12.555765,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:13.521321,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:14.460195,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:15.311102,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:16.222159,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:17.218124,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:18.258248,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:19.386807,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:20.369116,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:21.286036,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:22.146659,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:23.194552,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:24.206048,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:25.225193,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:26.166980,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:27.064032,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:27.933151,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:28.857510,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:29.865899,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
09-01-2023 13:50:30.885470,"(7.5, 16.5, 8.528571428571428)","(21.0, 95.0, 58.0)","(2.1, 3.1, 2.1645454545454546)","(51.0, 410.0, 227.0)","(6.0, 12.5, 6.633333333333334)","(2.3, 3.4, 2.4724999999999997)"
