,True Treat,Stir The Pot,Tudor Fisk,Major Ando,Black Book,Slingshot Cooper,Copperhead,Mrs Chop
11-01-2023 14:32:07.060250,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:08.132612,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:09.222025,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:10.298814,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:11.422049,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:12.534983,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:13.654717,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:14.740164,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:15.840218,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:16.953229,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:18.035540,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:19.176044,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:20.285434,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:21.470357,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:22.544808,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:23.635598,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:24.776534,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:25.803005,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:26.860220,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:27.920268,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:29.034981,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:30.154727,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:31.218919,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:32.327865,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:33.432517,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:34.537853,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:35.593089,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:36.654429,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:37.775669,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:38.854341,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:39.897450,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.025)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:40.898210,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 27.229166666666668)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:41.850016,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:42.838436,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:43.822262,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 14.836363636363636)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:44.932755,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.836363636363636)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:46.051053,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.836363636363636)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:47.136267,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 14.836363636363636)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:48.244821,"(6.0, 14.0, 7.2444444444444445)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 15.5, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
11-01-2023 14:32:49.264539,"(6.0, 14.0, 9.066666666666666)","(6.5, 99999, 99990)","(13.0, 29.0, 18.0)","(2.5, 4.1, 2.6622857142857144)","(8.0, 16.0, 15.29090909090909)","(8.0, 19.5, 10.25)","(26.0, 95.0, 61.0)","(4.2, 7.6, 5.793548387096774)"
