,Opawa Hugo,Zipping Chassis,Opawa Duchess,Diamond Leaha,Silky Adobe,Goldstar Walker,Nighthawk Jet,Lets Party
10-01-2023 09:59:28.125012,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:29.170232,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:30.212673,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:31.244705,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:32.317236,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:33.371721,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:34.445801,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:35.513826,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:36.569265,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:37.656423,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:38.745539,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:39.838882,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:40.881658,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:41.905403,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:42.931704,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:43.916193,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
10-01-2023 09:59:44.942387,"(1.3, 1.37, 1.353448275862069)","(9.0, 70.0, 28.0)","(18.0, 210.0, 113.25)","(61.0, 570.0, 495.7142857142858)","(12.0, 130.0, 47.857142857142854)","(13.0, 130.0, 47.857142857142854)","(31.0, 320.0, 271.5)","(5.5, 5.9, 5.453191489361703)"
