,Hooked On Henry,Rosdue Tyson,Fine And Fabio,Rebel Prince,Specified,Tuta Yankee,Alvey,Kelso Queen
09-01-2023 12:23:48.816114,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:49.912213,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:51.031798,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:52.133828,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:53.272922,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:54.441152,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:55.562058,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:56.704035,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:57.922991,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:23:59.092354,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:00.255699,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:01.397541,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:02.555068,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:03.715593,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:04.933180,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:06.160487,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:07.274617,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:08.276482,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:09.289110,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:10.426942,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:11.454630,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:12.586260,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:13.664121,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:14.757058,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:15.918740,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:17.087758,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:18.224648,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:19.365501,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:20.452341,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:21.620158,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:22.819395,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:23.947852,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:25.138664,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
09-01-2023 12:24:26.258374,"(2.5, 4.1, 3.5)","(3.2, 6.2, 4.605405405405405)","(21.0, 90.0, 54.75)","(12.0, 32.0, 25.0)","(4.0, 7.8, 5.026666666666666)","(26.0, 100.0, 51.875)","(16.0, 42.0, 30.846153846153847)","(7.0, 14.0, 7.422222222222222)"
