,Kamendable Feeling,Safe Jewels,Little Wednesday,Isabella Princess,Double Happiness,I Want It All Nz,Calypso Mistress
14-12-2022 12:54:26.217327,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:27.320968,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:28.306520,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:29.324330,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:30.299488,"(4.6, 6.6, 6.247058823529411)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:31.245118,"(4.6, 6.6, 5.785714285714286)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:32.240747,"(4.6, 6.6, 5.785714285714286)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:33.212407,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:34.195262,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:35.208013,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:36.214062,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:37.303639,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:38.386054,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:39.407213,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:40.461919,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:41.579748,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:42.686647,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:43.747151,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:44.818559,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:45.884843,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:47.004681,"(4.6, 6.6, 5.699999999999999)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:48.105694,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:49.188707,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:50.226856,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:51.251117,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:52.297695,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:53.608968,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:54.869082,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:55.994429,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.6)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:57.159497,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.655)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:54:58.588197,"(4.6, 6.6, 5.34)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.8499999999999996)","(2.9, 3.9, 3.655)","(26.0, 99999, 99990)","(3.5, 5.4, 3.9375)"
14-12-2022 12:55:00.187678,"(4.6, 6.6, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.9, 3.7039999999999997)","(26.0, 99999, 99990)","(3.5, 5.4, 4.4799999999999995)"
14-12-2022 12:55:01.554301,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.9, 3.612)","(26.0, 99999, 99990)","(3.5, 5.1, 4.09375)"
14-12-2022 12:55:02.777985,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.9, 3.45)","(26.0, 99999, 99990)","(3.5, 5.0, 4.3)"
14-12-2022 12:55:04.208987,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.9, 3.58125)","(26.0, 99999, 99990)","(3.5, 4.8, 4.125)"
14-12-2022 12:55:05.414465,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.9, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 3.8)"
14-12-2022 12:55:06.677715,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 3.8)"
14-12-2022 12:55:07.875760,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 3.8)"
14-12-2022 12:55:09.097391,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 3.8)"
14-12-2022 12:55:10.148621,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 3.8)"
14-12-2022 12:55:11.274512,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.34)"
14-12-2022 12:55:12.386799,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:13.444082,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:14.511327,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:15.629363,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:16.712350,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:18.029126,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:19.241992,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:20.279052,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:21.672142,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:22.900606,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:23.901091,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:24.885787,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:25.903741,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:27.272602,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:28.565920,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:29.795734,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:31.159979,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:32.588855,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:33.708503,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:34.777574,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:35.880848,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:36.955006,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:37.977741,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:39.008548,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:40.136306,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:41.388524,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:42.533800,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:43.688034,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:44.800201,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:45.958371,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:47.318578,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:48.574964,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:49.830582,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:51.066599,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:52.284048,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:53.470401,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
14-12-2022 12:55:54.655021,"(4.6, 6.4, 5.28)","(15.0, 26.0, 21.75)","(21.0, 80.0, 70.85714285714286)","(3.4, 4.3, 3.58)","(2.9, 3.95, 3.8)","(26.0, 99999, 99990)","(3.5, 4.7, 4.4)"
