,Big Option,Deminaur,Dennis Choux,Goats On Oats,Greenhill Prince,Gungho,King Of Hampton,One Star Dream,Belthil,Lord Porchester,Mirroring,Scarlet Desire,Dollar Bucks
16-12-2022 13:02:58.115978,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 18.5, 18.42391304347826)","(19.0, 40.0, 38.15384615384615)","(51.0, 140.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 29.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:02:59.483127,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 18.5, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:00.926579,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.6)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:02.388356,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:03.777700,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:05.222609,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 505.0)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:06.684564,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 830.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 830.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:08.090183,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:09.518405,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 38.15384615384615)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:10.988709,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 39.21739130434783)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:12.508013,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 39.333333333333336)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:13.972272,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 39.41935483870968)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:15.418962,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 39.41935483870968)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:16.811724,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 39.41935483870968)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.0)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:18.320893,"(15.0, 22.0, 20.0)","(8.5, 16.0, 15.135135135135135)","(12.0, 19.0, 15.88888888888889)","(19.0, 40.0, 28.5)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 26.08)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:19.854016,"(15.0, 22.0, 20.5)","(8.5, 16.0, 15.515151515151516)","(12.0, 19.0, 15.88888888888889)","(19.0, 38.0, 32.92857142857143)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 610.0, 323.33333333333337)"
16-12-2022 13:03:21.352676,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.515151515151516)","(12.0, 19.0, 15.88888888888889)","(19.0, 34.0, 29.833333333333336)","(51.0, 130.0, 108.33333333333334)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 610.0, 290.0)"
16-12-2022 13:03:22.831419,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.515151515151516)","(12.0, 19.0, 15.88888888888889)","(19.0, 34.0, 29.166666666666664)","(51.0, 130.0, 119.16666666666667)","(101.0, 820.0, 393.33333333333337)","(91.0, 210.0, 168.33333333333331)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 610.0, 290.0)"
16-12-2022 13:03:24.239350,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 19.0, 15.88888888888889)","(19.0, 34.0, 28.05263157894737)","(51.0, 130.0, 92.5)","(101.0, 820.0, 505.0)","(91.0, 210.0, 161.66666666666669)","(101.0, 820.0, 505.0)","(1.8, 1.98, 1.960909090909091)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 610.0, 286.66666666666663)"
16-12-2022 13:03:25.636081,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 19.0, 15.88888888888889)","(19.0, 32.0, 28.05263157894737)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:27.047075,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 19.0, 15.88888888888889)","(19.0, 32.0, 28.05263157894737)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 25.714285714285715)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:28.620938,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 19.0, 17.75)","(19.0, 32.0, 28.05263157894737)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 28.0)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:30.099747,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 18.5, 17.75)","(19.0, 32.0, 28.05263157894737)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:31.589238,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 18.5, 17.75)","(19.0, 32.0, 28.05263157894737)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 29.57894736842105)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:33.060410,"(15.0, 23.0, 21.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 18.5, 19.75)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 28.857142857142858)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 286.66666666666663)"
16-12-2022 13:03:34.569092,"(15.0, 23.0, 20.75)","(8.5, 16.0, 15.391304347826086)","(12.0, 21.0, 19.75)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 28.857142857142858)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:36.108538,"(15.0, 23.0, 22.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 21.0, 19.75)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 28.2)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:37.593581,"(15.0, 23.0, 20.75)","(8.5, 16.0, 15.391304347826086)","(12.0, 21.0, 19.75)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 27.352941176470587)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:39.052614,"(15.0, 23.0, 22.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 21.0, 19.0)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 27.352941176470587)","(4.8, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:40.609844,"(15.0, 23.0, 22.0)","(8.5, 16.0, 15.391304347826086)","(12.0, 21.0, 19.0)","(19.0, 32.0, 28.25)","(51.0, 120.0, 90.0)","(101.0, 830.0, 505.0)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 505.0)","(1.8, 1.99, 1.960909090909091)","(18.0, 30.0, 27.352941176470587)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:42.104621,"(15.0, 23.0, 22.0)","(8.5, 16.0, 14.0)","(12.0, 21.0, 18.6)","(19.0, 32.0, 28.875)","(51.0, 120.0, 90.0)","(101.0, 830.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 830.0, 393.33333333333337)","(1.8, 1.99, 1.9628571428571429)","(18.0, 30.0, 27.142857142857142)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:43.641777,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.0)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 27.77777777777778)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:45.282814,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.0)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 27.77777777777778)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:46.813650,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.0)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 27.77777777777778)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:48.358393,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.307692307692307)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:49.883453,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.307692307692307)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:51.404591,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 14.307692307692307)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:52.995652,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 13.5)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:54.591882,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 13.5)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:56.097666,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 13.5)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 306.66666666666663)"
16-12-2022 13:03:57.665010,"(15.0, 21.0, 19.857142857142858)","(8.5, 16.0, 13.5)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 393.33333333333337)","(91.0, 200.0, 161.66666666666669)","(101.0, 820.0, 393.33333333333337)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 320.0)"
16-12-2022 13:03:59.241993,"(15.0, 21.0, 22.0)","(8.5, 16.0, 13.5)","(12.0, 20.0, 18.6)","(19.0, 32.0, 26.857142857142858)","(51.0, 120.0, 90.0)","(101.0, 820.0, 505.0)","(91.0, 200.0, 195.0)","(101.0, 820.0, 505.0)","(1.8, 1.98, 1.9628571428571429)","(18.0, 30.0, 28.4)","(4.6, 5.7, 5.511764705882353)","(12.0, 28.0, 22.75)","(101.0, 600.0, 320.0)"
