,Sheza Tigeress,Friday Thirteenth,Curveball,Sals Last Blast,Kimchi,Kenny What,American Mandy,Sweet Sunshine,Sweet Rippin,Our Sweet Royale
10-01-2023 21:33:53.487126,"(7.0, 7.6, 6.977777777777778)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.5, 13.475)","(3.6, 4.2, 4.051724137931034)","(4.6, 7.2, 6.688888888888888)","(91.0, 140.0, 102.5)","(3.4, 5.1, 4.9051282051282055)","(81.0, 200.0, 158.0)","(21.0, 38.0, 29.428571428571427)","(6.0, 12.5, 11.6)"
10-01-2023 21:33:59.037205,"(6.5, 7.4, 7.066666666666666)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.0, 13.382352941176471)","(3.6, 4.1, 3.9909090909090907)","(4.8, 7.0, 6.65)","(91.0, 140.0, 106.0)","(3.5, 5.1, 4.9051282051282055)","(91.0, 200.0, 158.0)","(21.0, 38.0, 28.0)","(6.0, 12.5, 11.6)"
10-01-2023 21:34:00.502615,"(6.5, 7.4, 6.955555555555556)","(71.0, 100.0, 98.27586206896552)","(11.0, 14.0, 13.333333333333334)","(3.6, 4.1, 3.98)","(4.8, 6.8, 5.96)","(91.0, 130.0, 102.0)","(3.5, 5.1, 4.9051282051282055)","(91.0, 200.0, 146.0)","(21.0, 38.0, 28.666666666666668)","(6.0, 12.5, 11.8)"
10-01-2023 21:34:01.895915,"(6.5, 7.4, 7.04)","(71.0, 95.0, 87.5)","(11.0, 13.5, 13.333333333333334)","(3.6, 4.0, 3.98)","(4.8, 6.0, 5.964285714285714)","(91.0, 120.0, 102.5)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 144.0)","(21.0, 32.0, 27.833333333333332)","(6.0, 12.0, 11.8)"
10-01-2023 21:34:03.284935,"(6.5, 7.4, 7.04)","(71.0, 95.0, 87.5)","(11.0, 13.5, 13.333333333333334)","(3.6, 4.0, 3.96875)","(4.8, 6.0, 5.954545454545455)","(91.0, 120.0, 102.5)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 144.0)","(21.0, 32.0, 27.833333333333332)","(6.0, 12.0, 11.8)"
10-01-2023 21:34:04.808643,"(6.5, 7.4, 7.04)","(71.0, 95.0, 87.5)","(11.0, 13.5, 13.333333333333334)","(3.5, 4.0, 3.977777777777778)","(4.8, 6.0, 5.86)","(91.0, 120.0, 102.5)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 144.0)","(21.0, 32.0, 27.833333333333332)","(6.0, 12.0, 11.8)"
10-01-2023 21:34:06.222160,"(6.5, 7.4, 7.25)","(71.0, 95.0, 87.5)","(11.0, 13.5, 15.227272727272727)","(3.5, 4.0, 3.977777777777778)","(4.8, 6.0, 5.9222222222222225)","(91.0, 120.0, 107.14285714285714)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 144.0)","(21.0, 32.0, 27.833333333333332)","(6.0, 12.0, 11.8)"
10-01-2023 21:34:07.639360,"(6.5, 7.4, 7.220000000000001)","(71.0, 95.0, 87.5)","(11.0, 15.5, 14.0)","(3.5, 4.0, 3.9739130434782606)","(4.8, 6.0, 5.9222222222222225)","(91.0, 120.0, 107.14285714285714)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 144.0)","(21.0, 32.0, 24.857142857142858)","(6.0, 12.0, 11.216666666666667)"
10-01-2023 21:34:08.968109,"(6.5, 7.4, 7.220000000000001)","(71.0, 95.0, 89.28571428571429)","(11.0, 15.0, 13.727272727272727)","(3.5, 4.3, 4.175)","(4.8, 6.0, 5.8)","(91.0, 120.0, 107.14285714285714)","(3.5, 5.1, 4.9051282051282055)","(91.0, 180.0, 187.5)","(21.0, 30.0, 25.5)","(6.0, 11.5, 11.216666666666667)"
10-01-2023 21:34:10.282190,"(6.5, 7.4, 7.181818181818182)","(71.0, 100.0, 92.85714285714286)","(11.0, 15.0, 13.727272727272727)","(3.5, 4.2, 4.175)","(4.8, 6.0, 5.8)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.1, 4.9051282051282055)","(81.0, 220.0, 162.0)","(21.0, 30.0, 25.5)","(6.0, 11.5, 10.727272727272728)"
10-01-2023 21:34:11.569254,"(6.5, 7.4, 6.866666666666666)","(71.0, 100.0, 87.5)","(11.0, 15.0, 13.727272727272727)","(3.5, 4.2, 3.9551020408163264)","(4.8, 6.0, 5.9625)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.1, 4.9051282051282055)","(81.0, 210.0, 162.0)","(21.0, 30.0, 25.5)","(6.0, 11.5, 10.541666666666666)"
10-01-2023 21:34:12.876865,"(6.5, 7.4, 6.866666666666666)","(71.0, 100.0, 87.5)","(11.0, 15.0, 13.727272727272727)","(3.5, 4.2, 4.1692307692307695)","(4.8, 6.0, 5.833333333333333)","(91.0, 120.0, 102.5)","(3.6, 5.1, 4.9051282051282055)","(81.0, 210.0, 156.0)","(21.0, 30.0, 25.5)","(6.0, 11.5, 10.485714285714286)"
10-01-2023 21:34:14.205618,"(6.5, 7.2, 7.066666666666666)","(71.0, 100.0, 87.5)","(11.0, 14.5, 13.653846153846153)","(3.5, 4.2, 4.167307692307692)","(4.8, 6.0, 5.526086956521739)","(91.0, 120.0, 102.0)","(3.6, 5.1, 4.931111111111111)","(81.0, 200.0, 156.0)","(21.0, 30.0, 25.5)","(6.0, 11.0, 10.185714285714285)"
10-01-2023 21:34:15.871979,"(6.5, 7.2, 6.906666666666666)","(71.0, 100.0, 87.5)","(11.0, 14.5, 13.653846153846153)","(3.5, 4.4, 4.233333333333333)","(4.8, 5.8, 5.526086956521739)","(91.0, 120.0, 102.0)","(3.6, 5.1, 4.931111111111111)","(81.0, 200.0, 163.33333333333331)","(21.0, 30.0, 25.5)","(6.0, 10.5, 10.185714285714285)"
10-01-2023 21:34:17.186945,"(6.5, 7.2, 6.906666666666666)","(71.0, 100.0, 87.5)","(11.0, 14.5, 13.653846153846153)","(3.5, 4.4, 4.125)","(4.8, 5.8, 5.575)","(91.0, 120.0, 102.0)","(3.6, 5.1, 4.9051282051282055)","(81.0, 200.0, 147.5)","(19.0, 30.0, 25.5)","(6.0, 10.5, 10.185714285714285)"
10-01-2023 21:34:18.478645,"(6.5, 7.2, 6.906666666666666)","(71.0, 100.0, 87.5)","(11.0, 14.5, 13.653846153846153)","(3.5, 4.4, 4.125)","(4.8, 5.8, 5.671428571428572)","(91.0, 120.0, 102.0)","(3.6, 5.1, 4.9051282051282055)","(81.0, 200.0, 147.5)","(19.0, 30.0, 25.5)","(6.0, 10.5, 10.330769230769231)"
10-01-2023 21:34:19.819659,"(6.5, 7.2, 6.906666666666666)","(71.0, 100.0, 87.5)","(11.0, 14.5, 14.09090909090909)","(3.5, 4.4, 4.125)","(4.8, 5.8, 5.978571428571429)","(91.0, 120.0, 102.0)","(3.6, 5.1, 4.9051282051282055)","(81.0, 200.0, 142.5)","(19.0, 30.0, 28.363636363636363)","(6.0, 10.5, 10.330769230769231)"
10-01-2023 21:34:21.023843,"(6.5, 7.2, 7.036363636363636)","(71.0, 100.0, 87.5)","(11.0, 14.5, 14.09090909090909)","(3.5, 4.4, 4.125)","(4.8, 6.0, 5.980645161290322)","(91.0, 120.0, 105.0)","(3.6, 5.1, 4.9051282051282055)","(81.0, 190.0, 142.5)","(19.0, 30.0, 27.333333333333332)","(6.0, 10.5, 11.8)"
10-01-2023 21:34:22.466735,"(6.5, 7.2, 7.036363636363636)","(71.0, 100.0, 78.57142857142857)","(11.0, 14.0, 13.615384615384615)","(3.5, 4.4, 4.125)","(4.8, 6.0, 6.171428571428572)","(91.0, 120.0, 109.5)","(3.6, 5.1, 4.9051282051282055)","(81.0, 190.0, 137.5)","(19.0, 30.0, 25.23076923076923)","(6.0, 12.0, 11.290909090909091)"
10-01-2023 21:34:23.917703,"(6.5, 7.2, 7.036363636363636)","(71.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.444444444444445)","(3.5, 4.4, 4.125)","(4.8, 6.2, 6.171428571428572)","(91.0, 120.0, 109.5)","(3.6, 5.1, 4.9051282051282055)","(81.0, 180.0, 137.5)","(19.0, 29.0, 25.23076923076923)","(6.0, 12.0, 11.290909090909091)"
10-01-2023 21:34:25.287560,"(6.5, 7.2, 7.036363636363636)","(71.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.444444444444445)","(3.5, 4.4, 4.125)","(4.8, 6.2, 6.075)","(91.0, 120.0, 109.5)","(3.6, 5.1, 4.9051282051282055)","(81.0, 180.0, 137.5)","(19.0, 29.0, 25.23076923076923)","(6.0, 12.0, 11.290909090909091)"
10-01-2023 21:34:26.598740,"(6.5, 7.2, 7.036363636363636)","(71.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.444444444444445)","(3.5, 4.4, 4.125)","(4.8, 6.2, 5.8)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.1, 4.9051282051282055)","(81.0, 180.0, 137.5)","(21.0, 29.0, 25.23076923076923)","(6.0, 12.0, 10.55)"
10-01-2023 21:34:27.918854,"(6.5, 7.2, 7.036363636363636)","(71.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.444444444444445)","(3.5, 4.4, 4.125)","(4.8, 6.0, 5.923076923076923)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.1, 4.656603773584905)","(81.0, 180.0, 137.5)","(21.0, 29.0, 25.81818181818182)","(6.0, 11.5, 10.10909090909091)"
10-01-2023 21:34:29.245999,"(6.5, 7.2, 7.114285714285715)","(71.0, 95.0, 85.0)","(11.0, 14.0, 14.4)","(3.5, 4.4, 4.125)","(4.8, 6.0, 5.885714285714285)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.1, 4.866666666666666)","(81.0, 180.0, 137.5)","(21.0, 29.0, 25.81818181818182)","(6.0, 11.0, 10.3)"
10-01-2023 21:34:30.553432,"(6.5, 7.2, 7.114285714285715)","(61.0, 95.0, 85.0)","(11.0, 15.0, 14.4)","(3.5, 4.4, 4.033333333333333)","(4.8, 6.0, 5.914285714285715)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.0, 4.7846153846153845)","(81.0, 180.0, 142.5)","(21.0, 29.0, 25.81818181818182)","(6.0, 11.0, 10.3)"
10-01-2023 21:34:31.996701,"(6.5, 7.2, 7.114285714285715)","(61.0, 95.0, 85.0)","(11.0, 15.0, 14.4)","(3.5, 4.4, 4.190476190476191)","(4.8, 6.0, 5.914285714285715)","(91.0, 120.0, 107.14285714285714)","(3.6, 5.0, 4.7846153846153845)","(81.0, 190.0, 156.66666666666669)","(21.0, 29.0, 25.5)","(6.0, 11.0, 10.3)"
10-01-2023 21:34:33.364950,"(6.5, 7.2, 7.105263157894737)","(61.0, 95.0, 85.0)","(11.0, 15.0, 13.852941176470589)","(3.5, 4.4, 4.253333333333334)","(4.8, 6.0, 6.04)","(91.0, 120.0, 102.0)","(3.6, 5.0, 4.825)","(81.0, 190.0, 156.66666666666669)","(21.0, 29.0, 25.5)","(6.0, 11.0, 10.338461538461539)"
10-01-2023 21:34:34.612647,"(6.5, 7.2, 7.105263157894737)","(61.0, 95.0, 85.0)","(11.0, 14.5, 13.852941176470589)","(3.5, 4.4, 4.281081081081082)","(4.8, 6.2, 5.875)","(91.0, 120.0, 102.0)","(3.6, 4.9, 4.825)","(81.0, 190.0, 156.66666666666669)","(21.0, 29.0, 25.5)","(6.0, 12.0, 10.447058823529412)"
10-01-2023 21:34:36.352951,"(6.5, 7.2, 7.105263157894737)","(61.0, 95.0, 85.0)","(11.0, 14.5, 13.852941176470589)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.0, 5.909090909090909)","(91.0, 120.0, 102.0)","(3.6, 4.9, 4.825)","(81.0, 190.0, 156.66666666666669)","(21.0, 29.0, 25.5)","(6.0, 12.0, 10.742857142857144)"
10-01-2023 21:34:37.756572,"(6.5, 7.2, 7.105263157894737)","(61.0, 95.0, 83.33333333333333)","(11.0, 14.5, 13.852941176470589)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.0, 5.909090909090909)","(91.0, 120.0, 102.0)","(3.6, 4.9, 4.825)","(81.0, 190.0, 156.66666666666669)","(21.0, 29.0, 25.5)","(6.0, 12.0, 10.984615384615385)"
10-01-2023 21:34:39.203406,"(6.5, 7.2, 7.0606060606060606)","(61.0, 100.0, 83.33333333333333)","(11.0, 14.5, 13.852941176470589)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.0, 5.909090909090909)","(81.0, 120.0, 102.0)","(3.6, 4.9, 4.66)","(81.0, 190.0, 170.0)","(20.0, 29.0, 25.5)","(6.0, 12.0, 11.0)"
10-01-2023 21:34:40.669314,"(6.5, 7.0, 6.846666666666667)","(61.0, 100.0, 79.0)","(11.0, 14.5, 13.666666666666666)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.0, 5.909090909090909)","(81.0, 120.0, 197.77777777777777)","(3.6, 4.8, 4.635294117647058)","(81.0, 190.0, 170.0)","(20.0, 29.0, 25.5)","(6.0, 11.5, 11.26923076923077)"
10-01-2023 21:34:42.128140,"(6.5, 7.0, 6.7615384615384615)","(61.0, 95.0, 77.5)","(11.0, 14.0, 13.666666666666666)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.0, 5.786363636363636)","(81.0, 230.0, 155.0)","(3.7, 4.8, 4.706666666666666)","(81.0, 190.0, 145.3846153846154)","(20.0, 29.0, 25.5)","(6.0, 11.5, 10.833333333333334)"
10-01-2023 21:34:43.405503,"(6.5, 7.0, 6.7615384615384615)","(61.0, 95.0, 77.5)","(11.0, 14.0, 13.666666666666666)","(3.5, 4.4, 4.2926829268292686)","(4.8, 6.2, 5.786363636363636)","(81.0, 220.0, 155.0)","(3.7, 5.0, 4.706666666666666)","(81.0, 180.0, 145.3846153846154)","(20.0, 29.0, 25.5)","(6.0, 11.5, 10.833333333333334)"
10-01-2023 21:34:44.821435,"(6.5, 7.0, 6.63076923076923)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.666666666666666)","(3.5, 4.4, 4.297674418604651)","(4.8, 6.4, 6.1000000000000005)","(71.0, 200.0, 140.0)","(3.9, 5.0, 4.745454545454545)","(81.0, 180.0, 130.0)","(20.0, 29.0, 25.5)","(6.0, 11.5, 11.357142857142858)"
10-01-2023 21:34:46.171846,"(6.5, 7.0, 6.63076923076923)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.333333333333334)","(3.5, 4.4, 4.295238095238095)","(4.8, 6.4, 6.171428571428572)","(71.0, 190.0, 113.88888888888889)","(3.9, 5.0, 4.688888888888888)","(81.0, 180.0, 134.54545454545456)","(20.0, 29.0, 25.5)","(6.0, 11.5, 11.357142857142858)"
10-01-2023 21:34:47.513445,"(6.5, 7.0, 6.592452830188679)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.428571428571429)","(3.5, 4.4, 4.300000000000001)","(4.8, 6.2, 6.7)","(71.0, 180.0, 113.88888888888889)","(3.9, 5.0, 4.688888888888888)","(81.0, 180.0, 134.54545454545456)","(20.0, 29.0, 25.5)","(6.0, 12.0, 11.1)"
10-01-2023 21:34:49.008870,"(6.0, 6.8, 6.466666666666667)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.571428571428571)","(3.5, 4.4, 4.300000000000001)","(4.8, 7.4, 6.32)","(71.0, 180.0, 113.88888888888889)","(3.9, 5.0, 4.688888888888888)","(81.0, 180.0, 134.54545454545456)","(20.0, 29.0, 31.0)","(6.0, 12.0, 11.1)"
10-01-2023 21:34:50.545659,"(6.0, 6.8, 6.447058823529412)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.571428571428571)","(3.5, 4.4, 4.277777777777778)","(4.8, 7.4, 6.371428571428572)","(71.0, 180.0, 113.88888888888889)","(3.9, 5.0, 4.628571428571428)","(81.0, 180.0, 134.54545454545456)","(20.0, 36.0, 26.666666666666668)","(6.0, 12.0, 10.941176470588236)"
10-01-2023 21:34:52.241032,"(6.0, 6.8, 6.447058823529412)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.571428571428571)","(3.5, 4.4, 4.242857142857143)","(4.8, 7.4, 7.04)","(71.0, 180.0, 113.88888888888889)","(3.9, 4.8, 4.584615384615384)","(81.0, 180.0, 134.54545454545456)","(20.0, 34.0, 28.5)","(6.0, 12.0, 10.941176470588236)"
10-01-2023 21:34:53.616331,"(6.0, 6.8, 6.447058823529412)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 13.571428571428571)","(3.5, 4.4, 4.242857142857143)","(4.8, 7.4, 7.04)","(71.0, 180.0, 147.85714285714286)","(3.9, 4.8, 4.584615384615384)","(81.0, 180.0, 134.54545454545456)","(20.0, 32.0, 28.454545454545453)","(6.0, 12.0, 10.941176470588236)"
10-01-2023 21:34:55.062110,"(6.0, 6.8, 6.447058823529412)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 12.884615384615385)","(3.5, 4.4, 4.318518518518519)","(4.8, 7.4, 7.08421052631579)","(71.0, 180.0, 147.85714285714286)","(3.9, 4.8, 4.584615384615384)","(71.0, 180.0, 147.5)","(20.0, 29.0, 28.454545454545453)","(6.0, 12.0, 10.941176470588236)"
10-01-2023 21:34:56.439864,"(6.0, 6.2, 6.028965517241379)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 12.884615384615385)","(3.5, 4.4, 4.318518518518519)","(4.8, 7.4, 7.1692307692307695)","(71.0, 180.0, 142.5)","(3.9, 4.8, 4.604651162790698)","(71.0, 170.0, 140.0)","(20.0, 29.0, 28.0)","(6.0, 12.0, 11.1)"
10-01-2023 21:34:57.793172,"(6.0, 6.2, 6.025964912280702)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 13.055555555555555)","(3.5, 4.4, 4.3500000000000005)","(4.8, 7.4, 6.955555555555556)","(71.0, 180.0, 142.5)","(3.9, 4.8, 4.104)","(71.0, 160.0, 123.63636363636363)","(20.0, 29.0, 28.166666666666668)","(6.0, 12.0, 11.325)"
10-01-2023 21:34:59.048807,"(6.0, 6.2, 6.025964912280702)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 13.055555555555555)","(3.5, 4.4, 4.3500000000000005)","(4.8, 7.4, 6.733333333333333)","(71.0, 180.0, 107.14285714285714)","(3.9, 4.2, 4.104)","(71.0, 160.0, 106.42857142857143)","(20.0, 29.0, 28.2)","(6.0, 12.0, 11.357142857142858)"
10-01-2023 21:35:00.363860,"(6.0, 6.2, 6.037948717948718)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 12.666666666666666)","(3.5, 4.4, 4.314285714285714)","(4.8, 7.4, 7.1692307692307695)","(71.0, 180.0, 107.14285714285714)","(3.9, 4.2, 4.108860759493671)","(71.0, 160.0, 106.42857142857143)","(20.0, 29.0, 28.782608695652172)","(6.0, 12.0, 10.101449275362318)"
10-01-2023 21:35:01.682516,"(6.0, 6.2, 5.850828729281768)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.0, 12.87012987012987)","(3.5, 4.5, 4.314285714285714)","(4.8, 7.4, 6.9)","(71.0, 180.0, 160.0)","(3.9, 4.2, 4.108641975308641)","(71.0, 160.0, 106.42857142857143)","(20.0, 34.0, 28.782608695652172)","(6.0, 10.5, 10.063492063492063)"
10-01-2023 21:35:03.050461,"(6.0, 6.2, 5.805)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 12.6875)","(3.5, 4.5, 4.490909090909091)","(4.8, 7.4, 6.9)","(71.0, 170.0, 160.0)","(3.9, 4.2, 4.1139534883720925)","(71.0, 160.0, 117.5)","(20.0, 34.0, 28.782608695652172)","(6.0, 10.5, 10.109756097560975)"
10-01-2023 21:35:04.483311,"(6.0, 6.2, 5.715337423312883)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 12.6875)","(3.5, 4.5, 4.488888888888889)","(4.8, 7.4, 6.9)","(71.0, 170.0, 136.66666666666669)","(3.8, 4.2, 4.108641975308641)","(71.0, 150.0, 103.57142857142857)","(20.0, 34.0, 29.0)","(6.0, 10.5, 10.261194029850746)"
10-01-2023 21:35:05.848744,"(6.0, 6.2, 5.715337423312883)","(61.0, 95.0, 77.85714285714286)","(11.0, 14.0, 12.6875)","(3.5, 4.5, 5.242857142857143)","(4.8, 7.4, 6.9)","(71.0, 170.0, 127.6923076923077)","(3.8, 4.2, 4.105128205128205)","(71.0, 150.0, 100.71428571428571)","(20.0, 34.0, 29.333333333333332)","(6.0, 10.5, 10.261194029850746)"
10-01-2023 21:35:07.166860,"(6.0, 6.2, 5.715337423312883)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 13.166666666666666)","(3.5, 5.4, 4.915384615384616)","(4.8, 7.4, 6.9)","(71.0, 160.0, 128.88888888888889)","(3.8, 4.2, 4.105128205128205)","(71.0, 140.0, 100.71428571428571)","(20.0, 32.0, 28.5)","(6.0, 10.5, 10.261194029850746)"
10-01-2023 21:35:08.411225,"(6.0, 6.2, 5.715337423312883)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 12.863636363636363)","(3.5, 5.4, 5.16)","(4.8, 7.4, 6.9)","(71.0, 140.0, 125.0)","(3.8, 4.2, 4.105128205128205)","(71.0, 140.0, 115.0)","(20.0, 29.0, 28.5)","(6.0, 10.5, 10.227272727272727)"
10-01-2023 21:35:09.691707,"(6.0, 6.2, 5.7181159420289855)","(61.0, 95.0, 77.85714285714286)","(11.0, 13.5, 12.863636363636363)","(3.5, 5.2, 5.16)","(5.0, 7.4, 6.9)","(71.0, 130.0, 125.0)","(3.8, 4.2, 4.105128205128205)","(71.0, 130.0, 115.0)","(21.0, 29.0, 27.5)","(6.0, 10.5, 10.21875)"
10-01-2023 21:35:10.913354,"(6.0, 6.0, 5.753571428571429)","(61.0, 95.0, 77.85714285714286)","(11.0, 26.0, 19.61111111111111)","(3.5, 5.2, 4.81)","(5.0, 7.4, 6.9)","(71.0, 130.0, 125.0)","(3.8, 4.2, 4.105128205128205)","(71.0, 130.0, 115.0)","(21.0, 29.0, 27.5)","(6.0, 10.5, 10.21875)"
10-01-2023 21:35:12.210518,"(6.0, 6.0, 5.753571428571429)","(61.0, 95.0, 77.85714285714286)","(11.0, 24.0, 17.4)","(3.6, 5.2, 4.965217391304348)","(5.0, 7.4, 6.9)","(71.0, 130.0, 125.0)","(3.6, 4.2, 4.1048780487804875)","(71.0, 130.0, 115.0)","(21.0, 29.0, 27.5)","(6.5, 10.5, 10.21875)"
10-01-2023 21:35:13.541280,"(5.5, 6.0, 5.753571428571429)","(51.0, 95.0, 77.85714285714286)","(11.0, 24.0, 18.0)","(3.6, 5.2, 5.061538461538461)","(5.0, 7.4, 6.9)","(81.0, 130.0, 128.4375)","(3.6, 4.2, 4.1048780487804875)","(71.0, 130.0, 117.5)","(21.0, 29.0, 26.666666666666668)","(6.5, 10.5, 10.21875)"
10-01-2023 21:35:14.927539,"(5.5, 6.0, 5.753571428571429)","(51.0, 95.0, 77.85714285714286)","(11.0, 21.0, 17.666666666666668)","(3.6, 5.2, 5.0)","(5.0, 7.4, 6.9)","(81.0, 130.0, 117.14285714285714)","(3.6, 4.2, 4.105128205128205)","(71.0, 130.0, 114.28571428571428)","(21.0, 28.0, 26.5)","(6.5, 10.5, 10.21875)"
10-01-2023 21:35:16.237801,"(5.5, 6.0, 5.753571428571429)","(51.0, 95.0, 77.85714285714286)","(11.0, 21.0, 18.6)","(3.6, 5.2, 5.0)","(5.0, 7.4, 6.9)","(81.0, 130.0, 110.0)","(3.6, 4.2, 4.105128205128205)","(71.0, 120.0, 106.66666666666667)","(21.0, 27.0, 26.5)","(6.5, 10.5, 10.21875)"
