,American Russ,Ebony King,Hanibal Hero,Mahjing,Dirty Grin,Gringotts,Shakattak,Tapin Three,Terrestar
11-01-2023 15:36:53.110663,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.96, 2.9506122448979593)","(8.5, 9.8, 9.500523560209425)"
11-01-2023 15:36:54.295955,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.96, 2.9506122448979593)","(8.5, 9.8, 9.500523560209425)"
11-01-2023 15:36:55.511089,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.96, 2.9506122448979593)","(8.5, 9.8, 9.482051282051282)"
11-01-2023 15:36:56.721732,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.837960954446855)","(4.6, 5.9, 5.75)","(2.45, 2.96, 2.9506122448979593)","(8.5, 9.8, 9.482051282051282)"
11-01-2023 15:36:57.912812,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.82912019826518)","(4.6, 5.9, 5.75)","(2.45, 2.96, 2.9519540229885055)","(8.5, 9.8, 9.336986301369864)"
11-01-2023 15:36:59.105148,"(71.0, 130.0, 123.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.82912019826518)","(4.6, 5.9, 5.748351648351648)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:00.300961,"(71.0, 200.0, 120.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.82912019826518)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:01.588016,"(71.0, 200.0, 120.0)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.026315789473685)","(4.4, 4.9, 4.82912019826518)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:02.868571,"(71.0, 200.0, 128.88888888888889)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.125)","(4.4, 4.9, 4.826193548387097)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
11-01-2023 15:37:04.128009,"(71.0, 190.0, 143.33333333333334)","(15.0, 19.5, 19.0)","(21.0, 34.0, 32.93333333333333)","(101.0, 220.0, 173.33333333333334)","(9.0, 13.5, 13.125)","(4.4, 4.9, 4.826193548387097)","(4.6, 5.9, 5.75)","(2.45, 2.98, 2.9519540229885055)","(8.5, 9.4, 9.329230769230769)"
