,Magic Avenue,Slingshot Yo Yo,Optimus Bruce,Fleeting Fury,Urana Blazer,Club Man,Sister One,Shining Silver
08-01-2023 16:26:22.195004,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:23.415798,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:24.502919,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:25.565232,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:26.727712,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:27.891776,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:28.964025,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:30.074884,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:31.262355,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:32.351996,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:33.471545,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:34.599583,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:35.739295,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:36.768256,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:37.913601,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:39.266262,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:40.508392,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:41.764558,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:43.044607,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:44.216091,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:45.509067,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:46.726149,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:47.824943,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:49.043363,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:50.270892,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:51.448253,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:52.612371,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:53.765606,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:55.038866,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:56.209161,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:57.360046,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:58.535397,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:26:59.790109,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:27:01.082900,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:27:02.156250,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 3.7416666666666663)"
08-01-2023 16:27:03.361520,"(3.1, 6.0, 4.3375)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 2.725)"
08-01-2023 16:27:04.625907,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 2.725)"
08-01-2023 16:27:05.873165,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 47.77777777777778)","(11.0, 29.0, 23.558823529411764)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 9.5)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.0, 8.914285714285715)","(2.7, 4.6, 2.725)"
08-01-2023 16:27:07.085050,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 42.33333333333333)","(11.0, 29.0, 22.03846153846154)","(8.0, 16.0, 13.327272727272728)","(8.0, 18.5, 10.0)","(8.0, 16.0, 12.850000000000001)","(8.0, 18.0, 9.6)","(2.7, 4.6, 2.678571428571429)"
08-01-2023 16:27:08.149753,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 42.33333333333333)","(11.0, 23.0, 22.03846153846154)","(8.0, 16.0, 13.327272727272728)","(8.0, 14.0, 10.0)","(8.0, 16.0, 12.850000000000001)","(8.0, 14.0, 9.6)","(2.7, 3.7, 2.678571428571429)"
08-01-2023 16:27:09.334386,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 42.33333333333333)","(11.0, 23.0, 22.03846153846154)","(8.0, 16.0, 8.825)","(8.0, 14.0, 10.0)","(8.0, 16.0, 8.62)","(8.0, 14.0, 9.6)","(2.7, 3.7, 2.678571428571429)"
08-01-2023 16:27:10.557397,"(3.1, 6.0, 3.3272727272727276)","(31.0, 75.0, 42.33333333333333)","(11.0, 23.0, 22.03846153846154)","(8.0, 16.0, 8.825)","(8.0, 14.0, 10.0)","(8.0, 16.0, 8.62)","(8.0, 14.0, 9.6)","(2.7, 3.7, 2.678571428571429)"
