,Sudoku Cobra,Pot Luck Chuck,Sunnyside Jo,Lektra Teddy,Lektra Rhino,Wedding Or Baby,Aston Tango
14-12-2022 12:27:04.403345,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:05.576040,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:06.736434,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:07.898796,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:09.179560,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:10.504658,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:11.766397,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.367272727272727)"
14-12-2022 12:27:12.950043,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:14.196159,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:15.346035,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:16.521241,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:17.744311,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:18.921001,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:20.219721,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:21.450942,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:22.704121,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:23.848044,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3)","(5.5, 11.0, 7.5)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:25.080939,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.966666666666667)","(5.5, 11.0, 7.944444444444445)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:26.324906,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.966666666666667)","(5.5, 11.0, 7.944444444444445)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:27.504117,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.966666666666667)","(5.5, 11.0, 7.944444444444445)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:28.823516,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:30.125940,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:31.604333,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 31.545454545454547)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:33.203917,"(3.7, 7.0, 4.328571428571429)","(21.0, 65.0, 50.833333333333336)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:34.426986,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 50.833333333333336)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:35.722335,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 50.833333333333336)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:37.034368,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:38.169262,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 27.727272727272727)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:39.428315,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 11.0, 7.142857142857142)","(8.0, 15.0, 14.222222222222221)","(18.0, 55.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:40.752814,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:41.968809,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:43.287220,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.3999999999999995)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:44.500514,"(3.7, 7.0, 4.328571428571429)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.199999999999999)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:45.577399,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.199999999999999)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 30.454545454545453)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:46.838241,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.199999999999999)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:48.009312,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.966666666666667)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:49.035145,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 7.966666666666667)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:50.235946,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:51.351424,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:52.391146,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:53.523580,"(3.7, 7.6, 5.26)","(21.0, 55.0, 36.25)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:54.567998,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:55.569812,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:56.693146,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:57.854071,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:58.841604,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:27:59.909401,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:28:00.965330,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:28:01.959444,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:28:03.043762,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:28:04.009255,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
14-12-2022 12:28:05.035638,"(3.7, 7.6, 5.26)","(21.0, 50.0, 43.5)","(5.5, 9.2, 8.0)","(5.5, 13.0, 7.7142857142857135)","(7.5, 15.0, 14.222222222222221)","(18.0, 65.0, 35.3125)","(2.2, 2.8, 2.2495238095238097)"
