,Me And Pop,Rolling Cole,Sweet Chana,Emma Dutton,Fabizio,Sudden Impulse,Integrity Son,Blueberry Danish
12-01-2023 09:37:45.539387,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:46.714961,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.86363636363637)"
12-01-2023 09:37:47.911858,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:49.020358,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:50.089216,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:51.228851,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:52.458519,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:53.552968,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:54.732943,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:55.745218,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:56.742264,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:57.788612,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:37:58.969701,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:00.082353,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:01.330366,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:02.457521,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:03.587697,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:04.747666,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:05.956449,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:07.150911,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:08.361003,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:09.591270,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:10.758577,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:11.910748,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:13.052324,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:14.262523,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:15.514837,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:16.731571,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:17.978860,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:19.203765,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:20.396171,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:21.550682,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:22.720274,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:23.824307,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:25.011825,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:26.182809,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:27.449959,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:28.732661,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:29.969585,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:31.206117,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:32.488963,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:33.651932,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:34.897365,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:36.089728,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:37.334173,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:38.564591,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 54.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:39.843333,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:41.081307,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:42.368423,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:43.569983,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:44.795121,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:46.067413,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:47.320251,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:48.587001,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:49.809460,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:51.027547,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:52.249766,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:53.478477,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:54.643334,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:55.869621,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:57.083408,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:58.319401,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:38:59.588711,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:00.807106,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:01.884448,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:03.010255,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:04.163355,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:05.356447,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 43.18181818181818)"
12-01-2023 09:39:06.412729,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.6, 5.292307692307692)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 65.0, 40.45454545454545)"
12-01-2023 09:39:07.494990,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.229166666666668)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.4, 5.2153846153846155)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 60.0, 40.45454545454545)"
12-01-2023 09:39:08.752302,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.19148936170213)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.4, 5.2153846153846155)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 60.0, 40.45454545454545)"
12-01-2023 09:39:09.873266,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.19148936170213)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.4, 5.2153846153846155)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 60.0, 40.45454545454545)"
12-01-2023 09:39:10.997226,"(3.5, 6.4, 4.626666666666667)","(13.0, 29.0, 27.19148936170213)","(41.0, 230.0, 171.25)","(1.9, 2.3, 2.278181818181818)","(3.7, 7.4, 5.2153846153846155)","(21.0, 85.0, 53.5)","(19.0, 70.0, 44.75)","(18.0, 60.0, 40.45454545454545)"
