,Spirit Of Bart,Wallys Boy,Magic Madness,Big Wednesday,Mia Grace,Princess Bride,Wildash Venus,Emerald Ability
08-01-2023 16:36:06.367674,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:07.472344,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:08.655385,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:09.842876,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:10.952072,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:12.041253,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:13.229440,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:14.331162,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:15.421955,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:16.578665,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:17.716309,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:18.941435,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:20.083838,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:21.180211,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:22.293409,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.214285714285715)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:23.429915,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.0)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:24.579425,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.0)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:25.788618,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.0)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:26.958183,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:28.217133,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:29.644978,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:30.714594,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:32.079637,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:33.219664,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:34.296438,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:35.464800,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:36.654655,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:37.786051,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:38.858336,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:40.002140,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:41.194698,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:42.304942,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:43.452062,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:44.551304,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:45.670150,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:46.809924,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:47.934152,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 590.0, 501.66666666666663)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:49.047002,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:50.057861,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:51.163173,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:52.300644,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:53.406964,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:54.475495,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 320.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:55.657827,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 580.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 17.607692307692307)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:56.775966,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 15.466666666666667)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:57.842487,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 15.466666666666667)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:58.861455,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 15.466666666666667)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:36:59.956425,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:00.987575,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:02.050440,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:03.144013,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:04.199269,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:05.206292,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:06.286103,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:07.351145,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:08.386039,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:09.428368,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:10.515659,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:11.584512,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:12.603852,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:13.680286,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:14.808957,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 340.0)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:15.853921,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 620.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:16.897253,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:17.962700,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:19.087087,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:20.201751,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:21.336347,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:22.418708,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:23.509472,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:24.623362,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:25.664048,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:26.787275,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
08-01-2023 16:37:27.954273,"(2.9, 4.8, 4.690625)","(3.9, 6.6, 4.021428571428571)","(101.0, 610.0, 518.3333333333334)","(3.5, 5.3, 3.462068965517241)","(101.0, 720.0, 390.0)","(4.8, 19.5, 16.525)","(9.0, 18.0, 13.3)","(9.0, 17.0, 14.133333333333333)"
