,Anemos,Chihuly,Gronkowski,Lallegro,Rebillyous,Tolpuddle,Box Of Crackers,Lily Luella,Might Just Happen,Penelope Jane,Temple Of Gold,Penny Bazaar,Livstar
16-12-2022 12:34:26.431119,"(101.0, 210.0, 205.78947368421052)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 52.5)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 13.4375)","(2.0, 2.24, 2.2222222222222223)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.823529411764707)","(9.0, 10.5, 9.807954545454546)","(21.0, 25.0, 30.666666666666668)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:27.783682,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 52.5)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 13.4375)","(2.0, 2.24, 2.1634782608695655)","(6.0, 8.6, 8.371428571428572)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.823529411764707)","(9.0, 10.5, 9.807954545454546)","(21.0, 32.0, 26.90909090909091)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:29.146403,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 52.5)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 13.4375)","(2.0, 2.18, 2.1634782608695655)","(6.0, 8.6, 8.371428571428572)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.807954545454546)","(21.0, 32.0, 28.266666666666666)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:30.535266,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 52.5)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 13.4375)","(2.0, 2.18, 2.1634782608695655)","(6.0, 8.6, 8.371428571428572)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.809722222222224)","(21.0, 32.0, 28.266666666666666)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:31.888470,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 54.285714285714285)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.5, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.809722222222224)","(21.0, 32.0, 27.916666666666668)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:33.247887,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 54.285714285714285)","(71.0, 170.0, 156.66666666666669)","(7.0, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(12.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.809722222222224)","(21.0, 30.0, 27.22222222222222)","(61.0, 120.0, 113.0)","(101.0, 210.0, 168.0)"
16-12-2022 12:34:34.561849,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 54.285714285714285)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.809722222222224)","(21.0, 30.0, 27.22222222222222)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:35.912696,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 54.285714285714285)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.809722222222224)","(21.0, 30.0, 27.22222222222222)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:37.199425,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 75.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.732954545454545)","(21.0, 30.0, 27.22222222222222)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:38.508462,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.857142857142858)","(9.0, 10.5, 9.732954545454545)","(21.0, 30.0, 27.22222222222222)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:39.869392,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.931034482758621)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(51.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.6875)","(9.0, 10.5, 9.835443037974684)","(21.0, 30.0, 26.53846153846154)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:41.295255,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.931034482758621)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.6875)","(8.5, 10.5, 9.835443037974684)","(21.0, 30.0, 28.57894736842105)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:42.689819,"(101.0, 210.0, 206.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.931034482758621)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.6875)","(8.5, 10.5, 9.835443037974684)","(21.0, 30.0, 28.67741935483871)","(51.0, 120.0, 113.0)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:44.064097,"(101.0, 210.0, 200.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.931034482758621)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.795454545454547)","(8.5, 10.5, 9.835443037974684)","(21.0, 29.0, 28.324324324324323)","(51.0, 120.0, 110.45454545454545)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:45.505278,"(101.0, 220.0, 200.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 156.66666666666669)","(7.5, 13.0, 12.931034482758621)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.433333333333334)","(41.0, 70.0, 61.724137931034484)","(11.0, 20.0, 19.795454545454547)","(8.5, 10.5, 9.835443037974684)","(21.0, 29.0, 28.324324324324323)","(51.0, 120.0, 110.45454545454545)","(91.0, 210.0, 168.0)"
16-12-2022 12:34:46.896007,"(101.0, 220.0, 200.0)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 130.0)","(7.5, 13.0, 12.92)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.457142857142857)","(41.0, 70.0, 56.666666666666664)","(11.0, 20.0, 19.795454545454547)","(8.5, 10.5, 10.16923076923077)","(21.0, 29.0, 28.324324324324323)","(51.0, 120.0, 93.75)","(91.0, 210.0, 150.0)"
16-12-2022 12:34:48.235578,"(101.0, 220.0, 197.77777777777777)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 130.0)","(7.5, 13.0, 12.4)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.45)","(41.0, 70.0, 56.666666666666664)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 26.5)","(51.0, 120.0, 93.75)","(91.0, 210.0, 135.0)"
16-12-2022 12:34:49.583018,"(101.0, 220.0, 197.77777777777777)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 62.0)","(61.0, 170.0, 130.0)","(7.5, 13.0, 12.1)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.399999999999999)","(41.0, 70.0, 52.4)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 26.5)","(51.0, 120.0, 104.5)","(91.0, 210.0, 155.45454545454547)"
16-12-2022 12:34:50.924074,"(101.0, 220.0, 173.84615384615384)","(10.0, 11.5, 11.119047619047619)","(31.0, 70.0, 58.0)","(61.0, 170.0, 136.66666666666669)","(7.5, 13.0, 12.1)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.399999999999999)","(41.0, 70.0, 54.0)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 26.5)","(51.0, 110.0, 85.0)","(91.0, 210.0, 155.45454545454547)"
16-12-2022 12:34:52.592080,"(101.0, 220.0, 155.3846153846154)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 170.0, 136.66666666666669)","(7.5, 13.0, 12.1)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.399999999999999)","(41.0, 65.0, 61.6)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 27.333333333333332)","(51.0, 100.0, 73.33333333333333)","(91.0, 200.0, 174.28571428571428)"
16-12-2022 12:34:53.965953,"(101.0, 220.0, 155.3846153846154)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 170.0, 136.66666666666669)","(7.5, 13.0, 12.357142857142858)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.399999999999999)","(41.0, 65.0, 61.6)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 27.333333333333332)","(51.0, 100.0, 73.33333333333333)","(91.0, 200.0, 167.14285714285714)"
16-12-2022 12:34:55.350597,"(101.0, 220.0, 155.3846153846154)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 170.0, 136.66666666666669)","(7.5, 13.0, 12.357142857142858)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.399999999999999)","(41.0, 65.0, 61.6)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.08235294117647)","(21.0, 29.0, 27.333333333333332)","(51.0, 100.0, 73.33333333333333)","(91.0, 190.0, 146.36363636363637)"
16-12-2022 12:34:56.780808,"(101.0, 220.0, 156.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 170.0, 136.66666666666669)","(7.5, 13.0, 11.875)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.475)","(41.0, 65.0, 57.5)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.133333333333333)","(21.0, 29.0, 27.0)","(51.0, 100.0, 73.33333333333333)","(91.0, 190.0, 146.36363636363637)"
16-12-2022 12:34:58.105327,"(101.0, 220.0, 156.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 170.0, 122.5)","(7.5, 12.5, 12.166666666666666)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.475)","(41.0, 65.0, 57.5)","(11.0, 20.0, 19.795454545454547)","(8.5, 11.0, 10.1875)","(21.0, 28.0, 27.0)","(51.0, 100.0, 73.33333333333333)","(91.0, 190.0, 135.0)"
16-12-2022 12:34:59.671324,"(101.0, 220.0, 156.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 58.0)","(61.0, 160.0, 117.5)","(7.5, 12.5, 11.714285714285714)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.475)","(41.0, 65.0, 57.5)","(11.0, 20.0, 19.735294117647058)","(8.5, 11.0, 10.1875)","(21.0, 28.0, 27.764705882352942)","(51.0, 100.0, 73.33333333333333)","(91.0, 190.0, 135.0)"
16-12-2022 12:35:01.088502,"(101.0, 220.0, 182.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 52.0)","(61.0, 160.0, 122.72727272727272)","(7.5, 12.5, 11.714285714285714)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.475)","(41.0, 65.0, 61.59090909090909)","(11.0, 20.0, 19.735294117647058)","(8.5, 11.0, 10.380952380952381)","(21.0, 28.0, 27.45945945945946)","(51.0, 100.0, 73.33333333333333)","(91.0, 190.0, 160.0)"
16-12-2022 12:35:02.479288,"(101.0, 210.0, 182.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 49.42857142857143)","(61.0, 150.0, 110.0)","(7.5, 12.5, 11.714285714285714)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.475)","(41.0, 65.0, 61.25)","(11.0, 20.0, 19.735294117647058)","(8.5, 11.0, 10.380952380952381)","(21.0, 28.0, 27.51219512195122)","(51.0, 100.0, 80.0)","(91.0, 180.0, 140.0)"
16-12-2022 12:35:03.820141,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 70.0, 48.714285714285715)","(61.0, 150.0, 122.0)","(7.5, 12.5, 11.714285714285714)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.52)","(41.0, 65.0, 60.833333333333336)","(11.0, 20.0, 19.735294117647058)","(8.5, 11.0, 11.125)","(21.0, 28.0, 27.51219512195122)","(51.0, 100.0, 84.0)","(91.0, 180.0, 136.66666666666666)"
16-12-2022 12:35:05.166284,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(31.0, 65.0, 48.333333333333336)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.496296296296295)","(41.0, 65.0, 58.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.346153846153847)","(21.0, 28.0, 27.51219512195122)","(51.0, 100.0, 81.0)","(91.0, 170.0, 130.0)"
16-12-2022 12:35:06.426284,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(26.0, 60.0, 48.333333333333336)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 58.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.38888888888889)","(21.0, 28.0, 27.51219512195122)","(51.0, 95.0, 81.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:07.817374,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(26.0, 55.0, 49.0)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 58.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.38888888888889)","(21.0, 28.0, 27.51219512195122)","(51.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:09.181577,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(26.0, 55.0, 51.25)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 58.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.7)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:10.520965,"(101.0, 210.0, 170.0)","(10.0, 11.5, 10.928571428571429)","(26.0, 55.0, 51.25)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 60.90909090909091)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.7)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:11.829125,"(101.0, 220.0, 164.0)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 48.18181818181818)","(61.0, 150.0, 126.66666666666666)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 56.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.7)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:13.091083,"(101.0, 220.0, 164.0)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 150.0, 106.66666666666667)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 56.0)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.7)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:14.367844,"(101.0, 220.0, 194.54545454545456)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 150.0, 106.66666666666667)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 57.5)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.583333333333334)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 75.0)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:15.915016,"(101.0, 220.0, 190.83333333333331)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 150.0, 117.5)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.164)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 57.5)","(11.0, 20.0, 19.41304347826087)","(8.5, 11.5, 10.777777777777779)","(21.0, 28.0, 27.51219512195122)","(61.0, 95.0, 82.5)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:17.286858,"(101.0, 220.0, 190.83333333333331)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 150.0, 130.83333333333331)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.154666666666667)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 57.5)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 10.880952380952381)","(21.0, 28.0, 26.333333333333332)","(61.0, 90.0, 71.25)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:18.682021,"(101.0, 220.0, 190.83333333333331)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 140.0, 130.83333333333331)","(7.5, 12.5, 11.65)","(2.0, 2.18, 2.154666666666667)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 56.0)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 11.018518518518519)","(21.0, 28.0, 26.823529411764707)","(61.0, 90.0, 71.25)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:20.256610,"(101.0, 220.0, 193.0769230769231)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 140.0, 117.14285714285714)","(7.5, 12.5, 11.666666666666666)","(2.0, 2.18, 2.154666666666667)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 56.42857142857143)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 11.166666666666666)","(21.0, 28.0, 26.57142857142857)","(61.0, 90.0, 71.25)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:21.807755,"(101.0, 220.0, 193.0769230769231)","(10.0, 11.5, 10.676470588235293)","(26.0, 55.0, 46.42857142857143)","(61.0, 130.0, 117.14285714285714)","(7.5, 12.5, 11.666666666666666)","(2.0, 2.18, 2.1529411764705886)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 57.5)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 11.166666666666666)","(21.0, 27.0, 26.57142857142857)","(61.0, 90.0, 71.25)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:23.268094,"(101.0, 220.0, 193.0769230769231)","(10.0, 11.5, 10.7)","(26.0, 55.0, 44.285714285714285)","(61.0, 130.0, 117.14285714285714)","(7.5, 12.5, 11.666666666666666)","(2.0, 2.18, 2.1529411764705886)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 56.81818181818182)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 11.166666666666666)","(21.0, 27.0, 26.57142857142857)","(61.0, 90.0, 71.25)","(91.0, 150.0, 130.0)"
16-12-2022 12:35:24.874518,"(101.0, 220.0, 193.0769230769231)","(10.0, 11.5, 10.7)","(26.0, 55.0, 44.0)","(61.0, 130.0, 117.14285714285714)","(7.5, 12.5, 11.666666666666666)","(2.0, 2.18, 2.1557894736842105)","(6.0, 8.6, 8.515151515151516)","(41.0, 65.0, 52.25)","(11.0, 20.0, 18.78767123287671)","(8.5, 11.5, 11.166666666666666)","(21.0, 27.0, 25.6)","(61.0, 90.0, 79.28571428571429)","(91.0, 150.0, 125.0)"
