,Ammoudi Bay,Cinnamon Missile,Fratellino,Leadership Spill,Wit,Such A Whit,Sogni
06-01-2023 15:48:33.321525,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:34.457717,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:35.616556,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:37.048849,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:38.187336,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:40.121782,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:48:41.303381,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:42.528427,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:43.851323,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:44.846232,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:46.208425,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:47.539981,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:48.692792,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:49.629542,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:50.936212,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:52.073367,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:53.190962,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:54.197558,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:55.177121,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:56.241315,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:57.342125,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.923076923076923)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:58.532979,"(4.4, 6.8, 6.16)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.345454545454546)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:48:59.557590,"(4.4, 6.8, 6.48)","(18.0, 42.0, 30.5)","(7.5, 12.0, 11.345454545454546)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:00.752554,"(4.4, 6.8, 6.48)","(18.0, 42.0, 30.5)","(7.5, 12.0, 11.345454545454546)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:01.970999,"(4.4, 6.8, 6.48)","(18.0, 42.0, 30.5)","(7.5, 12.0, 11.345454545454546)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:03.334866,"(4.4, 6.8, 6.48)","(18.0, 42.0, 30.5)","(7.5, 12.0, 11.345454545454546)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:04.603736,"(4.4, 6.8, 6.48)","(18.0, 42.0, 30.5)","(7.5, 12.0, 13.955555555555556)","(1.6, 1.78, 1.748888888888889)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:06.456063,"(4.4, 6.8, 6.466666666666667)","(18.0, 42.0, 30.5)","(7.5, 14.5, 13.955555555555556)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 44.4)","(81.0, 190.0, 137.5)"
06-01-2023 15:49:07.928250,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 14.5, 12.3)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:49:09.245663,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 15.0, 12.3)","(1.6, 1.78, 1.752)","(6.0, 9.0, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:49:10.620066,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:49:11.838145,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:49:12.874148,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 173.33333333333334)"
06-01-2023 15:49:13.966866,"(4.4, 6.8, 6.425)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:15.075254,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:16.263050,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 8.2)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:17.611920,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.6, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:18.857189,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:20.055635,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:21.302174,"(4.4, 6.6, 5.85)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:22.630972,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:23.906803,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 7.909090909090909)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:25.193625,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 9.0, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:26.327558,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:27.518436,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:28.744395,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:29.965761,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:31.145796,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:32.274630,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:33.376846,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:34.490072,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:35.653207,"(4.4, 6.4, 5.9)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:36.897779,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:37.919663,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:39.028290,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:40.233462,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:41.439695,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:42.552531,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:43.735998,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:44.754286,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:45.809512,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:47.072164,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:48.404381,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:49.702978,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:50.678512,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:51.718118,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:52.911769,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:54.109148,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
06-01-2023 15:49:55.318352,"(4.4, 6.4, 5.630769230769231)","(18.0, 42.0, 30.5)","(7.5, 15.0, 11.4)","(1.6, 1.78, 1.752)","(6.0, 8.8, 8.133333333333333)","(26.0, 50.0, 42.36363636363636)","(81.0, 190.0, 171.66666666666666)"
