,Captain Kenny,Gojira,Governor,Governor Phillip,One Lucky Kid,Registry,Square Cut,No Rain No Flowers,Royal Lane,Fridays Songs
10-01-2023 12:39:59.589652,"(6.0, 10.0, 9.49090909090909)","(8.0, 11.5, 10.963636363636365)","(2.7, 3.2, 3.131944444444444)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.953846153846154)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:01.106390,"(6.0, 10.0, 9.49090909090909)","(8.0, 13.0, 10.653333333333334)","(2.7, 3.15, 3.134433962264151)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.45)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:02.591322,"(6.0, 10.0, 9.49090909090909)","(8.0, 13.0, 10.25)","(2.7, 3.15, 3.121794871794872)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:04.057195,"(6.0, 10.0, 9.49090909090909)","(8.0, 13.0, 10.25)","(2.7, 3.15, 3.121794871794872)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:05.548577,"(6.0, 10.0, 9.807407407407407)","(8.0, 13.0, 11.035714285714286)","(2.7, 3.15, 3.027741935483871)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:06.996358,"(6.0, 10.0, 9.807407407407407)","(8.0, 13.0, 11.472222222222221)","(2.7, 3.1, 3.038823529411765)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.953846153846154)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:08.393235,"(6.0, 10.0, 9.807407407407407)","(8.0, 13.0, 11.552631578947368)","(2.7, 3.1, 3.1276923076923078)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.953846153846154)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:09.880437,"(6.0, 10.0, 9.807407407407407)","(8.0, 13.0, 11.552631578947368)","(2.7, 3.15, 3.1276923076923078)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:11.347414,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.15, 3.131875)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:12.806040,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.15, 2.9745)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:14.249972,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.15, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:15.703682,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:17.178366,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:18.679779,"(6.0, 10.0, 9.63076923076923)","(8.0, 13.0, 11.625)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:20.163178,"(6.0, 10.0, 9.533333333333333)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:21.619406,"(6.0, 10.5, 10.883333333333333)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:23.200039,"(6.0, 11.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:24.860489,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:26.395090,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:27.957678,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:29.573234,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:31.139453,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:32.643707,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:34.141752,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 2.95)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:35.557809,"(6.0, 10.5, 9.851851851851851)","(8.0, 13.0, 12.125)","(2.7, 3.1, 3.0314285714285716)","(10.0, 14.5, 13.5)","(7.5, 9.0, 8.945454545454545)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 35.5)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:37.025103,"(6.0, 10.5, 10.246808510638298)","(8.0, 13.0, 12.125)","(2.7, 3.1, 3.036842105263158)","(10.0, 14.5, 14.451219512195122)","(7.5, 9.0, 8.947826086956521)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 10.0)","(18.0, 46.0, 39.36363636363636)","(5.0, 7.0, 6.6)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:38.541075,"(6.0, 10.5, 10.246808510638298)","(8.0, 13.0, 12.125)","(2.7, 3.1, 3.017948717948718)","(10.0, 14.5, 14.451219512195122)","(7.5, 9.0, 10.333333333333334)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.799999999999999)","(18.0, 48.0, 41.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:40.077139,"(6.0, 10.5, 10.246808510638298)","(8.0, 13.0, 11.705882352941176)","(2.7, 3.1, 3.0120689655172415)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.714285714285714)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.799999999999999)","(18.0, 46.0, 41.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:41.666899,"(6.0, 10.5, 10.246808510638298)","(8.0, 13.0, 11.705882352941176)","(2.7, 3.05, 3.0120689655172415)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.5, 9.5)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.559999999999999)","(18.0, 46.0, 41.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:43.207769,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.014642857142857)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.5, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 46.0, 38.0)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:45.081574,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.014642857142857)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 44.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:46.860584,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.014642857142857)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:48.364512,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:49.842615,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:51.305594,"(6.0, 10.5, 9.916666666666666)","(8.0, 13.0, 10.708333333333334)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.4)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:52.834596,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.26086956521739)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:54.316841,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 11.0, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:55.900575,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:57.425088,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:40:58.831859,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:41:00.244045,"(6.0, 10.5, 10.0)","(8.0, 13.0, 10.9375)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 38.75)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:41:01.647208,"(6.0, 10.5, 10.0)","(8.0, 13.0, 11.11111111111111)","(2.7, 3.05, 3.027083333333333)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 42.0, 35.6)","(5.0, 7.0, 6.511111111111111)","(101.0, 600.0, 460.0)"
10-01-2023 12:41:03.055398,"(6.0, 10.5, 10.0)","(8.0, 12.0, 10.76923076923077)","(2.7, 3.05, 3.076216216216216)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.45)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.6)","(5.0, 7.0, 6.36)","(101.0, 600.0, 385.0)"
10-01-2023 12:41:04.500589,"(6.0, 10.5, 10.0)","(8.0, 12.0, 10.4)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.642857142857142)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.75)","(5.0, 7.0, 6.447058823529412)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:05.958803,"(6.0, 10.5, 10.0)","(8.0, 12.0, 10.4)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.642857142857142)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 38.0, 35.75)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:07.388557,"(6.0, 10.5, 10.0)","(8.0, 12.0, 10.4)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.642857142857142)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 38.0, 35.75)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:08.808567,"(6.0, 10.5, 10.105263157894736)","(8.0, 12.0, 10.4)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.5, 9.6)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 38.0, 35.75)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:10.534654,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.76923076923077)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.333333333333334)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 38.0, 35.75)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:12.171192,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.76923076923077)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 38.666666666666664)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:13.638131,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.76923076923077)","(2.7, 3.15, 3.06)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 38.666666666666664)","(5.0, 6.8, 6.523076923076923)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:15.149565,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.08)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 33.6)","(5.0, 6.8, 6.449999999999999)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:16.644278,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.08)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.42857142857143)","(5.0, 6.6, 6.3)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:18.151755,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 9.866666666666667)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.42857142857143)","(5.0, 6.8, 6.3)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:19.692070,"(6.0, 10.5, 9.916666666666666)","(8.0, 12.0, 10.523076923076923)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.42857142857143)","(5.0, 6.8, 6.3)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:21.151437,"(6.0, 10.5, 9.692307692307692)","(8.0, 12.0, 10.523076923076923)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 35.42857142857143)","(5.0, 6.8, 6.3)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:22.581313,"(6.0, 10.5, 9.692307692307692)","(8.0, 12.0, 9.71875)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 40.0, 42.5)","(5.0, 6.8, 6.378947368421052)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:23.943577,"(6.0, 10.5, 9.692307692307692)","(8.0, 11.5, 9.695)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 46.0, 40.0)","(5.0, 6.6, 6.378947368421052)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:25.277130,"(6.0, 10.5, 9.692307692307692)","(8.0, 11.5, 9.695)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 46.0, 40.0)","(5.0, 6.6, 6.378947368421052)","(101.0, 590.0, 385.0)"
10-01-2023 12:41:26.582873,"(6.0, 10.5, 9.692307692307692)","(8.0, 11.5, 9.695)","(2.7, 3.15, 2.9945454545454546)","(10.0, 14.5, 14.451219512195122)","(7.5, 10.0, 9.25)","(101.0, 200.0, 146.66666666666666)","(7.0, 11.0, 9.892307692307693)","(18.0, 46.0, 40.0)","(5.0, 6.6, 6.378947368421052)","(101.0, 590.0, 385.0)"
