,Thrax,Stac Pollaidh,Centrestone,Little Jill,Toptimistic,Tiger For Life,Carlie Eksplodes,Gold Invest
15-12-2022 14:15:00.777386,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.71, 1.7063636363636363)","(5.0, 8.0, 7.844444444444444)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.404444444444445)","(6.0, 10.5, 10.310526315789474)","(41.0, 110.0, 75.71428571428571)"
15-12-2022 14:15:01.972010,"(71.0, 170.0, 130.0)","(31.0, 85.0, 73.52941176470588)","(1.7, 1.71, 1.7006121174266082)","(5.0, 8.0, 7.892307692307692)","(71.0, 210.0, 156.66666666666666)","(5.0, 6.6, 6.404444444444445)","(6.0, 10.5, 10.310526315789474)","(41.0, 110.0, 75.71428571428571)"
15-12-2022 14:15:03.201740,"(71.0, 170.0, 130.0)","(31.0, 85.0, 75.71428571428571)","(1.7, 1.72, 1.7047342995169081)","(5.0, 8.0, 7.892307692307692)","(71.0, 210.0, 156.66666666666666)","(5.0, 6.6, 6.404444444444445)","(6.0, 10.5, 10.310526315789474)","(41.0, 110.0, 85.0)"
15-12-2022 14:15:04.303119,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.71428571428571)","(1.7, 1.71, 1.7047342995169081)","(5.0, 8.0, 7.892307692307692)","(71.0, 210.0, 156.66666666666666)","(5.0, 6.6, 6.444247787610619)","(6.0, 10.5, 10.241176470588236)","(41.0, 100.0, 86.66666666666667)"
15-12-2022 14:15:05.377736,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.66666666666667)","(1.7, 1.72, 1.7154614485981308)","(5.0, 8.0, 7.946153846153846)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.444247787610619)","(6.0, 10.5, 10.179166666666667)","(41.0, 95.0, 81.11111111111111)"
15-12-2022 14:15:06.537480,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.66666666666667)","(1.7, 1.72, 1.7154614485981308)","(5.0, 8.0, 7.946153846153846)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.444247787610619)","(6.0, 10.5, 10.179166666666667)","(41.0, 95.0, 81.11111111111111)"
15-12-2022 14:15:07.762839,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.66666666666667)","(1.7, 1.72, 1.7171735395189003)","(5.0, 8.0, 8.311111111111112)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.374683544303798)","(6.0, 10.5, 10.179166666666667)","(41.0, 95.0, 84.28571428571429)"
15-12-2022 14:15:08.979980,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.52631578947368)","(1.7, 1.72, 1.7171735395189003)","(5.0, 8.4, 8.311111111111112)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.4, 6.374683544303798)","(6.0, 10.5, 9.92962962962963)","(41.0, 95.0, 84.28571428571429)"
15-12-2022 14:15:10.169617,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.52631578947368)","(1.7, 1.73, 1.7185714285714286)","(5.0, 9.4, 8.92)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.4, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 84.28571428571429)"
15-12-2022 14:15:11.338189,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.52631578947368)","(1.7, 1.7, 1.6975510204081632)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 84.28571428571429)"
15-12-2022 14:15:12.436717,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.52631578947368)","(1.7, 1.69, 1.6852)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:13.606724,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.41666666666667)","(1.7, 1.69, 1.6852)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:14.780953,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.69, 1.696)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:15.914991,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.7, 1.696)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.799999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:17.060615,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.7, 1.696113074204947)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.719999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:18.227497,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.7, 1.696113074204947)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.719999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:19.438843,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.7, 1.696113074204947)","(5.0, 9.4, 8.938461538461539)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.435897435897436)","(6.0, 10.5, 9.719999999999999)","(41.0, 95.0, 82.5)"
15-12-2022 14:15:20.515562,"(71.0, 170.0, 140.0)","(31.0, 85.0, 75.5)","(1.7, 1.69, 1.6878892733564013)","(5.0, 9.4, 9.258823529411766)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.444247787610619)","(6.0, 10.5, 9.719999999999999)","(41.0, 95.0, 78.33333333333333)"
15-12-2022 14:15:21.609257,"(71.0, 170.0, 136.66666666666666)","(31.0, 85.0, 75.5)","(1.7, 1.69, 1.68)","(5.0, 9.4, 9.258823529411766)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 6.444247787610619)","(6.0, 10.5, 9.719999999999999)","(41.0, 95.0, 78.33333333333333)"
15-12-2022 14:15:22.681448,"(71.0, 170.0, 136.66666666666666)","(31.0, 85.0, 75.5)","(1.7, 1.68, 1.6716)","(5.0, 9.4, 9.384615384615385)","(71.0, 210.0, 163.33333333333334)","(5.0, 6.6, 5.78421052631579)","(6.0, 10.5, 10.376470588235295)","(41.0, 95.0, 80.0)"
15-12-2022 14:15:23.807031,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6648125)","(5.0, 9.8, 10.857142857142858)","(71.0, 210.0, 175.0)","(5.0, 5.9, 5.641379310344828)","(6.0, 10.5, 10.258064516129032)","(41.0, 95.0, 115.45454545454547)"
15-12-2022 14:15:24.997722,"(71.0, 170.0, 153.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.67, 1.666206896551724)","(5.0, 11.0, 10.857142857142858)","(71.0, 210.0, 163.33333333333334)","(5.0, 5.7, 5.59)","(6.0, 11.0, 10.21951219512195)","(41.0, 120.0, 92.5)"
15-12-2022 14:15:26.011209,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.671063122923588)","(5.0, 11.0, 10.894736842105264)","(71.0, 210.0, 175.0)","(5.0, 5.7, 5.545)","(6.0, 11.0, 10.21951219512195)","(41.0, 110.0, 101.25)"
15-12-2022 14:15:27.085666,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6729591836734694)","(5.0, 11.5, 10.75)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.545)","(6.0, 11.0, 10.21951219512195)","(41.0, 110.0, 101.25)"
15-12-2022 14:15:28.109792,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6728712871287128)","(5.0, 11.5, 10.25)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.545)","(6.0, 11.0, 10.21951219512195)","(41.0, 110.0, 101.25)"
15-12-2022 14:15:29.152521,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6728712871287128)","(5.0, 11.5, 10.25)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.545)","(6.0, 11.0, 10.21951219512195)","(41.0, 110.0, 101.25)"
15-12-2022 14:15:30.340103,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.69, 1.6829166666666666)","(5.0, 11.0, 10.5)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.548)","(6.0, 11.0, 10.272727272727273)","(41.0, 110.0, 80.0)"
15-12-2022 14:15:31.455833,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.7, 1.6858333333333333)","(5.0, 10.5, 10.1875)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.548)","(6.0, 11.0, 10.272727272727273)","(41.0, 110.0, 80.0)"
15-12-2022 14:15:32.512840,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.7, 1.6858333333333333)","(5.0, 10.5, 10.1875)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.548)","(6.0, 11.0, 10.272727272727273)","(41.0, 110.0, 83.33333333333333)"
15-12-2022 14:15:33.641081,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.7, 1.6727272727272726)","(5.0, 10.5, 10.1875)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.548)","(6.0, 11.0, 10.333333333333334)","(41.0, 100.0, 79.16666666666667)"
15-12-2022 14:15:34.778186,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.7, 1.6742857142857142)","(5.0, 10.5, 10.1875)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.548)","(6.0, 11.0, 10.333333333333334)","(41.0, 100.0, 79.16666666666667)"
15-12-2022 14:15:35.926405,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.7, 1.67327868852459)","(5.0, 10.5, 10.051724137931034)","(71.0, 210.0, 175.0)","(5.0, 5.6, 5.755172413793104)","(6.0, 11.0, 10.214285714285714)","(41.0, 100.0, 79.16666666666667)"
15-12-2022 14:15:37.068451,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.69, 1.67327868852459)","(5.0, 10.5, 10.022727272727273)","(71.0, 210.0, 175.0)","(5.0, 5.9, 5.928)","(6.0, 10.5, 10.28125)","(41.0, 100.0, 79.16666666666667)"
15-12-2022 14:15:38.210964,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.67, 1.6698203592814371)","(5.0, 10.5, 9.914285714285715)","(71.0, 210.0, 180.0)","(5.0, 6.0, 5.9913043478260875)","(6.0, 10.5, 10.28125)","(41.0, 100.0, 85.0)"
15-12-2022 14:15:39.477668,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.67, 1.6755450236966825)","(5.0, 10.0, 9.181818181818182)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.04375)","(6.0, 10.5, 10.28125)","(41.0, 95.0, 85.0)"
15-12-2022 14:15:40.633255,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6755450236966825)","(5.0, 10.5, 9.275862068965518)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.09)","(6.0, 10.5, 10.409090909090908)","(41.0, 95.0, 77.85714285714286)"
15-12-2022 14:15:41.745201,"(71.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.7, 1.68, 1.6755450236966825)","(5.0, 10.0, 9.16)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.09)","(6.0, 10.5, 10.473684210526315)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:42.874014,"(61.0, 170.0, 145.0)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.676078431372549)","(5.5, 10.0, 9.16)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.09)","(6.5, 10.5, 10.473684210526315)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:43.940619,"(61.0, 170.0, 126.25)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6770833333333333)","(5.5, 10.0, 9.16)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.09)","(6.5, 10.5, 10.473684210526315)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:45.029163,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6770833333333333)","(5.5, 10.0, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.083720930232558)","(6.5, 10.5, 10.6)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:46.094831,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6770833333333333)","(5.5, 9.6, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.083720930232558)","(6.5, 11.0, 10.6)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:47.249019,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.675185185185185)","(5.5, 9.6, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.083720930232558)","(6.5, 11.0, 10.641304347826088)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:48.438026,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6762043795620438)","(5.5, 9.6, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.083720930232558)","(6.5, 11.0, 10.641304347826088)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:49.519934,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6659459459459458)","(5.5, 9.6, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.123529411764706)","(6.5, 11.0, 10.641304347826088)","(41.0, 95.0, 79.0)"
15-12-2022 14:15:50.636339,"(61.0, 170.0, 128.33333333333334)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.68, 1.6659459459459458)","(5.5, 9.6, 9.24)","(71.0, 210.0, 180.0)","(5.0, 6.2, 6.079245283018868)","(6.5, 11.0, 10.342857142857143)","(41.0, 95.0, 90.0)"
15-12-2022 14:15:51.773258,"(61.0, 160.0, 140.0)","(31.0, 85.0, 75.55555555555556)","(1.65, 1.69, 1.6884014869888475)","(5.5, 9.6, 8.988235294117647)","(61.0, 210.0, 190.0)","(5.0, 6.4, 6.249411764705883)","(6.5, 10.5, 10.426470588235293)","(41.0, 95.0, 90.0)"
15-12-2022 14:15:52.802403,"(61.0, 160.0, 140.0)","(31.0, 85.0, 75.55555555555556)","(1.6, 1.69, 1.6884014869888475)","(5.5, 9.6, 9.037037037037038)","(61.0, 210.0, 190.0)","(4.8, 6.4, 6.249411764705883)","(6.5, 10.5, 10.413793103448276)","(31.0, 95.0, 90.0)"
15-12-2022 14:15:53.906606,"(61.0, 150.0, 130.0)","(31.0, 85.0, 75.55555555555556)","(1.6, 1.7, 1.6959154929577465)","(5.5, 9.0, 8.8)","(61.0, 210.0, 190.0)","(4.8, 6.4, 6.249411764705883)","(6.5, 10.5, 10.413793103448276)","(31.0, 95.0, 90.0)"
15-12-2022 14:15:54.947788,"(61.0, 150.0, 130.0)","(31.0, 85.0, 75.55555555555556)","(1.6, 1.7, 1.6956060606060606)","(5.5, 8.8, 8.714285714285715)","(61.0, 210.0, 201.42857142857144)","(4.8, 6.4, 5.883333333333333)","(6.5, 10.5, 10.36923076923077)","(31.0, 95.0, 91.0)"
15-12-2022 14:15:56.059587,"(61.0, 200.0, 140.0)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.71, 1.701)","(5.5, 8.8, 8.733333333333334)","(61.0, 210.0, 201.42857142857144)","(4.8, 6.0, 5.9)","(6.5, 11.0, 10.422535211267606)","(31.0, 95.0, 91.0)"
15-12-2022 14:15:57.195575,"(61.0, 190.0, 143.33333333333334)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.71, 1.704)","(5.5, 8.8, 8.733333333333334)","(61.0, 210.0, 201.42857142857144)","(4.8, 6.0, 5.844444444444444)","(6.5, 11.0, 10.422535211267606)","(31.0, 95.0, 85.0)"
15-12-2022 14:15:58.318347,"(61.0, 180.0, 140.0)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.71, 1.6996551724137932)","(5.5, 8.8, 8.733333333333334)","(61.0, 210.0, 201.42857142857144)","(4.8, 6.0, 5.888888888888888)","(6.5, 11.0, 10.568181818181818)","(31.0, 95.0, 85.0)"
15-12-2022 14:15:59.608979,"(61.0, 180.0, 130.0)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.7, 1.6833333333333333)","(5.5, 8.8, 8.747826086956522)","(61.0, 210.0, 201.42857142857144)","(4.8, 6.2, 5.865853658536586)","(6.5, 11.0, 10.568181818181818)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:00.721125,"(61.0, 170.0, 127.14285714285714)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.7, 1.68)","(5.5, 8.8, 8.733333333333334)","(61.0, 210.0, 185.0)","(4.8, 5.9, 5.935714285714286)","(6.5, 11.0, 10.634146341463415)","(31.0, 95.0, 86.42857142857143)"
15-12-2022 14:16:01.810609,"(61.0, 170.0, 157.5)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.68, 1.6727014218009477)","(5.5, 8.8, 8.733333333333334)","(61.0, 210.0, 185.0)","(4.8, 6.0, 5.893103448275863)","(6.5, 11.0, 10.545454545454545)","(31.0, 95.0, 86.42857142857143)"
15-12-2022 14:16:02.930332,"(61.0, 170.0, 143.33333333333334)","(31.0, 85.0, 75.58823529411765)","(1.6, 1.72, 1.717608695652174)","(5.5, 9.0, 8.811764705882354)","(61.0, 210.0, 197.5)","(4.8, 5.9, 5.893103448275863)","(6.5, 11.0, 10.390625)","(31.0, 95.0, 86.42857142857143)"
15-12-2022 14:16:03.942873,"(61.0, 170.0, 136.66666666666666)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.72, 1.717608695652174)","(5.5, 9.0, 8.811764705882354)","(61.0, 210.0, 197.5)","(4.8, 5.9, 5.893103448275863)","(6.5, 11.0, 10.390625)","(31.0, 95.0, 86.42857142857143)"
15-12-2022 14:16:05.035292,"(61.0, 160.0, 140.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.724179104477612)","(5.5, 9.0, 8.811764705882354)","(61.0, 210.0, 190.0)","(4.8, 5.9, 5.94)","(6.5, 11.0, 10.38)","(31.0, 95.0, 86.42857142857143)"
15-12-2022 14:16:06.157375,"(61.0, 160.0, 140.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.724179104477612)","(5.5, 9.0, 8.811764705882354)","(61.0, 210.0, 210.0)","(4.8, 6.0, 5.86842105263158)","(6.5, 10.5, 10.35)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:07.212987,"(61.0, 200.0, 160.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.724179104477612)","(5.5, 9.0, 8.811764705882354)","(61.0, 220.0, 210.0)","(4.8, 5.9, 5.86842105263158)","(6.5, 10.5, 10.35)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:08.283318,"(61.0, 190.0, 143.33333333333334)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.72, 1.7149999999999999)","(5.5, 9.0, 8.889655172413793)","(61.0, 220.0, 213.75)","(4.8, 5.9, 5.864705882352942)","(6.5, 10.5, 10.38)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:09.393701,"(61.0, 190.0, 134.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.72, 1.7149999999999999)","(5.5, 9.0, 8.77142857142857)","(61.0, 220.0, 200.0)","(4.8, 5.9, 5.864705882352942)","(6.5, 10.5, 10.38)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:10.592731,"(61.0, 190.0, 134.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7169333333333332)","(5.5, 9.0, 8.815384615384616)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.864705882352942)","(7.0, 10.5, 10.26923076923077)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:11.640693,"(61.0, 180.0, 150.0)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7169333333333332)","(5.5, 9.0, 8.76)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.892)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:12.753590,"(61.0, 180.0, 147.27272727272728)","(31.0, 85.0, 80.41666666666667)","(1.6, 1.73, 1.714923076923077)","(5.5, 9.0, 8.815384615384616)","(61.0, 220.0, 206.66666666666666)","(4.8, 6.0, 5.877777777777778)","(7.0, 10.5, 10.26086956521739)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:13.835131,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7160377358490566)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 6.0, 5.864705882352942)","(7.0, 10.5, 10.26086956521739)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:15.211988,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7184375)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.26086956521739)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:16.377416,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7184375)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:17.482291,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7162962962962962)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:18.570280,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7162962962962962)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 85.0)"
15-12-2022 14:16:19.555951,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7162962962962962)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 86.11111111111111)"
15-12-2022 14:16:20.658514,"(61.0, 170.0, 142.72727272727272)","(31.0, 85.0, 80.29411764705883)","(1.6, 1.73, 1.7131818181818181)","(5.5, 9.0, 8.873684210526315)","(61.0, 220.0, 206.66666666666666)","(4.8, 5.9, 5.852)","(7.0, 10.5, 10.15625)","(31.0, 95.0, 86.11111111111111)"
