,Humbling,Opawa Anita,Goldstar Toby,Diamond Warrior,Grande Vue Ace,Zipping Ontario,Adobe Kid,Mrs Chinn
08-12-2022 15:46:40.489022,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:41.548119,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:42.668211,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:43.722672,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:45.019633,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:46.191558,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:47.329470,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:48.378584,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:49.480413,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:50.647940,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:51.771017,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:52.993929,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:54.120468,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:55.263202,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:56.293443,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:57.415431,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.5)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:58.614037,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:46:59.814319,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:00.892226,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:01.951337,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:03.077725,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:04.222205,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:05.365972,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:06.505434,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:07.675173,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:08.789969,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:09.857946,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:10.996814,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:12.189111,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.328)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:13.282020,"(3.6, 5.8, 4.983333333333333)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.0, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:14.332232,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:15.513879,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:16.618845,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:17.737731,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:18.788425,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:19.825200,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:20.992382,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 15.120000000000001)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.533333333333333)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:22.145102,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:23.300830,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:24.441325,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:25.564718,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:26.725964,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:27.843242,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:28.922268,"(3.6, 5.8, 4.575)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:30.073882,"(3.6, 5.8, 5.559375)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:31.269509,"(3.6, 5.8, 5.559375)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:32.408907,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:33.546088,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:34.700019,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:35.912191,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:37.104448,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 8.495999999999999)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:38.259294,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.553846153846154)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:39.404091,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.0, 14.566666666666666)","(6.5, 12.0, 11.033333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:40.769040,"(3.6, 5.8, 5.145652173913043)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.0, 14.983333333333334)","(6.5, 12.0, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:41.986896,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:43.191581,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:44.428001,"(3.6, 5.8, 4.796666666666667)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:45.637607,"(3.6, 5.8, 5.449999999999999)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 7.857142857142857)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:46.784608,"(3.6, 5.8, 5.449999999999999)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:47.941924,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:49.156580,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:50.369477,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:51.548573,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 9.555555555555555)"
08-12-2022 15:47:52.755647,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.5, 9.757894736842106)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.5, 8.509090909090908)"
08-12-2022 15:47:53.986160,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
08-12-2022 15:47:55.283051,"(3.6, 5.8, 4.588461538461538)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
08-12-2022 15:47:56.545414,"(3.6, 5.8, 5.457777777777777)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
08-12-2022 15:47:57.809371,"(3.6, 5.8, 5.457777777777777)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
08-12-2022 15:47:59.103060,"(3.6, 5.8, 5.457777777777777)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
08-12-2022 15:48:00.386384,"(3.6, 5.8, 5.11590909090909)","(6.0, 10.0, 9.16)","(9.0, 17.0, 15.523076923076923)","(5.0, 9.2, 8.45)","(8.5, 16.5, 14.983333333333334)","(6.5, 10.5, 9.783333333333333)","(9.0, 17.0, 15.566666666666666)","(5.0, 15.0, 8.509090909090908)"
