,Homebush Leah,Homebush Bun,Homebush Classy,Brendon Baxter,Smash Jagger,Wandering Star,Lucky Luciano
32,"[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 45, 191706), 21.0, 240.0]"
33,"[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 46, 306605), 21.0, 240.0]"
34,"[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 47, 434568), 21.0, 240.0]"
35,"[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 48, 558216), 21.0, 240.0]"
36,"[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 49, 671425), 21.0, 240.0]"
37,"[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 50, 791064), 21.0, 240.0]"
38,"[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 51, 907140), 21.0, 240.0]"
39,"[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 53, 12389), 21.0, 240.0]"
40,"[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 54, 139196), 21.0, 240.0]"
41,"[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 55, 247581), 21.0, 240.0]"
42,"[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 56, 401621), 21.0, 240.0]"
43,"[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 3.3, 10.0]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 9.0, 27.0]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 15.0, 170.0]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 5.0, 15.5]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 2.6, 4.2]","[datetime.datetime(2022, 11, 28, 10, 11, 57, 524426), 21.0, 240.0]"
