,Hillbilly Pickin,Interventionist,Lonely Rock,Rapid Impact,Sir Smitty,Spitfire,Tekapo,Jamrock,Apache Jewel,Kaisa,Lady Goodfellow,Among Us
08-12-2022 13:51:01.035634,"(14.0, 30.0, 27.375)","(31.0, 190.0, 85.33333333333334)","(71.0, 270.0, 246.66666666666669)","(31.0, 40.0, 37.77777777777778)","(6.5, 8.0, 7.022222222222222)","(2.5, 2.88, 2.8509090909090906)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 50.0, 38.5)","(13.0, 21.0, 20.0)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:51:02.458098,"(14.0, 30.0, 27.375)","(31.0, 180.0, 85.33333333333334)","(71.0, 260.0, 246.66666666666669)","(31.0, 40.0, 37.77777777777778)","(6.5, 7.8, 7.022222222222222)","(2.5, 2.88, 2.8406451612903223)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 48.0, 40.4)","(13.0, 21.0, 18.333333333333332)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:51:03.857064,"(14.0, 30.0, 27.375)","(31.0, 180.0, 85.33333333333334)","(71.0, 260.0, 246.66666666666669)","(31.0, 40.0, 37.77777777777778)","(6.5, 7.8, 7.022222222222222)","(2.5, 2.86, 2.8406451612903223)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.8126984126984125)","(19.0, 48.0, 40.4)","(13.0, 21.0, 19.0)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 7.855172413793103)"
08-12-2022 13:51:05.324772,"(14.0, 30.0, 27.375)","(31.0, 180.0, 147.0)","(71.0, 260.0, 237.5)","(31.0, 40.0, 33.0)","(6.5, 7.8, 7.507692307692308)","(2.5, 2.86, 2.79125)","(31.0, 40.0, 36.5)","(5.5, 7.0, 6.8126984126984125)","(19.0, 48.0, 32.666666666666664)","(13.0, 21.0, 20.25)","(17.0, 28.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:06.809147,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 250.0, 237.5)","(31.0, 36.0, 33.0)","(6.5, 7.6, 7.507692307692308)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 40.0, 32.666666666666664)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:08.223465,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 250.0, 237.5)","(31.0, 36.0, 33.0)","(6.5, 7.6, 7.507692307692308)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 40.0, 34.4)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:09.640641,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.6, 7.507692307692308)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 34.4)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:11.144356,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.6, 7.507692307692308)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 34.4)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:12.536463,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.6, 7.196428571428571)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 31.333333333333332)","(13.0, 21.0, 20.25)","(17.0, 27.0, 26.333333333333332)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:13.910923,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 8.0, 7.196428571428571)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 36.0, 31.333333333333332)","(13.0, 21.0, 20.25)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:15.302450,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 8.0, 7.196428571428571)","(2.5, 2.82, 2.79125)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 36.0, 31.333333333333332)","(13.0, 21.0, 20.25)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:16.756230,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 8.0, 7.196428571428571)","(2.5, 2.82, 2.7625)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 36.0, 31.333333333333332)","(13.0, 21.0, 20.25)","(17.0, 28.0, 26.333333333333332)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:18.140902,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 8.0, 7.4)","(2.5, 2.82, 2.761891891891892)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 36.0, 30.666666666666668)","(13.0, 21.0, 20.25)","(17.0, 28.0, 25.0)","(5.5, 8.6, 8.247826086956522)"
08-12-2022 13:51:19.530827,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.4)","(2.5, 2.92, 2.7443243243243245)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 34.0, 30.666666666666668)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.6, 7.8999999999999995)"
08-12-2022 13:51:20.970916,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.4)","(2.5, 2.92, 2.742727272727273)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 34.0, 30.666666666666668)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.2, 7.8999999999999995)"
08-12-2022 13:51:22.515036,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 228.33333333333331)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.4)","(2.5, 2.92, 2.742727272727273)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 34.0, 30.666666666666668)","(13.0, 21.0, 20.25)","(17.0, 27.0, 25.0)","(5.5, 8.2, 7.8999999999999995)"
08-12-2022 13:51:24.039324,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 240.0, 219.16666666666669)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.676923076923077)","(2.5, 2.92, 2.7476190476190476)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 34.0, 30.0)","(13.0, 21.0, 20.25)","(17.0, 27.0, 24.142857142857142)","(5.5, 8.2, 7.72)"
08-12-2022 13:51:25.584364,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 230.0, 219.16666666666669)","(31.0, 36.0, 33.75)","(6.5, 7.8, 7.676923076923077)","(2.5, 2.9, 2.7476190476190476)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 32.0, 30.571428571428573)","(13.0, 21.0, 20.25)","(17.0, 29.0, 24.142857142857142)","(5.5, 8.2, 6.2)"
08-12-2022 13:51:27.149118,"(14.0, 30.0, 27.375)","(31.0, 180.0, 138.33333333333331)","(71.0, 230.0, 210.0)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.7)","(2.5, 2.9, 2.7476190476190476)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 40.0, 34.0)","(13.0, 21.0, 20.25)","(17.0, 29.0, 24.142857142857142)","(5.5, 6.8, 7.133333333333333)"
08-12-2022 13:51:28.555086,"(14.0, 30.0, 27.375)","(31.0, 180.0, 138.33333333333331)","(71.0, 220.0, 210.0)","(31.0, 36.0, 33.0)","(6.5, 7.8, 7.7)","(2.5, 2.9, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 40.0, 34.0)","(13.0, 21.0, 23.076923076923077)","(17.0, 29.0, 24.142857142857142)","(5.5, 8.2, 7.133333333333333)"
08-12-2022 13:51:29.990440,"(14.0, 30.0, 27.375)","(31.0, 180.0, 138.33333333333331)","(71.0, 220.0, 160.0)","(31.0, 36.0, 33.75)","(6.5, 7.8, 7.4)","(2.5, 2.86, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 40.0, 35.42857142857143)","(13.0, 24.0, 18.884615384615383)","(17.0, 29.0, 25.333333333333332)","(5.5, 8.2, 7.6)"
08-12-2022 13:51:31.433108,"(14.0, 30.0, 27.375)","(31.0, 180.0, 138.33333333333331)","(71.0, 210.0, 160.0)","(31.0, 36.0, 33.75)","(6.5, 7.6, 7.4)","(2.5, 2.86, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 35.42857142857143)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.333333333333332)","(5.5, 8.0, 7.640000000000001)"
08-12-2022 13:51:32.946585,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 210.0, 135.71428571428572)","(31.0, 36.0, 33.75)","(6.5, 7.6, 7.3999999999999995)","(2.5, 2.86, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.333333333333332)","(5.5, 8.0, 7.912195121951219)"
08-12-2022 13:51:34.291346,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.75)","(6.5, 7.6, 7.3999999999999995)","(2.5, 2.86, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.333333333333332)","(5.5, 8.0, 7.912195121951219)"
08-12-2022 13:51:35.631541,"(14.0, 30.0, 27.375)","(31.0, 180.0, 96.66666666666666)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.75)","(6.5, 7.6, 7.3999999999999995)","(2.5, 2.86, 2.8)","(31.0, 38.0, 36.666666666666664)","(5.5, 7.0, 6.8126984126984125)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.333333333333332)","(5.5, 8.0, 7.912195121951219)"
08-12-2022 13:51:37.227814,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 100.0)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.6, 7.682352941176471)","(2.5, 2.86, 2.8345833333333332)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 26.933333333333334)","(5.5, 8.0, 7.4)"
08-12-2022 13:51:38.609055,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 100.0)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.8, 7.3)","(2.5, 2.84, 2.8358730158730157)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.927272727272728)"
08-12-2022 13:51:40.116270,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 100.0)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.8, 7.3)","(2.5, 2.84, 2.80625)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.708333333333332)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.6571428571428575)"
08-12-2022 13:51:41.709361,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 100.0)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.8, 7.3)","(2.5, 2.82, 2.7088888888888887)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 19.42105263157895)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.933333333333334)"
08-12-2022 13:51:43.306946,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.8, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.9399999999999995)"
08-12-2022 13:51:44.834167,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.6, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.933333333333334)"
08-12-2022 13:51:46.436283,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 33.88235294117647)","(6.5, 7.6, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 38.0, 36.714285714285715)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.933333333333334)"
08-12-2022 13:51:47.934829,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 36.0, 37.333333333333336)","(6.5, 7.6, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 38.0, 38.111111111111114)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 34.4)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.935135135135135)"
08-12-2022 13:51:49.519422,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 48.0, 39.0)","(6.5, 7.6, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 42.0, 37.0)","(5.5, 7.0, 6.823880597014925)","(19.0, 38.0, 89.75)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.9399999999999995)"
08-12-2022 13:51:50.906910,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 44.0, 39.0)","(6.5, 7.8, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.823880597014925)","(19.0, 110.0, 89.75)","(13.0, 21.0, 18.692307692307693)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.9399999999999995)"
08-12-2022 13:51:52.349397,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 44.0, 39.0)","(6.5, 7.8, 7.4)","(2.5, 2.82, 2.743076923076923)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.823880597014925)","(19.0, 110.0, 91.3076923076923)","(13.0, 21.0, 19.22222222222222)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.9399999999999995)"
08-12-2022 13:51:53.874396,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 44.0, 39.0)","(6.5, 7.8, 7.4)","(2.5, 2.8, 2.745)","(31.0, 40.0, 37.0)","(5.5, 7.0, 6.823880597014925)","(19.0, 110.0, 86.0)","(13.0, 25.0, 18.727272727272727)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.666666666666667)"
08-12-2022 13:51:55.400464,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 135.71428571428572)","(31.0, 44.0, 39.0)","(6.5, 7.8, 7.4)","(2.5, 2.82, 2.745)","(31.0, 40.0, 37.625)","(5.5, 7.0, 6.823880597014925)","(19.0, 110.0, 86.0)","(13.0, 21.0, 18.727272727272727)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.666666666666667)"
08-12-2022 13:51:56.871847,"(14.0, 30.0, 27.529411764705884)","(31.0, 180.0, 103.33333333333334)","(71.0, 200.0, 150.0)","(31.0, 48.0, 40.0)","(6.5, 7.6, 7.4)","(2.5, 2.82, 2.729090909090909)","(31.0, 42.0, 38.111111111111114)","(5.5, 7.0, 6.823880597014925)","(19.0, 110.0, 79.0)","(13.0, 21.0, 18.727272727272727)","(17.0, 28.0, 25.714285714285715)","(5.5, 8.0, 7.666666666666667)"
