,Homebush Sparkle,Goldstar Ange,Goldstar Harper,Mine Hunter,Romina Bale,Mehira,Caithness
08-12-2022 14:14:09.324179,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:10.500353,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:11.775976,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:13.065198,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:14.382032,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:15.611835,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:16.802787,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:17.999937,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:19.252780,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:20.447243,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:21.566115,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:22.736075,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:23.950535,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:25.097315,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:26.307427,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:27.508156,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:28.873380,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:30.226420,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:31.477156,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:32.833907,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:34.003477,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:35.409746,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:36.691186,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:37.960635,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:39.161488,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:40.382000,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:41.605936,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:42.826444,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:44.033042,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:45.288885,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:46.496578,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:47.715589,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:48.913485,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:50.073100,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:51.442442,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:52.751243,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:54.061956,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:55.367674,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:56.679231,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:58.114356,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:14:59.328877,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:00.625939,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:01.850463,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:03.012653,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:04.291490,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:05.600682,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:06.891132,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:08.202026,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:09.446783,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:10.720990,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:11.980624,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:13.210577,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:14.369420,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
08-12-2022 14:15:15.620836,"(10.0, 20.0, 19.21333333333333)","(4.8, 8.0, 4.928571428571429)","(9.0, 17.5, 15.853846153846153)","(11.0, 26.0, 24.11111111111111)","(1.95, 2.04, 2.02)","(10.0, 23.0, 21.799999999999997)","(5.0, 18.5, 8.928571428571429)"
