,Buckle Up Tahlia,Buckle Up Avery,Aston Paisley,Bedrock Cruiser,Zurhaar
10-01-2023 13:02:15.688313,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 15.8)"
10-01-2023 13:02:16.781579,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.0, 17.17142857142857)"
10-01-2023 13:02:17.877660,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 18.5, 17.6)"
10-01-2023 13:02:18.799842,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:19.801631,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:20.837956,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:21.722040,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:22.721479,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:23.799426,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 17.6)"
10-01-2023 13:02:24.807467,"(15.0, 42.0, 19.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 16.2)"
10-01-2023 13:02:25.771761,"(15.0, 42.0, 22.4)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 16.25)"
10-01-2023 13:02:26.801806,"(15.0, 38.0, 23.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.0, 16.625)"
10-01-2023 13:02:27.789008,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 16.625)"
10-01-2023 13:02:28.793050,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 16.625)"
10-01-2023 13:02:29.841927,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 16.625)"
10-01-2023 13:02:30.915993,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 17.616666666666667)"
10-01-2023 13:02:31.935500,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 17.616666666666667)"
10-01-2023 13:02:32.955086,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 19.5, 17.68)"
10-01-2023 13:02:33.972521,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 17.68)"
10-01-2023 13:02:35.027068,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 17.68)"
10-01-2023 13:02:35.962855,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 17.68)"
10-01-2023 13:02:37.001584,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 17.68)"
10-01-2023 13:02:38.006051,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 17.68)"
10-01-2023 13:02:38.976706,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 20.0, 19.28)"
10-01-2023 13:02:39.925639,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.2, 6.147368421052631)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:40.910581,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.6, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:41.943124,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:42.951507,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:43.863597,"(15.0, 38.0, 21.384615384615387)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:44.874796,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:45.876314,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:46.882444,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:47.882082,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:48.824981,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:49.801433,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 19.28)"
10-01-2023 13:02:50.838796,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 22.0, 12.293333333333333)"
10-01-2023 13:02:51.873398,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 12.293333333333333)"
10-01-2023 13:02:52.837151,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 12.293333333333333)"
10-01-2023 13:02:53.765720,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 12.293333333333333)"
10-01-2023 13:02:54.790932,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 12.293333333333333)"
10-01-2023 13:02:55.754049,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.08)"
10-01-2023 13:02:56.670866,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.08)"
10-01-2023 13:02:57.695058,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.08)"
10-01-2023 13:02:58.748606,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.08)"
10-01-2023 13:02:59.753802,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.08)"
10-01-2023 13:03:00.734322,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.942857142857143)"
10-01-2023 13:03:01.673141,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.942857142857143)"
10-01-2023 13:03:02.612411,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:03.683383,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:04.769036,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:05.770002,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:06.783612,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:07.885923,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:08.918213,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:09.825304,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:10.881748,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:11.917415,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:12.911846,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:13.981092,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:14.988925,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:16.047948,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:17.058500,"(15.0, 38.0, 22.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:18.090748,"(15.0, 38.0, 19.647058823529413)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:19.149308,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:20.132308,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:21.172166,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 25.692307692307693)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:22.218783,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:23.149928,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:24.189614,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 20.16)"
10-01-2023 13:03:25.250564,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:26.351127,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:27.402588,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:28.621587,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:29.672087,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:30.850101,"(15.0, 38.0, 24.666666666666664)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:31.875101,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:32.908598,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:33.895397,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:34.865384,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:35.928939,"(15.0, 36.0, 31.6)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:36.936370,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:37.944505,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 24.666666666666664)","(5.5, 23.0, 21.0)"
10-01-2023 13:03:38.975470,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 14.0)"
10-01-2023 13:03:40.035056,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 17.806451612903224)"
10-01-2023 13:03:41.064182,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 20.04)"
10-01-2023 13:03:42.115575,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.04)"
10-01-2023 13:03:43.209510,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.04)"
10-01-2023 13:03:44.326374,"(15.0, 38.0, 20.0)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.566666666666666)"
10-01-2023 13:03:45.360390,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.566666666666666)"
10-01-2023 13:03:46.453991,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.566666666666666)"
10-01-2023 13:03:47.528412,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 12.45)"
10-01-2023 13:03:48.547743,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 12.45)"
10-01-2023 13:03:49.653986,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 12.45)"
10-01-2023 13:03:50.649544,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 12.45)"
10-01-2023 13:03:51.689072,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 12.45)"
10-01-2023 13:03:52.710694,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 12.45)"
10-01-2023 13:03:53.800459,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 18.52)"
10-01-2023 13:03:54.833186,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 18.52)"
10-01-2023 13:03:55.761109,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.4, 7.942857142857143)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 18.52)"
10-01-2023 13:03:56.899923,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 18.52)"
10-01-2023 13:03:58.085698,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 18.52)"
10-01-2023 13:03:59.183636,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 18.52)"
10-01-2023 13:04:00.277547,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 21.0, 17.72)"
10-01-2023 13:04:01.337661,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 20.0, 17.72)"
10-01-2023 13:04:02.440103,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 20.0, 13.0)"
10-01-2023 13:04:03.506202,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 13.0)"
10-01-2023 13:04:04.568271,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 13.0)"
10-01-2023 13:04:05.671949,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 14.5)"
10-01-2023 13:04:06.724971,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 14.5)"
10-01-2023 13:04:07.809734,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 14.5)"
10-01-2023 13:04:08.886924,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 24.0, 20.2)"
10-01-2023 13:04:09.895927,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.2)"
10-01-2023 13:04:10.894775,"(15.0, 38.0, 18.8)","(1.3, 1.42, 1.3438095238095238)","(5.0, 8.8, 8.285714285714286)","(18.0, 42.0, 28.133333333333333)","(5.5, 23.0, 20.2)"
