,Zaras Princess,Miss Faberge,Crackerjack King,Laroza Bale,Alicah,Bahrose
10-01-2023 15:24:29.841034,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 7.0)"
10-01-2023 15:24:30.814818,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 7.0)"
10-01-2023 15:24:31.722016,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 6.95)"
10-01-2023 15:24:32.627430,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:33.603740,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:34.553983,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:35.504848,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:36.417689,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:37.354767,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:38.313560,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 6.6)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:39.332815,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.4, 7.52)","(5.0, 8.4, 7.550000000000001)"
10-01-2023 15:24:40.245021,"(5.5, 12.5, 7.192307692307692)","(11.0, 22.0, 13.127272727272729)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 8.4, 8.311764705882354)"
10-01-2023 15:24:41.216794,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.9, 3.9875)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:42.168338,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.8, 5.1)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:43.110829,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.8, 5.1)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:43.933477,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.8, 5.1)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:44.810833,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.9, 4.4125)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:45.763282,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.9, 4.2)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:46.853534,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.9, 4.2)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:47.857759,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:48.831120,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:24:49.818555,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.618181818181819)"
10-01-2023 15:24:50.750297,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 7.975)"
10-01-2023 15:24:51.611252,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.95)"
10-01-2023 15:24:52.686438,"(5.5, 12.0, 10.4)","(11.0, 22.0, 12.850000000000001)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 7.0)"
10-01-2023 15:24:53.810266,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:54.736143,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:55.655859,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:56.557922,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:57.487377,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:58.395323,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:24:59.280480,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:25:00.188496,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:25:01.107088,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.0)"
10-01-2023 15:25:01.980418,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:02.868072,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:03.844352,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:04.757514,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:05.625550,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:06.677522,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:07.646344,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:08.571210,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.311764705882354)"
10-01-2023 15:25:09.574564,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.618181818181819)"
10-01-2023 15:25:10.646803,"(5.5, 12.0, 10.4)","(11.0, 22.0, 15.0)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.720000000000001)"
10-01-2023 15:25:11.831667,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:12.864354,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:13.748573,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:14.641490,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:15.679139,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:16.672747,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:17.562465,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:18.479984,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:19.393484,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:20.262050,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 6.66)"
10-01-2023 15:25:21.133191,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 7.99090909090909)"
10-01-2023 15:25:22.053673,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:23.003652,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:23.937733,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:24.900452,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:25.791107,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:26.751939,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:27.737369,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:28.623346,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:29.608655,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:30.650394,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:31.661426,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:32.530935,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:33.566570,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.5, 4.245833333333334)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:34.598962,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:35.494745,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:36.469292,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:37.436010,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:38.347784,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:39.337929,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:40.276496,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:41.167723,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.207142857142857)"
10-01-2023 15:25:42.224617,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:43.205981,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:44.195043,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:45.191978,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:46.299340,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:47.259524,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:48.249168,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:49.160392,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:50.035179,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:51.123383,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:52.126407,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:53.000090,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:53.961080,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:54.888947,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:55.959133,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:56.891425,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:57.873816,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.25)"
10-01-2023 15:25:58.920365,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.433333333333334)"
10-01-2023 15:25:59.889665,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.1)"
10-01-2023 15:26:00.897102,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.1)"
10-01-2023 15:26:01.807722,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.1)"
10-01-2023 15:26:02.735414,"(5.5, 12.0, 9.9)","(11.0, 22.0, 11.666666666666666)","(3.4, 5.4, 4.138461538461539)","(3.2, 4.9, 3.37)","(5.0, 8.2, 7.52)","(5.0, 9.0, 8.1)"
