,Lieutenant Jack,Hoppers Dream,Mamma Kass,Monsieur Steel,Calculating Dancer,Our Major Jack Nz,Thiswaytothebeach,Trade Whispers
07-01-2023 20:46:30.626424,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:31.941892,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:33.434188,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:34.794474,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:36.129048,"(4.8, 6.6, 5.475)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.4, 7.666666666666667)","(5.0, 5.9, 5.614285714285715)","(2.1, 99999, 99990)","(8.0, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:37.390233,"(4.8, 6.6, 5.475)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.4, 8.36)","(5.0, 5.9, 5.614285714285715)","(2.1, 99999, 99990)","(8.0, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:38.722671,"(4.8, 6.6, 5.475)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.4, 8.36)","(5.0, 5.9, 5.614285714285715)","(2.1, 99999, 99990)","(8.0, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:39.911554,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.614285714285715)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:41.277842,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:42.529112,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:43.854918,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:45.077993,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:46.167767,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:47.276433,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:48.435738,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:49.637788,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:50.844381,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 12.685714285714287)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:52.155401,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:53.563585,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:54.856453,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:56.108569,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:57.373517,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.455555555555556)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:46:58.900062,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.9, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:47:00.320387,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 158.0)"
07-01-2023 20:47:01.550320,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:02.702631,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:04.016761,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:05.503761,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:06.696536,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:08.282045,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:09.505282,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:10.709500,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.542857142857143)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:12.058602,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:13.498442,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(6.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:14.979494,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:16.137054,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:17.313436,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:18.427843,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.4, 5.8, 5.429411764705883)","(2.1, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:19.608119,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.6, 5.8, 5.429411764705883)","(2.15, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:20.830976,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.36)","(4.6, 5.8, 5.429411764705883)","(2.15, 99999, 99990)","(8.5, 13.0, 11.533333333333333)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:21.985075,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.066666666666666)","(5.5, 9.4, 8.1)","(4.6, 5.8, 5.429411764705883)","(2.15, 99999, 99990)","(8.5, 13.0, 11.24)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:23.237751,"(5.0, 6.6, 5.4)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:24.428940,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:25.658935,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:26.905842,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:28.068850,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:29.303533,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:30.531722,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 11.8)","(5.5, 9.4, 7.8)","(4.4, 5.8, 5.1)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:31.787667,"(5.0, 6.6, 5.475)","(26.0, 42.0, 39.0)","(10.0, 14.0, 10.725000000000001)","(5.5, 9.4, 7.55)","(4.4, 5.8, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:32.938729,"(5.0, 7.2, 6.15)","(26.0, 42.0, 39.0)","(10.0, 13.5, 10.866666666666667)","(5.5, 9.2, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:34.090453,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:35.295764,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:36.463415,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:37.565011,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:38.638656,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:39.721632,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
07-01-2023 20:47:40.744787,"(5.0, 7.2, 5.775)","(26.0, 42.0, 39.0)","(10.0, 13.0, 10.866666666666667)","(5.5, 9.0, 7.666666666666667)","(4.4, 5.7, 5.14)","(2.15, 99999, 99990)","(9.0, 13.0, 10.200000000000001)","(101.0, 200.0, 133.33333333333334)"
