,Breakaway Mae,Stonewashed,Flashback Jack,Bunt And Run,Crab,More Crackers,Ballina,Precious Honey
08-01-2023 18:34:53.906270,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:55.282551,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:56.484401,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:57.748462,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:58.982545,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:00.272412,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.16)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:01.508542,"(3.2, 5.3, 4.6)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:02.746312,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:03.910915,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:05.031060,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:06.270526,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:07.442235,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:08.740067,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:09.980841,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:11.204770,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:12.402811,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:13.449375,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:14.656417,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:15.851701,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:17.111652,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:18.292140,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.0)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:19.415488,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 8.6)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 10.666666666666666)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:20.584504,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:21.850152,"(3.2, 5.3, 3.935)","(81.0, 610.0, 347.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 610.0, 347.5)","(61.0, 440.0, 119.16666666666667)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:23.145275,"(3.2, 5.3, 3.935)","(81.0, 610.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 610.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:24.452382,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:25.663080,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:26.820106,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:27.916295,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:29.113534,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:30.301940,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:31.513007,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:32.702238,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:33.890862,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:35.104524,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:35:36.298080,"(3.2, 5.3, 3.935)","(81.0, 600.0, 342.5)","(6.0, 11.0, 7.933333333333334)","(81.0, 600.0, 342.5)","(61.0, 440.0, 165.0)","(21.0, 70.0, 45.5)","(7.5, 16.0, 14.4)","(1.65, 2.38, 1.8373333333333333)"
