,Acapulco,Why Not Emily,Talent Show,Barts Girl,Cindys Pride,Chi Foose
08-12-2022 13:27:50.654859,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:51.727293,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:52.726763,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:53.736973,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:54.842774,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:55.948192,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:56.964148,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:58.084284,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:27:59.129901,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.36)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:00.164116,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:01.343903,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:02.527147,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:03.717572,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:04.971664,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:06.140535,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:07.282948,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:08.255074,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:09.327918,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:10.489566,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:11.657678,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:12.701422,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:13.819683,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:14.921639,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:15.958790,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:17.011701,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:17.998686,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:19.023776,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:20.174900,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:21.331959,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.1, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:22.423650,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:23.445597,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:24.487079,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:25.510282,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:26.665688,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:27.801458,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:28.880701,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:29.975600,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:31.069582,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:32.218444,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:33.369581,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:34.535106,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:35.684962,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:37.127653,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:38.247579,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:39.455586,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:40.510702,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:41.610272,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:42.693526,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:43.821367,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:44.933382,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:45.904916,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:46.982454,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:48.156599,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:49.307463,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:50.342623,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:51.507715,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:52.632335,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:53.675861,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:54.762411,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:55.893303,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:56.950533,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:58.009813,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:28:59.091613,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:29:00.120299,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 16.02857142857143)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 242.5)"
08-12-2022 13:29:01.150901,"(4.0, 6.4, 5.2)","(31.0, 210.0, 95.0)","(2.7, 4.0, 3.321739130434783)","(10.0, 21.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:02.494196,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:03.611826,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:04.774049,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:05.906878,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:07.025246,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:08.097454,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:09.208111,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:10.306319,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:11.391805,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:12.426942,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:13.402851,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:14.480208,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:15.558763,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:16.527605,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:17.624492,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:18.741929,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:19.838995,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:20.913480,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.2421739130434784)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:22.068620,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.15, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:23.048545,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:24.229759,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:25.272673,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:26.472175,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:27.762296,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:29.210725,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:30.678569,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:31.984612,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.10909090909091)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:33.013067,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:34.074245,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:35.183225,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:36.291407,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:37.446317,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:38.479677,"(4.0, 6.4, 5.2)","(31.0, 210.0, 73.5)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:39.571354,"(4.0, 6.4, 5.2)","(31.0, 210.0, 93.64285714285714)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
08-12-2022 13:29:40.689341,"(4.0, 6.4, 5.2)","(31.0, 210.0, 93.64285714285714)","(2.7, 4.0, 3.321739130434783)","(10.0, 20.0, 17.35)","(2.0, 3.1, 2.4657142857142857)","(51.0, 390.0, 129.0)"
