,Northern Regie,Tutu To Tutu,Meehan Boston,Beauty On Fire,Wild Storms,Laceby Girl,Hello Lynda,Diablo Bale
12-01-2023 08:01:13.550275,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:14.634898,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:15.681322,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:16.692118,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:17.783200,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:18.810067,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 52.875)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:19.876932,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:20.996824,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:22.032829,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:23.135734,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:24.494509,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:25.574511,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:26.833062,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:27.960326,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:29.108893,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:30.204731,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:31.416064,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:32.503853,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:33.542372,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:34.587508,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:35.651157,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:36.746956,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:37.805588,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:38.849601,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:39.893514,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:40.904782,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:41.892335,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:42.848634,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:43.801557,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:44.782673,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:45.775762,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:46.778678,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(21.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:48.034823,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:49.190940,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:50.304894,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:51.408463,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:52.513021,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:53.671969,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:54.919287,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:56.045588,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:57.353242,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:58.450408,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:01:59.555291,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:00.664773,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:01.779740,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:02.835896,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:04.080396,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:05.204886,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:06.298733,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:07.338275,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:08.410969,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:09.490414,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:10.559389,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:11.568330,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:12.567853,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:13.570868,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:14.640872,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:15.675519,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:16.788946,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:17.905048,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:18.986158,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:20.077750,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:21.172224,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:22.295091,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:23.357892,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:24.365879,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:25.456479,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:26.498781,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:27.588217,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:28.704897,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:29.772564,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:30.905681,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:32.009064,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:33.117405,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:34.135634,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:35.241802,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
12-01-2023 08:02:36.277376,"(5.0, 9.0, 5.241666666666667)","(15.0, 38.0, 31.289473684210527)","(4.0, 7.0, 4.675)","(5.5, 10.5, 7.44)","(31.0, 240.0, 131.5)","(20.0, 75.0, 43.888888888888886)","(16.0, 65.0, 53.125)","(2.0, 3.25, 2.91)"
