,Mystical Charm,Magic Nitro,Bahamas Miss,Feel Your Way,Montana One,Atomic Pete,Financially Stable,Just Call Me Harry,Batman Jujon
11-01-2023 21:07:07.654078,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.666666666666667)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.7066666666666666)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:08.811027,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.8, 1.686)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:10.129123,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 46.0, 38.8)"
11-01-2023 21:07:11.366268,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 46.0, 42.0)"
11-01-2023 21:07:12.587711,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:13.783828,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:14.954536,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:16.150224,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:17.328555,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:18.482877,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
