,Just Too Fancy,New To Me,Tails Up,Fancy Kelly,Daisy Moments,Balts Agenda
07-12-2022 20:56:23.962577,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:25.066741,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:26.167445,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:27.245434,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:28.242522,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:29.302343,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:30.422156,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:56:31.564182,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:32.564913,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:33.568108,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:34.669907,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:36.020914,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:37.183767,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 27.25)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:38.534876,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:39.667593,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:40.893846,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:42.055707,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:43.065355,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:44.109515,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:45.210869,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:46.333626,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:47.438449,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:48.519760,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:49.561014,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:50.651282,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.564820143884892)"
07-12-2022 20:56:51.623528,"(7.5, 18.0, 13.628571428571428)","(17.0, 46.0, 24.18181818181818)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:52.664099,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:53.647086,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:54.676623,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:55.815342,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:56.951410,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:57.927120,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:58.904666,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:56:59.853605,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:01.197880,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:02.297991,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:03.258894,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:04.268046,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:05.449286,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:06.516519,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:07.505154,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:08.576976,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:09.644951,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:10.766575,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.521372549019608)"
07-12-2022 20:57:11.766561,"(7.5, 18.0, 13.628571428571428)","(17.0, 55.0, 26.636363636363637)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:12.704763,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 28.75)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:13.908082,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 28.75)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:15.100137,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 28.75)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:16.088601,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 28.75)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:17.107849,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 28.75)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:18.203746,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:19.328284,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:20.390114,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:21.405152,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:22.505241,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:23.582086,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:24.684981,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:25.808572,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:26.768857,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:27.845711,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:28.883838,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:29.882368,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:30.872802,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:31.859486,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:32.903452,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:34.262075,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:35.225199,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:36.155366,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:37.260318,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:38.433618,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:39.495078,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:40.464938,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:41.565088,"(7.5, 18.0, 13.628571428571428)","(17.0, 50.0, 25.272727272727273)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:42.688497,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 28.0)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:43.730394,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:44.757806,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:45.776350,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:46.808148,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:47.851507,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 8.1125)","(1.22, 1.59, 1.559491525423729)"
07-12-2022 20:57:49.002252,"(7.5, 18.5, 9.32857142857143)","(17.0, 48.0, 38.44117647058823)","(20.0, 55.0, 37.72727272727273)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.5, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:50.198262,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:51.273416,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:52.231831,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:53.236855,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:54.491738,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:55.920978,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:57.038824,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:57.958790,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:57:58.984254,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
07-12-2022 20:58:00.346313,"(7.5, 18.0, 13.628571428571428)","(17.0, 48.0, 24.727272727272727)","(20.0, 55.0, 28.090909090909093)","(14.0, 32.0, 29.2972972972973)","(7.5, 14.0, 11.085714285714285)","(1.22, 1.59, 1.5344444444444445)"
