,Mi Gusto Es,Sweet T,Runaway Road,Tricky Strong,Ridunculous,Astral Ride,My Slick Nick,Brotherfromanother,A Thousand Idols
16-12-2022 11:46:05.422434,"(2.4, 3.3, 3.186363636363636)","(16.0, 290.0, 236.6)","(3.1, 3.35, 3.225)","(14.0, 190.0, 103.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 300.0, 159.75)","(19.0, 300.0, 159.5)","(21.0, 390.0, 204.0)"
16-12-2022 11:46:06.688609,"(2.4, 3.3, 3.186363636363636)","(16.0, 290.0, 236.6)","(3.1, 3.35, 3.225)","(14.0, 190.0, 103.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 300.0, 159.75)","(19.0, 300.0, 164.5)","(21.0, 390.0, 214.0)"
16-12-2022 11:46:07.822652,"(2.4, 3.3, 3.186363636363636)","(16.0, 300.0, 244.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 108.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 310.0, 164.5)","(21.0, 410.0, 214.0)"
16-12-2022 11:46:08.991445,"(2.4, 3.3, 3.186363636363636)","(17.0, 300.0, 244.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 154.125)","(21.0, 990.0, 352.6666666666667)","(2.45, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 310.0, 164.5)","(21.0, 410.0, 214.0)"
16-12-2022 11:46:10.184994,"(2.4, 3.3, 3.033333333333333)","(17.0, 300.0, 244.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 154.125)","(21.0, 990.0, 352.6666666666667)","(2.45, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 310.0, 164.5)","(21.0, 410.0, 214.0)"
16-12-2022 11:46:11.293439,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 154.25)","(21.0, 990.0, 352.6666666666667)","(2.45, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:12.407818,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 154.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:13.537417,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 200.0, 154.25)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 310.0, 164.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:14.650548,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:15.751334,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:16.972859,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:18.170085,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:19.343483,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:20.541517,"(2.4, 3.3, 3.186363636363636)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 169.5)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:21.698483,"(2.4, 3.3, 3.186363636363636)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 161.75)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 259.9)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:22.894809,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 171.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 259.9)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:24.086051,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 171.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:25.346120,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 171.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:26.617272,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 171.5)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:27.760409,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:28.941969,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:30.117235,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:31.271679,"(2.4, 3.3, 3.115384615384615)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:32.385745,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:33.536640,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:34.694748,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:35.754195,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:36.855403,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:37.944584,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:39.048501,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:40.206952,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:41.334831,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:42.457244,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:43.593286,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:44.698686,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:45.774895,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:46.871328,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:47.947886,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:49.039470,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:50.144569,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:51.254176,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:52.371816,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:53.467142,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:54.617784,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:55.731566,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:56.853224,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:57.970482,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:46:59.059305,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:00.177826,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:01.274235,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:02.359127,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:03.472130,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:04.682180,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:05.977596,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:07.119874,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:08.280786,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:09.440278,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:10.614742,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:11.748428,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:12.891230,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:13.990530,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:15.095046,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:16.752782,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:17.847032,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:18.972893,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:20.167109,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:21.361842,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:22.494212,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
16-12-2022 11:47:23.624734,"(2.4, 3.3, 3.033333333333333)","(17.0, 310.0, 252.6)","(3.1, 3.35, 3.225)","(14.0, 210.0, 162.0)","(21.0, 990.0, 352.6666666666667)","(2.4, 3.9, 3.1166666666666667)","(19.0, 320.0, 169.75)","(19.0, 320.0, 245.0)","(21.0, 420.0, 219.0)"
