,Apollo One,Salience,Ria,Nullify,Still Waiting,Ms Lucky Leaves,Dewana Success,Dark Krystal
05-01-2023 13:45:12.966683,"(2.5, 3.2, 3.09)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.9)","(12.0, 34.0, 30.25)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:14.164185,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.9)","(12.0, 34.0, 30.25)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:15.254677,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.55)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.088235294117647)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.9)","(12.0, 34.0, 30.375)","(9.0, 22.0, 12.55)"
05-01-2023 13:45:16.411024,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.69)","(20.0, 50.0, 27.454545454545453)","(3.8, 6.6, 5.76)","(8.0, 15.5, 11.0)","(10.0, 19.5, 11.9)","(12.0, 34.0, 30.375)","(9.0, 22.0, 12.55)"
05-01-2023 13:45:17.483986,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.69)","(20.0, 50.0, 27.454545454545453)","(3.8, 6.6, 6.0)","(8.0, 15.5, 11.946153846153846)","(10.0, 19.5, 15.257142857142856)","(12.0, 34.0, 30.375)","(9.0, 22.0, 12.55)"
05-01-2023 13:45:18.586235,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.7727272727272725)","(20.0, 50.0, 27.454545454545453)","(3.8, 6.6, 6.0)","(8.0, 15.5, 10.879999999999999)","(10.0, 19.5, 11.185714285714287)","(12.0, 34.0, 32.1875)","(9.0, 22.0, 12.55)"
05-01-2023 13:45:19.768377,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 6.69)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.0)","(8.0, 15.5, 10.879999999999999)","(10.0, 19.5, 15.257142857142856)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:20.975941,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 7.775)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.0)","(8.0, 15.5, 8.9)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:22.122002,"(2.5, 3.2, 3.1633333333333336)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.0)","(8.0, 15.5, 9.071428571428571)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:23.171907,"(2.5, 3.2, 3.06)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 6.0)","(8.0, 15.5, 9.071428571428571)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:24.322911,"(2.5, 3.2, 3.1766666666666667)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 4.940740740740741)","(8.0, 15.5, 9.625)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:25.535599,"(2.5, 3.2, 3.1350000000000002)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 4.940740740740741)","(8.0, 14.5, 9.625)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:26.811312,"(2.5, 3.2, 3.1350000000000002)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 4.8999999999999995)","(8.0, 14.5, 9.625)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:27.935639,"(2.5, 3.2, 3.177777777777778)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 28.666666666666664)","(3.8, 6.6, 4.8999999999999995)","(8.0, 14.5, 9.625)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.388888888888886)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:29.066462,"(2.5, 3.2, 3.177777777777778)","(5.5, 9.0, 7.886363636363637)","(20.0, 48.0, 31.333333333333336)","(3.8, 6.6, 4.8999999999999995)","(8.0, 14.5, 9.625)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 29.666666666666664)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:30.250670,"(2.5, 3.2, 3.1833333333333336)","(5.5, 9.0, 7.886363636363637)","(20.0, 48.0, 31.454545454545453)","(3.8, 6.6, 4.652083333333334)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:31.409229,"(2.5, 3.25, 3.15)","(5.5, 9.0, 7.886363636363637)","(20.0, 55.0, 31.454545454545453)","(3.8, 6.6, 4.652083333333334)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:32.560663,"(2.5, 3.25, 3.15)","(5.5, 9.0, 7.886363636363637)","(20.0, 55.0, 31.454545454545453)","(3.8, 6.6, 4.3475)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:33.680575,"(2.5, 3.3, 3.275)","(5.5, 9.0, 7.886363636363637)","(20.0, 55.0, 31.454545454545453)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:34.742351,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.886363636363637)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:36.002790,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:37.186698,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:45:38.179670,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 13.276923076923078)"
05-01-2023 13:45:39.297668,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 13.276923076923078)"
05-01-2023 13:45:40.389386,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.5, 11.5625)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 13.276923076923078)"
05-01-2023 13:45:41.536616,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 32.22222222222222)","(3.8, 6.6, 4.305)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 32.14285714285714)","(9.0, 22.0, 13.276923076923078)"
05-01-2023 13:45:42.638246,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 7.782608695652174)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 8.928571428571429)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 28.0)","(9.0, 22.0, 13.276923076923078)"
05-01-2023 13:45:43.634507,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 28.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:44.705349,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 28.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:45.766077,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 31.8)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:46.850358,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:47.809298,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:48.864447,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.0)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:49.903089,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 16.333333333333332)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:50.986009,"(2.5, 3.3, 3.2791666666666663)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 12.3)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:51.973178,"(2.5, 3.3, 3.2777777777777777)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 12.3)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:53.023207,"(2.5, 3.3, 3.28)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 27.5)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:54.068113,"(2.5, 3.3, 3.28)","(5.5, 9.0, 5.977777777777778)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:55.167905,"(2.5, 3.3, 3.28)","(5.5, 8.8, 7.2)","(20.0, 48.0, 25.375)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:56.130282,"(2.5, 3.3, 3.28)","(5.5, 8.8, 7.2)","(20.0, 46.0, 25.375)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:57.183856,"(2.5, 3.3, 3.28)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:58.263361,"(2.5, 3.3, 3.28)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.84)"
05-01-2023 13:45:59.294266,"(2.5, 3.3, 3.2875)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 13.5, 11.3)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 20.0, 13.066666666666666)"
05-01-2023 13:46:00.287211,"(2.5, 3.35, 3.2875)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 13.5, 11.3)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 20.0, 13.066666666666666)"
05-01-2023 13:46:01.279310,"(2.5, 3.45, 3.415)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 13.5, 11.3)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 19.5, 12.9)"
05-01-2023 13:46:02.363195,"(2.5, 3.45, 3.415)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 13.5, 11.3)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.333333333333336)","(9.0, 19.5, 12.9)"
05-01-2023 13:46:03.485658,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.2)","(9.0, 19.5, 12.9)"
05-01-2023 13:46:04.608812,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.2)","(9.0, 19.5, 12.9)"
05-01-2023 13:46:05.665643,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.2)","(9.0, 19.5, 12.9)"
05-01-2023 13:46:06.927624,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.666666666666664)","(9.0, 19.5, 10.84)"
05-01-2023 13:46:08.184051,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:46:09.362808,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:46:10.468658,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:46:11.643439,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.84)"
05-01-2023 13:46:12.723986,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.479999999999999)"
05-01-2023 13:46:14.005910,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.66)"
05-01-2023 13:46:15.207253,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.785714285714286)","(12.0, 34.0, 32.0)","(9.0, 22.0, 10.66)"
05-01-2023 13:46:16.252546,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 48.0, 21.77777777777778)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.5, 11.5625)","(12.0, 34.0, 32.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:17.323549,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 46.0, 23.083333333333332)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 11.5625)","(12.0, 34.0, 32.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:18.451650,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 46.0, 23.083333333333332)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.333333333333334)","(12.0, 34.0, 31.25)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:19.509891,"(2.5, 3.45, 3.23125)","(5.5, 8.8, 7.2)","(20.0, 55.0, 23.0625)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 29.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:20.554343,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 55.0, 23.0625)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 29.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:21.651153,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 55.0, 23.0625)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 29.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:22.750390,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 29.0)","(9.0, 22.0, 13.9)"
05-01-2023 13:46:23.973385,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 29.0)","(9.0, 22.0, 10.66)"
05-01-2023 13:46:25.178477,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 10.66)"
05-01-2023 13:46:26.321571,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 32.333333333333336)","(9.0, 22.0, 12.766666666666667)"
05-01-2023 13:46:27.655619,"(2.5, 3.45, 3.226)","(5.5, 8.8, 7.2)","(20.0, 50.0, 23.75)","(3.8, 6.6, 4.292857142857143)","(8.0, 14.5, 10.166666666666666)","(10.0, 19.0, 13.666666666666666)","(12.0, 34.0, 32.333333333333336)","(9.0, 19.5, 12.766666666666667)"
