,Giuliano,Chloe What,Rowdys Rebel,Homebush Olivia,Opawa Nicky,Mitcham Cam,Princely Asset,Homebush Zip
10-01-2023 08:21:08.532994,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:09.560866,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:10.587523,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:11.729231,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:12.821684,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:13.907473,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:14.996004,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:16.045589,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:17.151431,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:18.245383,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:19.369595,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:20.461997,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:21.554537,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:22.568239,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:23.611083,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:24.654551,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:25.736682,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:26.813091,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:27.909395,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:29.030077,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:30.174761,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:31.310357,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:32.404803,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:33.611137,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:34.822435,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
10-01-2023 08:21:35.899381,"(4.0, 16.5, 6.552631578947368)","(7.5, 38.0, 27.666666666666668)","(3.6, 12.0, 5.074074074074074)","(19.0, 230.0, 187.3)","(7.0, 29.0, 20.390476190476193)","(4.2, 17.5, 7.0)","(8.5, 65.0, 51.846153846153854)","(7.5, 38.0, 27.666666666666668)"
