,In Range,Wild Reputation,Elswyk Rocky,Deadly Express,Udellar Bale,Shanlyn Bear,Gunai Prince,Zipping Spencer
11-01-2023 21:14:15.206086,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.1695541401273886)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:16.250732,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 550.0, 150.0)","(1.55, 2.22, 2.1695541401273886)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:17.401813,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 2.0295121951219515)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:18.549010,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 2.0295121951219515)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:19.734558,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:20.831805,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:21.894489,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:22.979066,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:23.982762,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:25.070444,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:26.257368,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:27.488539,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:28.674955,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:29.824316,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:31.164563,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:32.468379,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:33.803136,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:35.250938,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:36.527334,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:37.684786,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:38.703927,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:39.769457,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:40.832479,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:41.956158,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:43.049989,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:44.126027,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:45.208355,"(4.8, 8.8, 5.94)","(4.8, 8.0, 5.3999999999999995)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:46.275087,"(4.8, 8.8, 5.814285714285714)","(4.8, 8.0, 5.31875)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:47.306173,"(4.8, 8.8, 5.814285714285714)","(4.8, 8.0, 5.31875)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:48.423385,"(4.8, 8.8, 5.814285714285714)","(4.8, 8.0, 5.31875)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:49.590548,"(4.8, 8.8, 5.814285714285714)","(4.8, 8.0, 5.31875)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.5966666666666667)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:50.798191,"(4.8, 8.8, 5.735714285714286)","(4.8, 8.0, 5.2375)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.7286666666666668)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:51.978779,"(4.8, 8.8, 6.086666666666667)","(4.8, 8.0, 5.552941176470588)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 30.909090909090907)","(61.0, 530.0, 146.0)","(1.55, 2.22, 1.7286666666666668)","(18.0, 55.0, 28.81818181818182)"
11-01-2023 21:14:53.148675,"(4.8, 8.8, 6.086666666666667)","(4.8, 8.0, 5.552941176470588)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 530.0, 131.66666666666669)","(1.55, 2.22, 1.7286666666666668)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:54.301976,"(4.8, 8.8, 6.086666666666667)","(4.8, 8.0, 5.552941176470588)","(21.0, 85.0, 48.125)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 540.0, 131.66666666666669)","(1.55, 2.22, 1.7360000000000002)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:55.453707,"(4.8, 8.8, 6.086666666666667)","(4.8, 8.0, 5.552941176470588)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 540.0, 131.66666666666669)","(1.55, 2.22, 1.7360000000000002)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:56.578762,"(4.8, 8.8, 6.086666666666667)","(4.8, 8.0, 5.552941176470588)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 540.0, 135.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:57.621155,"(4.8, 8.8, 5.9714285714285715)","(4.8, 8.0, 5.48125)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 560.0, 135.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:58.669847,"(4.8, 8.8, 5.9714285714285715)","(4.8, 8.0, 5.48125)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 560.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:14:59.708020,"(4.8, 8.8, 5.9714285714285715)","(4.8, 8.0, 5.48125)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:00.808171,"(4.8, 8.8, 5.9714285714285715)","(4.8, 8.0, 5.48125)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:01.912688,"(4.8, 8.8, 7.671794871794872)","(4.8, 8.0, 5.48125)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:03.036047,"(4.8, 8.8, 5.735714285714286)","(4.8, 8.0, 5.2375)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:04.100463,"(4.8, 8.8, 6.013333333333334)","(4.8, 8.0, 5.2375)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:05.197180,"(4.8, 8.8, 5.892857142857142)","(4.8, 8.0, 5.476470588235294)","(21.0, 85.0, 49.44444444444444)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:06.295947,"(4.8, 8.8, 5.892857142857142)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:07.359049,"(4.8, 8.8, 5.892857142857142)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:08.461686,"(4.8, 8.8, 5.892857142857142)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:09.642553,"(4.8, 8.8, 5.892857142857142)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:10.763551,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 35.0)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:11.829086,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 37.77777777777778)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 32.5)"
11-01-2023 21:15:12.901866,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.4)","(21.0, 85.0, 50.0)","(10.0, 26.0, 24.625)","(21.0, 60.0, 37.77777777777778)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:13.913249,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 470.0, 330.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:14.942300,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 470.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:15.939775,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:16.936495,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:17.931633,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:18.987112,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 46.25)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:19.970986,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:20.962488,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:21.956278,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 44.375)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:22.933328,"(4.8, 8.8, 6.16)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:23.958562,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:24.944214,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:26.008822,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 45.0)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:27.053119,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:28.174346,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:29.243403,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:30.382647,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:31.542344,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:32.643062,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:33.751314,"(4.8, 8.8, 6.05)","(4.8, 8.0, 5.629411764705883)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 300.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:34.837181,"(4.8, 8.8, 7.671794871794872)","(4.8, 8.0, 5.5625)","(21.0, 85.0, 58.33333333333333)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 300.0)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
11-01-2023 21:15:35.937566,"(4.8, 8.8, 5.735714285714286)","(4.8, 8.0, 5.5625)","(21.0, 85.0, 53.5)","(10.0, 26.0, 24.77777777777778)","(21.0, 60.0, 37.77777777777778)","(61.0, 550.0, 383.3333333333333)","(1.55, 2.22, 1.8378947368421055)","(18.0, 55.0, 35.0)"
