,Sunset Bling,Bernardo Eight,Time To Reign,Buddy Beauty,Ladies Day,Leading Diva,Press Agent,Beep Bop
07-12-2022 19:30:52.860573,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:53.928357,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:55.029427,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.2)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:56.280751,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.2)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.557142857142857)"
07-12-2022 19:30:57.458807,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.5)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.557142857142857)"
07-12-2022 19:30:58.647452,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.5)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.557142857142857)"
07-12-2022 19:30:59.859646,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.5)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.557142857142857)"
07-12-2022 19:31:01.027768,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 7.550000000000001)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.557142857142857)"
07-12-2022 19:31:02.217352,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4124999999999996)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:03.318629,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.0, 2.5625)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:04.357904,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.0, 2.5625)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:05.454164,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.0, 2.5999999999999996)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:06.571116,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:07.696374,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:08.884533,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:10.044495,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:11.249423,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 9.68)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:12.491471,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 11.0, 10.05)","(16.0, 46.0, 29.055555555555557)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:13.622063,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.8)","(16.0, 46.0, 29.055555555555557)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:14.930897,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.857142857142858)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:16.108403,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.857142857142858)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:17.098973,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 50.55555555555556)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 9.857142857142858)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:18.252699,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.2)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:19.361963,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.2)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:20.544191,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.2)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
07-12-2022 19:31:21.879382,"(17.0, 60.0, 25.0)","(6.0, 11.0, 8.6)","(2.3, 3.05, 2.4266666666666663)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.5, 12.0, 10.2)","(16.0, 46.0, 21.0)","(4.6, 6.8, 6.0636363636363635)"
