,Ben Stars,Bold Smuggler,Ikigai Star,Mias Dream,Aleaco,Doom Diva,Bettalatethannever,Noise Works,Sweet Jina,Azure De Lago,Readyentime,Rose Alice,Cashway
10-01-2023 15:57:00.745906,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8212121212121213)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 158.0)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:02.432092,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.7)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 23.857142857142858)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 12.928571428571429)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:04.196431,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8212121212121213)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 24.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.8125)","(101.0, 170.0, 125.0)","(101.0, 230.0, 185.0)"
10-01-2023 15:57:05.838469,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8212121212121213)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.8125)","(101.0, 170.0, 125.0)","(101.0, 230.0, 185.0)"
10-01-2023 15:57:07.580022,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8212121212121213)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.8125)","(101.0, 170.0, 125.0)","(101.0, 230.0, 185.0)"
10-01-2023 15:57:09.187324,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.837837837837839)","(101.0, 170.0, 125.0)","(101.0, 230.0, 185.0)"
10-01-2023 15:57:10.874099,"(14.0, 30.0, 26.57142857142857)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.837837837837839)","(101.0, 170.0, 125.0)","(101.0, 230.0, 185.0)"
10-01-2023 15:57:12.524302,"(14.0, 30.0, 25.8)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.624137931034483)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.837837837837839)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:14.257667,"(14.0, 30.0, 25.8)","(5.5, 8.0, 7.466666666666667)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.8351351351351353)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.66875)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.837837837837839)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:16.020851,"(14.0, 30.0, 25.8)","(5.5, 8.0, 7.48)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.95, 3.853846153846154)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 24.0)","(4.4, 4.8, 4.628571428571429)","(91.0, 200.0, 147.5)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 193.33333333333331)"
10-01-2023 15:57:17.653895,"(14.0, 30.0, 25.333333333333332)","(5.5, 7.8, 7.48)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.842857142857143)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 130.0)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.628571428571429)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 193.33333333333331)"
10-01-2023 15:57:19.376716,"(14.0, 30.0, 25.333333333333332)","(5.5, 7.8, 7.48)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.842857142857143)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 142.5)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:21.085002,"(14.0, 30.0, 25.333333333333332)","(5.5, 7.8, 7.48)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 142.5)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 193.33333333333331)"
10-01-2023 15:57:22.831779,"(14.0, 30.0, 28.454545454545453)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.825)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 142.5)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:24.623112,"(14.0, 29.0, 27.0)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.825)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 142.5)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.619047619047619)","(101.0, 170.0, 125.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:26.384963,"(14.0, 29.0, 27.0)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 14.0, 13.0)","(101.0, 170.0, 125.0)","(101.0, 230.0, 193.33333333333331)"
10-01-2023 15:57:28.154431,"(14.0, 29.0, 27.0)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 13.5, 12.785714285714286)","(101.0, 170.0, 125.0)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:29.930360,"(14.0, 29.0, 27.0)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 13.5, 12.785714285714286)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:31.794462,"(14.0, 29.0, 24.75)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 13.5, 12.785714285714286)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:33.638403,"(14.0, 30.0, 27.375)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.8142857142857145)","(9.0, 14.0, 13.4)","(7.5, 13.0, 12.833333333333334)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 25.0)","(4.4, 4.9, 4.616129032258065)","(91.0, 200.0, 158.0)","(8.0, 13.5, 12.785714285714286)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 180.0)"
10-01-2023 15:57:35.542551,"(14.0, 30.0, 27.375)","(5.5, 7.8, 7.615384615384615)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.9, 3.7147727272727273)","(9.0, 14.0, 12.551282051282051)","(7.5, 13.0, 12.98)","(101.0, 190.0, 158.33333333333334)","(17.0, 29.0, 28.428571428571427)","(4.4, 4.9, 4.825842696629214)","(91.0, 200.0, 158.0)","(8.0, 13.5, 12.785714285714286)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:37.360892,"(14.0, 30.0, 28.333333333333332)","(5.5, 8.0, 7.8641509433962264)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.85, 3.7147727272727273)","(9.0, 13.5, 12.551282051282051)","(7.5, 13.0, 12.98)","(101.0, 190.0, 142.5)","(17.0, 29.0, 28.428571428571427)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.083333333333334)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:39.174047,"(14.0, 30.0, 28.333333333333332)","(5.5, 8.0, 7.90204081632653)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.85, 3.7)","(9.0, 13.5, 12.551282051282051)","(7.5, 13.5, 14.3)","(101.0, 190.0, 142.5)","(17.0, 29.0, 28.428571428571427)","(4.4, 4.9, 4.830526315789474)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.083333333333334)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:41.009386,"(14.0, 30.0, 28.333333333333332)","(5.5, 8.0, 8.511864406779662)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.697478991596639)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 13.9375)","(101.0, 190.0, 142.5)","(17.0, 29.0, 28.428571428571427)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:42.757718,"(14.0, 30.0, 28.333333333333332)","(5.5, 9.0, 8.458064516129033)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.6625)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 13.9375)","(101.0, 190.0, 142.5)","(17.0, 29.0, 28.428571428571427)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:44.573306,"(14.0, 30.0, 28.333333333333332)","(5.5, 9.0, 8.081249999999999)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.5677966101694913)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 29.0, 28.75)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:46.338930,"(14.0, 30.0, 29.0)","(5.5, 9.0, 8.081249999999999)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.65, 3.6797752808988764)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 30.0, 28.75)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:48.068787,"(14.0, 30.0, 29.0)","(5.5, 9.0, 8.081249999999999)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.6806451612903226)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 30.0, 28.75)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 144.28571428571428)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:49.867415,"(14.0, 30.0, 29.0)","(5.5, 9.0, 8.3)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.6806451612903226)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 30.0, 28.75)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 13.5, 13.277777777777779)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:52.401513,"(14.0, 30.0, 29.0)","(5.5, 8.8, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.67319587628866)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 30.0, 29.285714285714285)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:54.254685,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.67319587628866)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 30.0, 31.0)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:56.083635,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.67319587628866)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 32.0, 31.0)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:57.908263,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.67319587628866)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 32.0, 31.0)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:57:59.814986,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.67319587628866)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 14.125)","(101.0, 190.0, 142.5)","(17.0, 32.0, 31.0)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 158.0)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 140.0)","(101.0, 230.0, 175.0)"
10-01-2023 15:58:02.215084,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.6707865168539326)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 13.868421052631579)","(101.0, 190.0, 142.5)","(17.0, 32.0, 31.0)","(4.4, 4.9, 4.83804347826087)","(91.0, 200.0, 147.5)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 132.5)","(101.0, 230.0, 175.0)"
10-01-2023 15:58:04.123546,"(14.0, 30.0, 29.0)","(5.5, 8.6, 8.17142857142857)","(14.0, 18.5, 17.071428571428573)","(3.5, 3.7, 3.6707865168539326)","(9.0, 13.5, 12.551282051282051)","(7.5, 14.5, 13.868421052631579)","(101.0, 190.0, 142.5)","(17.0, 32.0, 31.0)","(4.4, 4.9, 4.7592592592592595)","(91.0, 200.0, 147.5)","(8.0, 14.5, 13.73076923076923)","(101.0, 170.0, 132.5)","(101.0, 230.0, 175.0)"
