,Capital Reign,Miss Fox,Not Another Reiby,Goofy Mick,Zains Girl,Command Approved,Suprina,Esteemed Lady,Vegas Raider,Boomsong
11-01-2023 15:54:12.996634,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 20.0, 17.5)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.064285714285714)","(9.0, 11.0, 8.518721461187216)","(31.0, 140.0, 99.23076923076923)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:14.625146,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.518721461187216)","(31.0, 130.0, 99.23076923076923)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:16.216526,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 13.0, 11.03921568627451)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.667811158798283)","(31.0, 130.0, 81.0)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:17.793244,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 13.0, 9.575342465753424)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.667811158798283)","(31.0, 130.0, 81.0)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:19.436702,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 13.0, 10.11111111111111)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.667811158798283)","(31.0, 130.0, 68.75)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:21.304117,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 12.5, 10.422222222222222)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.518721461187216)","(31.0, 130.0, 96.66666666666667)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:23.000050,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.40909090909091)","(11.0, 19.5, 17.5)","(8.0, 11.0, 10.061538461538461)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.518721461187216)","(31.0, 130.0, 96.66666666666667)","(9.0, 19.0, 18.3125)","(8.5, 10.5, 8.98)"
11-01-2023 15:54:24.427907,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.970588235294118)","(11.0, 19.5, 17.5)","(8.0, 10.5, 10.335483870967742)","(7.0, 9.0, 8.442857142857143)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.719999999999999)","(31.0, 130.0, 51.6)","(9.0, 19.0, 16.25)","(8.5, 10.5, 10.11025641025641)"
11-01-2023 15:54:26.031462,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.970588235294118)","(11.0, 19.5, 17.5)","(8.0, 10.5, 10.0)","(7.0, 9.0, 7.35)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.820853080568721)","(31.0, 130.0, 51.6)","(9.0, 19.0, 16.25)","(8.5, 10.5, 10.11025641025641)"
11-01-2023 15:54:27.595094,"(7.0, 7.8, 7.4)","(12.0, 15.0, 13.970588235294118)","(11.0, 19.5, 17.5)","(8.0, 10.5, 10.0)","(7.0, 9.0, 7.35)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.820853080568721)","(31.0, 130.0, 51.6)","(9.0, 19.0, 16.25)","(8.5, 10.5, 10.11025641025641)"
11-01-2023 15:54:29.238185,"(7.0, 7.8, 7.56)","(12.0, 15.0, 13.970588235294118)","(11.0, 19.5, 17.5)","(8.0, 10.5, 10.0)","(7.0, 9.0, 7.45)","(3.5, 4.1, 4.046153846153846)","(9.0, 11.0, 8.820853080568721)","(31.0, 130.0, 51.6)","(9.0, 19.0, 16.25)","(8.5, 10.5, 10.11025641025641)"
11-01-2023 15:54:31.030821,"(7.0, 7.8, 7.56)","(12.0, 15.0, 12.857142857142858)","(11.0, 19.5, 17.5)","(8.0, 10.5, 9.719999999999999)","(7.0, 8.8, 8.4)","(3.5, 4.1, 4.053333333333333)","(9.0, 11.0, 9.018957345971565)","(31.0, 130.0, 51.6)","(9.0, 19.0, 16.0)","(8.5, 10.5, 9.263636363636364)"
